,precision,recall,f1-score,support
AMCVn,0.07,0.43,0.12,14
dwarf_nova_SU_UMa,0.86,0.31,0.46,189
dwarf_nova_U_Gem,0.33,0.23,0.27,35
dwarf_nova_Z_Cam,0.47,0.5,0.49,52
int_polar,0.14,0.33,0.19,15
nova,0.19,0.57,0.29,14
nova_like,0.42,0.58,0.49,43
nova_like_VY_Scl,0.62,0.56,0.59,36
polar,0.67,0.53,0.59,34
accuracy,0.41,0.41,0.41,0
macro avg,0.42,0.45,0.39,432
weighted avg,0.62,0.41,0.44,432
