objectId,ra,dec,gmag,rmag,maggmean,magrmean,g_minus_r,clr_mean,dmdt_g,dmdt_r,distpsnr1,sgmag1,brightening_g,brightening_r,last_alert,classification,classificationReliability,catalogue_table_name,association_type,separationArcsec,description
ZTF20acuafnq,119.72083016666669,16.279218183333334,15.1604,14.859,15.0782,14.9796,-0.04,0.09860038757324219,-0.0152228,0.0358026,0.216896,15.6095,-0.4490995407104492,-0.6062002182006836,28.470497699920088,CV,1,NED/SDSS/GSC/RITTER/DOWNES/PS1/GAIA,CV,0.18,"The transient is synonymous with <em><a href=""https://ned.ipac.caltech.edu/cgi-bin/objsearch?objname=DWCnc&extend=no&hconst=73&omegam=0.27&omegav=0.73&corr_z=1&out_csys=Equatorial&out_equinox=J2000.0&obj_sort=RA+or+Longitude&of=pre_text&zv_breaker=30000.0&list_limit=5&img_stamp=YES"">DWCnc</a></em>; a V=15.75 mag stellar source found in the NED/SDSS/GSC/RITTER/DOWNES/PS1/GAIA catalogues. Its located 0.2"" from the stellar source core."
ZTF17aabnzdk,120.77916786666664,28.815518741666665,17.5805,16.7066,17.2778,16.7288,,0.5489997863769531,0.121175,,0.0437155,20.3408,-2.7602996826171875,-3.172300338745117,28.47002309979871,CV,1,SDSS/RITTER/PS1,CV,0.05,"The transient is synonymous with <em><a href=""http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?id=1237657774462075048"">SDSS J080306.99+284855.8</a></em>; an r=16.47 mag CV found in the SDSS/RITTER/PS1 catalogues. Its located 0.0"" from the CV core."
ZTF18aaaxwqg,123.46681490625,28.221429225,17.556,18.1353,17.5304,17.8633,-0.3342,-0.3329010009765625,0.0093068,-0.0553622,0.245868,17.4451,0.11089897155761719,0.3453998565673828,28.47002309979871,CV,1,SDSS/DOWNES/PS1/RITTER,CV,0.28,"The transient is synonymous with <em><a href=""http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?id=1237657877005402170"">SDSS J081352.02+281317.3</a></em>; an r=17.69 mag cv found in the SDSS/DOWNES/PS1/RITTER catalogues. Its located 0.3"" from the cv core."
ZTF23aaftqem,163.38765712,-8.310886329999999,20.1808,19.8468,20.1505,20.0793,0.0932999,0.07119941711425781,-0.0332982,0.0279837,12.8334,22.1328,-1.9519996643066406,-1.358999252319336,28.456238399725407,ORPHAN,0,0,0,0.0,No contexual information is available for this transient
ZTF23aaisyfg,137.03811081666666,12.680932783333333,19.2978,19.38,19.7414,19.6274,-0.1761,0.11400032043457031,0.1269,-0.0538754,25.6081,18.9593,0.3385009765625,0.8056983947753906,24.474386599846184,ORPHAN,0,0,0,0.0,No contexual information is available for this transient
ZTF23aagqyqe,142.67350654545456,38.38616932727273,19.7423,20.3694,19.7884,19.9741,0.2362,-0.185699462890625,0.00973144,-0.0925571,21.5825,-999.0,1018.7423000335693,-2.1828994750976562,24.437905099708587,ORPHAN,0,0,0,0.0,No contexual information is available for this transient
ZTF23aaiksrb,236.96662134999997,-25.663990625,20.5136,19.8159,20.5136,19.9699,0.4699,0.5436992645263672,,0.116192,7.34877,21.3534,-0.8397998809814453,-0.5412998199462891,24.31451389985159,ORPHAN,0,0,0,0.0,No contexual information is available for this transient
ZTF20aasugaq,197.9586338,18.266686266666664,19.5128,20.7039,19.6611,20.7039,,-1.0427989959716797,0.0174501,,8.55058,-999.0,1018.5128002166748,1019.7038993835449,24.26269679982215,ORPHAN,0,0,0,0.0,No contexual information is available for this transient
ZTF23aajgejf,252.10101974999998,82.806530575,20.5696,20.4669,20.7605,20.3913,0.253799,0.3691997528076172,0.0294674,-0.0774583,0.0740933,20.6149,-0.04530143737792969,0.8656005859375,23.236724500078708,UNCLEAR,3,GSC,UNCLEAR,0.29,"The transient is possibly associated with <em>N3ZG002306</em>; an unknown-mag unclassified source found in the GSC catalogue. Its located 0.06"" S, 0.28"" W from the objects source centre."
ZTF23aagrqlt,165.03492224285716,-25.43807442857143,19.672,19.5438,19.6842,19.5624,0.132101,0.12179946899414062,-0.104551,0.0728973,15.0295,21.4286,-1.7565994262695312,-0.7714996337890625,22.446701399981976,ORPHAN,0,0,0,0.0,No contexual information is available for this transient
