,precision,recall,f1-score,support
AMCVn,0.33,0.07,0.12,14
dwarf_nova_SU_UMa,0.78,0.89,0.83,189
dwarf_nova_U_Gem,0.44,0.2,0.27,35
dwarf_nova_Z_Cam,0.52,0.63,0.57,52
int_polar,0.5,0.2,0.29,15
nova,0.33,0.29,0.31,14
nova_like,0.53,0.67,0.59,43
nova_like_VY_Scl,0.76,0.78,0.77,36
polar,0.7,0.47,0.56,34
accuracy,0.67,0.67,0.67,0
macro avg,0.54,0.47,0.48,432
weighted avg,0.65,0.67,0.64,432
