,precision,recall,f1-score,support
AMCVn,0.11,0.36,0.17,14
dwarf_nova_SU_UMa,0.93,0.57,0.7,189
dwarf_nova_U_Gem,0.51,0.63,0.56,35
dwarf_nova_Z_Cam,0.56,0.65,0.6,52
int_polar,0.19,0.27,0.22,15
nova,0.3,0.71,0.43,14
nova_like,0.81,0.67,0.73,43
nova_like_VY_Scl,0.62,0.69,0.66,36
polar,0.61,0.68,0.64,34
accuracy,0.6,0.6,0.6,0
macro avg,0.52,0.58,0.52,432
weighted avg,0.72,0.6,0.63,432
