,precision,recall,f1-score,support
AMCVn,0.4,0.14,0.21,14
dwarf_nova_SU_UMa,0.76,0.87,0.81,189
dwarf_nova_U_Gem,0.62,0.37,0.46,35
dwarf_nova_Z_Cam,0.43,0.48,0.45,52
int_polar,0.4,0.13,0.2,15
nova,0.62,0.36,0.45,14
nova_like,0.42,0.56,0.48,43
nova_like_VY_Scl,0.57,0.75,0.65,36
polar,0.81,0.38,0.52,34
accuracy,0.64,0.64,0.64,0
macro avg,0.56,0.45,0.47,432
weighted avg,0.64,0.64,0.62,432
