,precision,recall,f1-score,support
AMCVn,0.0,0.0,0.0,14
dwarf_nova_SU_UMa,0.73,0.87,0.8,189
dwarf_nova_U_Gem,0.29,0.17,0.21,35
dwarf_nova_Z_Cam,0.53,0.62,0.57,52
int_polar,0.0,0.0,0.0,15
nova,0.0,0.0,0.0,14
nova_like,0.52,0.51,0.52,43
nova_like_VY_Scl,0.54,0.58,0.56,36
polar,0.68,0.62,0.65,34
accuracy,0.62,0.62,0.62,0
macro avg,0.37,0.37,0.37,432
weighted avg,0.56,0.62,0.58,432
