,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_reduce_dim__percentile,param_clf__weights,param_clf__n_neighbors,param_clf__n_jobs,param_clf__metric,param_clf__p,params,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,split3_test_balanced_accuracy,split4_test_balanced_accuracy,split5_test_balanced_accuracy,split6_test_balanced_accuracy,split7_test_balanced_accuracy,split8_test_balanced_accuracy,split9_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_test_precision_macro,split1_test_precision_macro,split2_test_precision_macro,split3_test_precision_macro,split4_test_precision_macro,split5_test_precision_macro,split6_test_precision_macro,split7_test_precision_macro,split8_test_precision_macro,split9_test_precision_macro,mean_test_precision_macro,std_test_precision_macro,rank_test_precision_macro,split0_test_precision_weighted,split1_test_precision_weighted,split2_test_precision_weighted,split3_test_precision_weighted,split4_test_precision_weighted,split5_test_precision_weighted,split6_test_precision_weighted,split7_test_precision_weighted,split8_test_precision_weighted,split9_test_precision_weighted,mean_test_precision_weighted,std_test_precision_weighted,rank_test_precision_weighted,split0_test_recall_macro,split1_test_recall_macro,split2_test_recall_macro,split3_test_recall_macro,split4_test_recall_macro,split5_test_recall_macro,split6_test_recall_macro,split7_test_recall_macro,split8_test_recall_macro,split9_test_recall_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro,split0_test_recall_weighted,split1_test_recall_weighted,split2_test_recall_weighted,split3_test_recall_weighted,split4_test_recall_weighted,split5_test_recall_weighted,split6_test_recall_weighted,split7_test_recall_weighted,split8_test_recall_weighted,split9_test_recall_weighted,mean_test_recall_weighted,std_test_recall_weighted,rank_test_recall_weighted,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,split3_test_f1_macro,split4_test_f1_macro,split5_test_f1_macro,split6_test_f1_macro,split7_test_f1_macro,split8_test_f1_macro,split9_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,split0_test_f1_weighted,split1_test_f1_weighted,split2_test_f1_weighted,split3_test_f1_weighted,split4_test_f1_weighted,split5_test_f1_weighted,split6_test_f1_weighted,split7_test_f1_weighted,split8_test_f1_weighted,split9_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted,split0_test_auc_macro,split1_test_auc_macro,split2_test_auc_macro,split3_test_auc_macro,split4_test_auc_macro,split5_test_auc_macro,split6_test_auc_macro,split7_test_auc_macro,split8_test_auc_macro,split9_test_auc_macro,mean_test_auc_macro,std_test_auc_macro,rank_test_auc_macro
1828,0.5136918067932129,0.030735728974773738,0.9016863584518433,0.050479712013715414,45,distance,9,-1,minkowski,3,"{'reduce_dim__percentile': 45, 'clf__weights': 'distance', 'clf__p': 3, 'clf__n_neighbors': 9, 'clf__n_jobs': -1, 'clf__metric': 'minkowski'}",0.5287037037037037,0.45336700336700336,0.4463804713804714,0.6154299404299404,0.4981416731416732,0.41930415263748594,0.5446969696969697,0.43712121212121213,0.46164421997755334,0.4734848484848485,0.4878274194940862,0.05688321383594576,783,0.4367699838288074,0.4006834215167549,0.40044419327185066,0.4971085015202662,0.4480820105820105,0.3782514689377434,0.43685461076765425,0.402689594356261,0.3992312430908922,0.4184303350970018,0.4218545362969242,0.032399371012356015,1054,0.6654461890920831,0.6473683082593974,0.6305274932623736,0.6956195425618837,0.6514026402640265,0.6158557032173806,0.6534909343777187,0.662734126984127,0.59780997949419,0.648373015873016,0.6468627933386196,0.0258379593192649,773,0.5287037037037037,0.45336700336700336,0.4463804713804714,0.6154299404299404,0.4981416731416732,0.41930415263748594,0.5446969696969697,0.43712121212121213,0.46164421997755334,0.4734848484848485,0.4878274194940862,0.05688321383594576,783,0.504950495049505,0.4158415841584158,0.42574257425742573,0.5346534653465347,0.48514851485148514,0.38613861386138615,0.49504950495049505,0.45,0.45,0.48,0.4627524752475248,0.04307886089549407,1241,0.4384650137910154,0.3824999293725457,0.3819061439649675,0.5007775403608737,0.4370243832662133,0.3488277771061,0.43104132636732795,0.3806975510960331,0.39760008234006533,0.4075843641061032,0.4106424111771245,0.04065160867767859,933,0.5316997381997811,0.45593241246321425,0.4692344580288669,0.5592493864771093,0.5059113754512706,0.42473051100779174,0.5264120382973096,0.489914055162632,0.4749012079139956,0.5155889472845995,0.49535741302865705,0.038158911057375636,1092,,,,,,,,,,,,,1
1829,0.5106110095977783,0.04168444400948622,0.9345981359481812,0.02921722492359557,50,distance,9,-1,minkowski,3,"{'reduce_dim__percentile': 50, 'clf__weights': 'distance', 'clf__p': 3, 'clf__n_neighbors': 9, 'clf__n_jobs': -1, 'clf__metric': 'minkowski'}",0.5249999999999999,0.49040404040404045,0.46590909090909094,0.6717042217042217,0.5347125097125097,0.46776094276094277,0.5545173961840627,0.44730639730639726,0.5670033670033671,0.4962121212121213,0.5220530087196754,0.06244608630457862,207,0.4380781499202552,0.38764394646747585,0.4095529742588566,0.5297699214365881,0.48983957219251345,0.42446581196581196,0.43210493210493206,0.4121252204585538,0.4719562438860685,0.42347535505430245,0.44190121277453576,0.040685696159652354,743,0.6494220474679047,0.6074479296669163,0.6400533653882517,0.72005200520052,0.7173258502320821,0.6556422949987306,0.640931345881841,0.6765714285714286,0.6801677270098324,0.6685530492898915,0.6656167043707399,0.033144549226838495,328,0.5249999999999999,0.49040404040404045,0.46590909090909094,0.6717042217042217,0.5347125097125097,0.46776094276094277,0.5545173961840627,0.44730639730639726,0.5670033670033671,0.4962121212121213,0.5220530087196754,0.06244608630457862,207,0.48514851485148514,0.4158415841584158,0.4158415841584158,0.5643564356435643,0.48514851485148514,0.43564356435643564,0.49504950495049505,0.46,0.51,0.46,0.4727029702970297,0.043316442431065756,1171,0.4411486120550448,0.38302324572816376,0.387300201367998,0.5448384252147692,0.4585067109078409,0.39901306939665543,0.4368173306197715,0.3899825171798057,0.4739759877014778,0.3963536795078013,0.43109597796793286,0.048802552970780025,719,0.5111464057529717,0.43881249951693063,0.44838854829792907,0.5778137721606261,0.521314698055762,0.46853919494154084,0.5169737290826173,0.5019177667820724,0.53736660724896,0.4877390590293815,0.5010012280868792,0.039823775576576334,1038,,,,,,,,,,,,,1
1830,0.5136960983276367,0.029777166529848447,1.0236360549926757,0.041232611817400316,55,distance,9,-1,minkowski,3,"{'reduce_dim__percentile': 55, 'clf__weights': 'distance', 'clf__p': 3, 'clf__n_neighbors': 9, 'clf__n_jobs': -1, 'clf__metric': 'minkowski'}",0.48395061728395067,0.49225589225589217,0.4452861952861953,0.5964516964516965,0.4712898212898213,0.47881593714927045,0.5518799102132435,0.4257575757575758,0.5120089786756454,0.4372895622895623,0.4894986186652853,0.050064568363110205,753,0.3934744268077601,0.40764616646969587,0.3932840307840308,0.48510322523480415,0.4194483348895114,0.41637806637806635,0.42928903455219247,0.3743827160493827,0.44047760518348755,0.3832192136113705,0.4142702819960302,0.030713032341433043,1175,0.6451830897375452,0.6209214198730797,0.6279135056362779,0.6869461288234087,0.6571532573425409,0.6414941494149415,0.6363862817745048,0.6351944444444445,0.6573047703930057,0.627796918767507,0.6436293966207256,0.018412341273058325,847,0.48395061728395067,0.49225589225589217,0.4452861952861953,0.5964516964516965,0.4712898212898213,0.47881593714927045,0.5518799102132435,0.4257575757575758,0.5120089786756454,0.4372895622895623,0.4894986186652853,0.050064568363110205,753,0.44554455445544555,0.42574257425742573,0.4158415841584158,0.5148514851485149,0.43564356435643564,0.4158415841584158,0.46534653465346537,0.44,0.48,0.42,0.4458811881188119,0.03052795575758369,1370,0.3894462790296124,0.4021196926805357,0.37324434824434827,0.48054646391004524,0.3865007491444274,0.38824482931987997,0.42471498126252016,0.36799035285447396,0.435936735506628,0.3579696346219211,0.40067140665743917,0.03511242827963127,1039,0.4772679671813335,0.4546516720348401,0.4478933607646479,0.5374595236592327,0.45783189156354065,0.43994748515263443,0.48453648381010234,0.4815837722648868,0.5084218824186566,0.44922217489154503,0.4738816213741419,0.02912367459956757,1315,,,,,,,,,,,,,1
1831,0.5482143640518189,0.04546006210424472,1.1338773250579834,0.04043996058890409,60,distance,9,-1,minkowski,3,"{'reduce_dim__percentile': 60, 'clf__weights': 'distance', 'clf__p': 3, 'clf__n_neighbors': 9, 'clf__n_jobs': -1, 'clf__metric': 'minkowski'}",0.5200617283950617,0.4714646464646465,0.48947811447811446,0.6277648277648278,0.45672105672105673,0.40148709315375986,0.5611391694725028,0.42219416386083053,0.48083613916947254,0.4835858585858586,0.4914732798066132,0.06239433835835543,719,0.4205307038640372,0.3929685324422166,0.4295734947695732,0.5006834215167548,0.41289882956549623,0.369935262917719,0.43269427129076254,0.34906975740309076,0.41784676833696444,0.3902653990889285,0.4116466441195543,0.039080166206237506,1217,0.6671945766005171,0.6134378851418976,0.6605191902512811,0.7036932264655036,0.6514908633720515,0.6093686870132935,0.635544878952904,0.6206357808857809,0.663423202614379,0.6338297682709448,0.6459138059568554,0.027613548742409455,791,0.5200617283950617,0.4714646464646465,0.48947811447811446,0.6277648277648278,0.45672105672105673,0.40148709315375986,0.5611391694725028,0.42219416386083053,0.48083613916947254,0.4835858585858586,0.4914732798066132,0.06239433835835543,719,0.45544554455445546,0.39603960396039606,0.45544554455445546,0.5148514851485149,0.42574257425742573,0.36633663366336633,0.4752475247524752,0.42,0.47,0.44,0.4419108910891089,0.04018436216309351,1399,0.41726198148011345,0.37081520628307163,0.41474726894341507,0.5022115139762199,0.38154040103445513,0.3338771773406748,0.4375359695535134,0.3451860853030444,0.40878497492126553,0.3813132153568061,0.3993273794192579,0.0462198550028714,1054,0.47986835974636477,0.42025071874024233,0.48775005724031434,0.5330049423817624,0.45851111773426617,0.3864959633521889,0.49382304771830565,0.44500174679122056,0.4992464740873613,0.46367726762489864,0.46676296954169255,0.03993116721826865,1358,,,,,,,,,,,,,1
1832,0.5284003973007202,0.03704819975652878,1.2624568462371826,0.0707759120381089,65,distance,9,-1,minkowski,3,"{'reduce_dim__percentile': 65, 'clf__weights': 'distance', 'clf__p': 3, 'clf__n_neighbors': 9, 'clf__n_jobs': -1, 'clf__metric': 'minkowski'}",0.4842592592592593,0.42937710437710436,0.5397306397306397,0.6726754726754727,0.41757964257964253,0.44660493827160486,0.5349046015712682,0.37749719416386085,0.48308080808080806,0.4823232323232323,0.4868032893032893,0.07833091275081498,800,0.4042656985639442,0.3495902064529515,0.4693817257542747,0.5406445406445407,0.3748482726423903,0.3763522052995737,0.41631393298059965,0.3238335738335738,0.4299620858444388,0.42831666336568297,0.41135089053819696,0.05901227285166159,1219,0.6388936088519205,0.5494767543981288,0.715326826800327,0.7277313445630277,0.6229650275951965,0.6043454981704068,0.6431478862171932,0.5993722943722943,0.6434060351413292,0.6641076945929888,0.6408772970702813,0.050372254962972145,904,0.4842592592592593,0.42937710437710436,0.5397306397306397,0.6726754726754727,0.41757964257964253,0.44660493827160486,0.5349046015712682,0.37749719416386085,0.48308080808080806,0.4823232323232323,0.4868032893032893,0.07833091275081498,800,0.46534653465346537,0.33663366336633666,0.48514851485148514,0.5445544554455446,0.4158415841584158,0.38613861386138615,0.45544554455445546,0.39,0.44,0.45,0.43691089108910897,0.05524933103261093,1430,0.4051048026048026,0.3282058249924162,0.45330878331440716,0.5439824993812663,0.3538977072310405,0.35525673286584103,0.41189081726716137,0.31255073941777034,0.41361295121481595,0.3982659910946616,0.39760768493841836,0.06387525550584332,1077,0.4909901896783085,0.35840317650020337,0.516337590444875,0.5552376133235274,0.44788307402168787,0.39778359646753514,0.4800653159963284,0.4263829867764295,0.4628423026032721,0.48520878931604544,0.4621134635128213,0.054475452454014785,1385,,,,,,,,,,,,,1
1833,0.5447256088256835,0.04332690913455249,1.300599217414856,0.045391165469142444,70,distance,9,-1,minkowski,3,"{'reduce_dim__percentile': 70, 'clf__weights': 'distance', 'clf__p': 3, 'clf__n_neighbors': 9, 'clf__n_jobs': -1, 'clf__metric': 'minkowski'}",0.5274691358024691,0.5194444444444444,0.5874579124579125,0.653017353017353,0.45419580419580424,0.45272166105499445,0.4786195286195286,0.39828843995510665,0.47887205387205384,0.4747474747474747,0.5024833808167142,0.0695369517909092,526,0.4395943562610229,0.4343286343286343,0.5107781107781109,0.5192881192881194,0.41672771672771675,0.3957631874298541,0.3912763253449528,0.3580151979274786,0.4288800705467372,0.40267271714640135,0.42973244357790286,0.04835827383839141,931,0.6970925663994972,0.6094097321820093,0.7421737778173422,0.706909262354807,0.6322045116599573,0.6216996699669967,0.6309163269268103,0.6303901799954431,0.6488650793650792,0.6353958190931874,0.6555056925761129,0.041686583515213996,556,0.5274691358024691,0.5194444444444444,0.5874579124579125,0.653017353017353,0.45419580419580424,0.45272166105499445,0.4786195286195286,0.39828843995510665,0.47887205387205384,0.4747474747474747,0.5024833808167142,0.0695369517909092,526,0.48514851485148514,0.38613861386138615,0.48514851485148514,0.5247524752475248,0.4158415841584158,0.38613861386138615,0.43564356435643564,0.43,0.45,0.43,0.44288118811881183,0.04228646570529296,1388,0.43598787369279174,0.40381307718769016,0.4809291177207451,0.5232484945608733,0.3877647874162716,0.36619072934862407,0.37934847803268856,0.34374182169881096,0.4102218768885436,0.37780350940788265,0.41090497659549213,0.052289196903067235,930,0.5109683225573504,0.40271971537643,0.512783631441147,0.5357027357095938,0.4523017216001317,0.4019504206059704,0.4546805895164415,0.47114592933947774,0.47847047397047404,0.4615879047641061,0.46823114448811226,0.042004195426373334,1352,,,,,,,,,,,,,1
