,precision,recall,f1-score,support
AMCVn,0.07,0.36,0.12,14
dwarf_nova_SU_UMa,0.89,0.33,0.48,189
dwarf_nova_U_Gem,0.3,0.34,0.32,35
dwarf_nova_Z_Cam,0.51,0.56,0.53,52
int_polar,0.09,0.13,0.11,15
nova,0.23,0.64,0.34,14
nova_like,0.42,0.65,0.51,43
nova_like_VY_Scl,0.7,0.64,0.67,36
polar,0.64,0.62,0.63,34
accuracy,0.44,0.44,0.44,0
macro avg,0.43,0.47,0.41,432
weighted avg,0.64,0.44,0.47,432
