mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_reduce_dim__threshold,param_clf__weights,param_clf__n_neighbors,param_clf__n_jobs,param_clf__metric,param_clf__p,params,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,split3_test_balanced_accuracy,split4_test_balanced_accuracy,split5_test_balanced_accuracy,split6_test_balanced_accuracy,split7_test_balanced_accuracy,split8_test_balanced_accuracy,split9_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_test_precision_macro,split1_test_precision_macro,split2_test_precision_macro,split3_test_precision_macro,split4_test_precision_macro,split5_test_precision_macro,split6_test_precision_macro,split7_test_precision_macro,split8_test_precision_macro,split9_test_precision_macro,mean_test_precision_macro,std_test_precision_macro,rank_test_precision_macro,split0_test_precision_weighted,split1_test_precision_weighted,split2_test_precision_weighted,split3_test_precision_weighted,split4_test_precision_weighted,split5_test_precision_weighted,split6_test_precision_weighted,split7_test_precision_weighted,split8_test_precision_weighted,split9_test_precision_weighted,mean_test_precision_weighted,std_test_precision_weighted,rank_test_precision_weighted,split0_test_recall_macro,split1_test_recall_macro,split2_test_recall_macro,split3_test_recall_macro,split4_test_recall_macro,split5_test_recall_macro,split6_test_recall_macro,split7_test_recall_macro,split8_test_recall_macro,split9_test_recall_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro,split0_test_recall_weighted,split1_test_recall_weighted,split2_test_recall_weighted,split3_test_recall_weighted,split4_test_recall_weighted,split5_test_recall_weighted,split6_test_recall_weighted,split7_test_recall_weighted,split8_test_recall_weighted,split9_test_recall_weighted,mean_test_recall_weighted,std_test_recall_weighted,rank_test_recall_weighted,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,split3_test_f1_macro,split4_test_f1_macro,split5_test_f1_macro,split6_test_f1_macro,split7_test_f1_macro,split8_test_f1_macro,split9_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,split0_test_f1_weighted,split1_test_f1_weighted,split2_test_f1_weighted,split3_test_f1_weighted,split4_test_f1_weighted,split5_test_f1_weighted,split6_test_f1_weighted,split7_test_f1_weighted,split8_test_f1_weighted,split9_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted,split0_test_auc_macro,split1_test_auc_macro,split2_test_auc_macro,split3_test_auc_macro,split4_test_auc_macro,split5_test_auc_macro,split6_test_auc_macro,split7_test_auc_macro,split8_test_auc_macro,split9_test_auc_macro,mean_test_auc_macro,std_test_auc_macro,rank_test_auc_macro
0.3379990816116333,0.03322679103331458,0.06511127948760986,0.006262777835579816,10,distance,1,-1,euclidean,,"{'reduce_dim__threshold': 10, 'clf__weights': 'distance', 'clf__n_neighbors': 1, 'clf__n_jobs': -1, 'clf__metric': 'euclidean'}",0.5253086419753087,0.4327441077441077,0.49335016835016837,0.5675666925666926,0.45810023310023307,0.40328282828282824,0.4177048260381593,0.37053872053872056,0.4084175084175084,0.4452861952861953,0.4522299922299922,0.05742568909711043,42,0.40464905464905465,0.352873458575213,0.43854393609295567,0.4431818181818182,0.40218496578145696,0.3712537529566515,0.38701298701298703,0.3399050024050024,0.38365600448933784,0.375925925925926,0.3899186906070403,0.031677090025188974,39,0.6412229684506913,0.5480864512130796,0.6389101515193536,0.5996763137852247,0.6140016257264824,0.573054584483771,0.556062749132056,0.5497813852813853,0.5884166666666666,0.5825,0.589171289625871,0.032481934187210605,62,0.5253086419753087,0.4327441077441077,0.49335016835016837,0.5675666925666926,0.45810023310023307,0.40328282828282824,0.4177048260381593,0.37053872053872056,0.4084175084175084,0.4452861952861953,0.4522299922299922,0.05742568909711043,42,0.44554455445544555,0.38613861386138615,0.48514851485148514,0.48514851485148514,0.43564356435643564,0.40594059405940597,0.4752475247524752,0.46,0.45,0.43,0.4458811881188119,0.031119276528065877,48,0.4077091964188738,0.355458622608381,0.42649420296479124,0.46165509208987476,0.3980357733397622,0.34588638187332693,0.3875522440739832,0.3414536081202748,0.37109125442458774,0.3714005901505902,0.38667369660644463,0.03597105205117817,26,0.46215480995104113,0.41160219223068983,0.5076127522254489,0.4971646232946277,0.47097879835865436,0.44789465354466557,0.4985957498656594,0.48138039738039745,0.4795897435897436,0.4551968864468865,0.47121706068878144,0.027124904749531643,30,,,,,,,,,,,,,1
0.32200918197631834,0.023019146753492196,0.06573667526245117,0.008731804840893788,5,distance,1,-1,euclidean,,"{'reduce_dim__threshold': 5, 'clf__weights': 'distance', 'clf__n_neighbors': 1, 'clf__n_jobs': -1, 'clf__metric': 'euclidean'}",0.46049382716049375,0.3914983164983165,0.47668350168350165,0.47834110334110336,0.3256151256151256,0.3426767676767677,0.37067901234567896,0.27828282828282824,0.34231200897867564,0.3484848484848485,0.381506734006734,0.06542555206633657,127,0.38573074099389887,0.34802931273519505,0.4321692277832629,0.3953228869895537,0.3132335257335257,0.31095443740371276,0.31259867583396994,0.24758005011628204,0.32355514855514855,0.27739297739297736,0.33465669835375267,0.05335587236430271,132,0.6043907022281175,0.5546107551931664,0.6297490275343324,0.5784865024964035,0.553028159958853,0.5067278777567198,0.49945282343360387,0.501739009782488,0.5024774114774114,0.4651071428571429,0.5395769412718238,0.05029470588690832,156,0.46049382716049375,0.3914983164983165,0.47668350168350165,0.47834110334110336,0.3256151256151256,0.3426767676767677,0.37067901234567896,0.27828282828282824,0.34231200897867564,0.3484848484848485,0.381506734006734,0.06542555206633657,127,0.44554455445544555,0.40594059405940597,0.46534653465346537,0.40594059405940597,0.40594059405940597,0.36633663366336633,0.42574257425742573,0.37,0.4,0.34,0.4030792079207921,0.03556885597459712,86,0.3918360313290654,0.34482624129682954,0.41743981981672984,0.3933355592816938,0.3033180740077292,0.2945409994356438,0.3239124709712945,0.2441571561244934,0.3198976120971006,0.27852548685882017,0.33117894512194,0.05273872366589349,87,0.46904164515301605,0.44119395649972243,0.49853285334130537,0.41855786412811097,0.44341695253269175,0.40178152261771727,0.4408966429933233,0.40013249804489265,0.42485526621715874,0.36299367299367297,0.4301402874521611,0.03602839172134572,62,,,,,,,,,,,,,1
0.320021915435791,0.025319507217135277,0.06383140087127685,0.006661638923127771,2.5,distance,1,-1,euclidean,,"{'reduce_dim__threshold': 2.5, 'clf__weights': 'distance', 'clf__n_neighbors': 1, 'clf__n_jobs': -1, 'clf__metric': 'euclidean'}",0.37222222222222223,0.41607744107744105,0.389983164983165,0.45751100751100754,0.3879046879046879,0.2677890011223345,0.3774130190796858,0.3405723905723905,0.29966329966329963,0.3455387205387206,0.36546749546749546,0.05216737005924871,156,0.3066438191438191,0.35736331569664903,0.3472823472823473,0.3379933791698498,0.33410949024984116,0.26083665789548144,0.3134872534872535,0.28375294296346926,0.30050073383406717,0.29346240179573513,0.3135432341518513,0.02892352695715587,190,0.5348206249196348,0.5111425428257111,0.5641206977840642,0.49030789633585214,0.5606350224380449,0.4658438532928923,0.5172028631434572,0.5163070745044429,0.4843554778554779,0.49405808080808084,0.5138794133907658,0.030497240428324423,233,0.37222222222222223,0.41607744107744105,0.389983164983165,0.45751100751100754,0.3879046879046879,0.2677890011223345,0.3774130190796858,0.3405723905723905,0.29966329966329963,0.3455387205387206,0.36546749546749546,0.05216737005924871,156,0.27722772277227725,0.40594059405940597,0.36633663366336633,0.37623762376237624,0.42574257425742573,0.38613861386138615,0.39603960396039606,0.38,0.34,0.36,0.37136633663366336,0.038830183601341245,127,0.2776424059032755,0.3611753533322161,0.33293504740873164,0.35104688725251787,0.33282006059783836,0.2570745559251306,0.3184265010351967,0.2868349596702737,0.2768638768638769,0.29092269286777295,0.3085742340856831,0.03353788166542087,121,0.2742588449002569,0.43115352259207823,0.40181034876188604,0.37628779474754886,0.44827044975559827,0.4099270859257203,0.42710267921202066,0.40934475484899935,0.37650216450216456,0.3903128237132813,0.3944970468959555,0.04576084990837576,109,,,,,,,,,,,,,1
0.28971884250640867,0.00914028640678128,0.0628154993057251,0.007013219725567913,1.5,distance,1,-1,euclidean,,"{'reduce_dim__threshold': 1.5, 'clf__weights': 'distance', 'clf__n_neighbors': 1, 'clf__n_jobs': -1, 'clf__metric': 'euclidean'}",0.31882716049382714,0.27003367003367,0.25412457912457914,0.3965229215229215,0.3514827764827765,0.20561167227833893,0.35563973063973064,0.2601290684624018,0.3058922558922559,0.234006734006734,0.2952270568937235,0.057515906489016985,307,0.272002997002997,0.2673297835062541,0.19540490373823707,0.3430804173367103,0.29121172037838705,0.19164354164354164,0.2992298148947765,0.2025651001141197,0.2791005291005291,0.22286138927005805,0.2564430196985611,0.04834748017118299,336,0.4871954777895372,0.4431969893821961,0.35681645087585684,0.5150459652045624,0.4335905019073336,0.3877515224049878,0.4736132847848176,0.39808380018674133,0.48280952380952386,0.45294642148357317,0.44310499378291296,0.04727652133457113,357,0.31882716049382714,0.27003367003367,0.25412457912457914,0.3965229215229215,0.3514827764827765,0.20561167227833893,0.35563973063973064,0.2601290684624018,0.3058922558922559,0.234006734006734,0.2952270568937235,0.057515906489016985,307,0.36633663366336633,0.297029702970297,0.27722772277227725,0.39603960396039606,0.33663366336633666,0.25742574257425743,0.3564356435643564,0.33,0.33,0.28,0.32271287128712867,0.0418716886448303,204,0.2713676025079534,0.24637923709961218,0.2033063554802685,0.3470004076140063,0.2919050391186614,0.18099096892925784,0.3063619903674019,0.20842180579556477,0.274809034229324,0.2025790049837237,0.2533121446125774,0.051222353196092425,273,0.39599721250320513,0.33502193186070534,0.28926060307894147,0.42118037319012647,0.3514623157957615,0.2814993060115468,0.38336073234807816,0.3481638078042477,0.3697001114827202,0.3211443479388126,0.34967907420141453,0.042575242304257015,172,,,,,,,,,,,,,1
0.30694901943206787,0.011679124898370157,0.061576032638549806,0.00781382671366292,10,distance,2,-1,euclidean,,"{'reduce_dim__threshold': 10, 'clf__weights': 'distance', 'clf__n_neighbors': 2, 'clf__n_jobs': -1, 'clf__metric': 'euclidean'}",0.5253086419753087,0.4327441077441077,0.49335016835016837,0.5675666925666926,0.45810023310023307,0.40328282828282824,0.4177048260381593,0.37053872053872056,0.4084175084175084,0.4452861952861953,0.4522299922299922,0.05742568909711043,42,0.40464905464905465,0.352873458575213,0.43854393609295567,0.4431818181818182,0.40218496578145696,0.3712537529566515,0.38701298701298703,0.3399050024050024,0.38365600448933784,0.375925925925926,0.3899186906070403,0.031677090025188974,39,0.6412229684506913,0.5480864512130796,0.6389101515193536,0.5996763137852247,0.6140016257264824,0.573054584483771,0.556062749132056,0.5497813852813853,0.5884166666666666,0.5825,0.589171289625871,0.032481934187210605,62,0.5253086419753087,0.4327441077441077,0.49335016835016837,0.5675666925666926,0.45810023310023307,0.40328282828282824,0.4177048260381593,0.37053872053872056,0.4084175084175084,0.4452861952861953,0.4522299922299922,0.05742568909711043,42,0.44554455445544555,0.38613861386138615,0.48514851485148514,0.48514851485148514,0.43564356435643564,0.40594059405940597,0.4752475247524752,0.46,0.45,0.43,0.4458811881188119,0.031119276528065877,48,0.4077091964188738,0.355458622608381,0.42649420296479124,0.46165509208987476,0.3980357733397622,0.34588638187332693,0.3875522440739832,0.3414536081202748,0.37109125442458774,0.3714005901505902,0.38667369660644463,0.03597105205117817,26,0.46215480995104113,0.41160219223068983,0.5076127522254489,0.4971646232946277,0.47097879835865436,0.44789465354466557,0.4985957498656594,0.48138039738039745,0.4795897435897436,0.4551968864468865,0.47121706068878144,0.027124904749531643,30,,,,,,,,,,,,,1
0.328065013885498,0.0275248995097625,0.06691830158233643,0.004484275761975191,5,distance,2,-1,euclidean,,"{'reduce_dim__threshold': 5, 'clf__weights': 'distance', 'clf__n_neighbors': 2, 'clf__n_jobs': -1, 'clf__metric': 'euclidean'}",0.46049382716049375,0.3914983164983165,0.47668350168350165,0.47834110334110336,0.3256151256151256,0.3426767676767677,0.37067901234567896,0.27828282828282824,0.34231200897867564,0.3484848484848485,0.381506734006734,0.06542555206633657,127,0.38573074099389887,0.34802931273519505,0.4321692277832629,0.3953228869895537,0.3132335257335257,0.31095443740371276,0.31259867583396994,0.24758005011628204,0.32355514855514855,0.27739297739297736,0.33465669835375267,0.05335587236430271,132,0.6043907022281175,0.5546107551931664,0.6297490275343324,0.5784865024964035,0.553028159958853,0.5067278777567198,0.49945282343360387,0.501739009782488,0.5024774114774114,0.4651071428571429,0.5395769412718238,0.05029470588690832,156,0.46049382716049375,0.3914983164983165,0.47668350168350165,0.47834110334110336,0.3256151256151256,0.3426767676767677,0.37067901234567896,0.27828282828282824,0.34231200897867564,0.3484848484848485,0.381506734006734,0.06542555206633657,127,0.44554455445544555,0.40594059405940597,0.46534653465346537,0.40594059405940597,0.40594059405940597,0.36633663366336633,0.42574257425742573,0.37,0.4,0.34,0.4030792079207921,0.03556885597459712,86,0.3918360313290654,0.34482624129682954,0.41743981981672984,0.3933355592816938,0.3033180740077292,0.2945409994356438,0.3239124709712945,0.2441571561244934,0.3198976120971006,0.27852548685882017,0.33117894512194,0.05273872366589349,87,0.46904164515301605,0.44119395649972243,0.49853285334130537,0.41855786412811097,0.44341695253269175,0.40178152261771727,0.4408966429933233,0.40013249804489265,0.42485526621715874,0.36299367299367297,0.4301402874521611,0.03602839172134572,62,,,,,,,,,,,,,1
0.30897347927093505,0.01066338852403899,0.0599632740020752,0.004662631433590711,2.5,distance,2,-1,euclidean,,"{'reduce_dim__threshold': 2.5, 'clf__weights': 'distance', 'clf__n_neighbors': 2, 'clf__n_jobs': -1, 'clf__metric': 'euclidean'}",0.37222222222222223,0.41607744107744105,0.389983164983165,0.45751100751100754,0.3879046879046879,0.2677890011223345,0.3774130190796858,0.3405723905723905,0.29966329966329963,0.3455387205387206,0.36546749546749546,0.05216737005924871,156,0.3066438191438191,0.35736331569664903,0.3472823472823473,0.3379933791698498,0.33410949024984116,0.26083665789548144,0.3134872534872535,0.28375294296346926,0.30050073383406717,0.29346240179573513,0.3135432341518513,0.02892352695715587,190,0.5348206249196348,0.5111425428257111,0.5641206977840642,0.49030789633585214,0.5606350224380449,0.4658438532928923,0.5172028631434572,0.5163070745044429,0.4843554778554779,0.49405808080808084,0.5138794133907658,0.030497240428324423,233,0.37222222222222223,0.41607744107744105,0.389983164983165,0.45751100751100754,0.3879046879046879,0.2677890011223345,0.3774130190796858,0.3405723905723905,0.29966329966329963,0.3455387205387206,0.36546749546749546,0.05216737005924871,156,0.27722772277227725,0.40594059405940597,0.36633663366336633,0.37623762376237624,0.42574257425742573,0.38613861386138615,0.39603960396039606,0.38,0.34,0.36,0.37136633663366336,0.038830183601341245,127,0.2776424059032755,0.3611753533322161,0.33293504740873164,0.35104688725251787,0.33282006059783836,0.2570745559251306,0.3184265010351967,0.2868349596702737,0.2768638768638769,0.29092269286777295,0.3085742340856831,0.03353788166542087,121,0.2742588449002569,0.43115352259207823,0.40181034876188604,0.37628779474754886,0.44827044975559827,0.4099270859257203,0.42710267921202066,0.40934475484899935,0.37650216450216456,0.3903128237132813,0.3944970468959555,0.04576084990837576,109,,,,,,,,,,,,,1
0.2887426853179932,0.008725391622797661,0.06176307201385498,0.0048013338742038565,1.5,distance,2,-1,euclidean,,"{'reduce_dim__threshold': 1.5, 'clf__weights': 'distance', 'clf__n_neighbors': 2, 'clf__n_jobs': -1, 'clf__metric': 'euclidean'}",0.31882716049382714,0.27003367003367,0.25412457912457914,0.3965229215229215,0.3514827764827765,0.20561167227833893,0.35563973063973064,0.2601290684624018,0.3058922558922559,0.234006734006734,0.2952270568937235,0.057515906489016985,307,0.272002997002997,0.2673297835062541,0.19540490373823707,0.3430804173367103,0.29121172037838705,0.19164354164354164,0.2992298148947765,0.2025651001141197,0.2791005291005291,0.22286138927005805,0.2564430196985611,0.04834748017118299,336,0.4871954777895372,0.4431969893821961,0.35681645087585684,0.5150459652045624,0.4335905019073336,0.3877515224049878,0.4736132847848176,0.39808380018674133,0.48280952380952386,0.45294642148357317,0.44310499378291296,0.04727652133457113,357,0.31882716049382714,0.27003367003367,0.25412457912457914,0.3965229215229215,0.3514827764827765,0.20561167227833893,0.35563973063973064,0.2601290684624018,0.3058922558922559,0.234006734006734,0.2952270568937235,0.057515906489016985,307,0.36633663366336633,0.297029702970297,0.27722772277227725,0.39603960396039606,0.33663366336633666,0.25742574257425743,0.3564356435643564,0.33,0.33,0.28,0.32271287128712867,0.0418716886448303,204,0.2713676025079534,0.24637923709961218,0.2033063554802685,0.3470004076140063,0.2919050391186614,0.18099096892925784,0.3063619903674019,0.20842180579556477,0.274809034229324,0.2025790049837237,0.2533121446125774,0.051222353196092425,273,0.39599721250320513,0.33502193186070534,0.28926060307894147,0.42118037319012647,0.3514623157957615,0.2814993060115468,0.38336073234807816,0.3481638078042477,0.3697001114827202,0.3211443479388126,0.34967907420141453,0.042575242304257015,172,,,,,,,,,,,,,1
0.3233528137207031,0.01468935548894949,0.0672565221786499,0.005404567477914325,10,distance,3,-1,euclidean,,"{'reduce_dim__threshold': 10, 'clf__weights': 'distance', 'clf__n_neighbors': 3, 'clf__n_jobs': -1, 'clf__metric': 'euclidean'}",0.5080246913580247,0.4361111111111111,0.4948653198653198,0.5334757834757835,0.453049728049728,0.43947811447811447,0.37724466891133557,0.3699214365881033,0.431705948372615,0.4250841750841751,0.44689609772943106,0.05022541527399413,45,0.3961279461279461,0.3340347923681257,0.4416294127078441,0.39370845204178534,0.397265606579332,0.3780891622996886,0.30856180856180854,0.29613688780355446,0.38171324910230997,0.36440257273590615,0.3691669890328301,0.042272780929508876,72,0.6359285928592859,0.5493249324932493,0.6583874353821938,0.5653211474993654,0.6140300584680317,0.5817939688705712,0.5106564227851357,0.5460668498168498,0.5695446761700632,0.6359916472416473,0.5867045731586394,0.04510559270542315,66,0.5080246913580247,0.4361111111111111,0.4948653198653198,0.5334757834757835,0.453049728049728,0.43947811447811447,0.37724466891133557,0.3699214365881033,0.431705948372615,0.4250841750841751,0.44689609772943106,0.05022541527399413,45,0.37623762376237624,0.32673267326732675,0.43564356435643564,0.39603960396039606,0.4158415841584158,0.38613861386138615,0.39603960396039606,0.35,0.42,0.38,0.3882673267326733,0.030985678044826725,112,0.3783997611583818,0.32107429607429605,0.4015194681861348,0.3975550115900993,0.3851942463101508,0.3504524646997765,0.3160814494147828,0.28560715456250735,0.3757017611123891,0.3352516351897157,0.35468372482982347,0.03708563850332178,54,0.37647528299627997,0.33819843522813825,0.4460307038661426,0.39070659524020646,0.4501601633107968,0.41934151320130225,0.4140756932836141,0.3660648837097902,0.44662788129744657,0.4078238714845526,0.405550502361827,0.03570039730693917,93,,,,,,,,,,,,,1
0.28978686332702636,0.009836749346141689,0.06377804279327393,0.007638011164568552,5,distance,3,-1,euclidean,,"{'reduce_dim__threshold': 5, 'clf__weights': 'distance', 'clf__n_neighbors': 3, 'clf__n_jobs': -1, 'clf__metric': 'euclidean'}",0.4388888888888889,0.4159090909090909,0.4196969696969697,0.4936221186221186,0.3967430717430718,0.3648148148148148,0.3277497194163861,0.28052749719416387,0.35578002244668905,0.348063973063973,0.3841796166796167,0.0581470681952821,124,0.3675264550264551,0.3635222801889469,0.36160814494147825,0.38717609550942883,0.3568899782135076,0.3447891289996553,0.2743277037910681,0.253042328042328,0.33299948102579685,0.2815619967793881,0.33234435925180533,0.04366246988305126,135,0.6344220136299344,0.569056356185069,0.556949980712357,0.5919954358073171,0.6076247330615415,0.5155148134825049,0.5078948463178914,0.514702380952381,0.5411130097972203,0.5273079710144927,0.5566581540960709,0.041208421952547494,119,0.4388888888888889,0.4159090909090909,0.4196969696969697,0.4936221186221186,0.3967430717430718,0.3648148148148148,0.3277497194163861,0.28052749719416387,0.35578002244668905,0.348063973063973,0.3841796166796167,0.0581470681952821,124,0.38613861386138615,0.37623762376237624,0.3465346534653465,0.39603960396039606,0.4158415841584158,0.3069306930693069,0.36633663366336633,0.34,0.39,0.29,0.3614059405940594,0.03818648486969264,145,0.35218032384317666,0.3527336860670194,0.336929736929737,0.38758676632773637,0.3450394117673183,0.3049583310657707,0.2721516846995774,0.239340492243718,0.3226258796434235,0.2582280236454809,0.3171774336232958,0.045114631033653256,101,0.4032480452762756,0.40727644192990725,0.3625826318895626,0.40435785830139503,0.446863058267387,0.33777268455465226,0.3856874357386478,0.3699579130546872,0.41900669505932664,0.30925045858632194,0.3846003222658163,0.03857919290594275,119,,,,,,,,,,,,,1
