,precision,recall,f1-score,support
AMCVn,0.38,0.21,0.27,14
dwarf_nova_SU_UMa,0.8,0.84,0.82,189
dwarf_nova_U_Gem,0.52,0.46,0.48,35
dwarf_nova_Z_Cam,0.51,0.58,0.54,52
int_polar,0.17,0.07,0.1,15
nova,0.45,0.36,0.4,14
nova_like,0.6,0.63,0.61,43
nova_like_VY_Scl,0.55,0.61,0.58,36
polar,0.71,0.71,0.71,34
accuracy,0.66,0.66,0.66,0
macro avg,0.52,0.49,0.5,432
weighted avg,0.65,0.66,0.65,432
