objectId,ra,dec,gmag,rmag,maggmean,magrmean,g_minus_r,clr_mean,dmdt_g,dmdt_r,distpsnr1,sgmag1,brightening_g,brightening_r,last_alert,classification,classificationReliability,catalogue_table_name,separationArcsec,tns_prefix,association_type,description
ZTF18adllcmp,313.82939458,0.5384999533333333,19.6261,19.2141,19.5607,19.2001,,0.3605995178222656,,,2.43233,-999.0,1018.6261005401611,-0.7460002899169922,0.3723263740539551,SN,2,NED/SDSS/2MASS/PS1,7.74,SN,SN,"The transient is possibly associated with <em><a href=""https://ned.ipac.caltech.edu/cgi-bin/objsearch?objname=CGCG374-027&extend=no&hconst=73&omegam=0.27&omegav=0.73&corr_z=1&out_csys=Equatorial&out_equinox=J2000.0&obj_sort=RA+or+Longitude&of=pre_text&zv_breaker=30000.0&list_limit=5&img_stamp=YES"">CGCG374-027</a></em>; a J=12.43 mag galaxy found in the NED/SDSS/2MASS/PS1 catalogues. Its located 7.23"" S, 2.76"" W (3.6 Kpc) from the galaxy centre. A host z=0.023 implies a <em>m - M =</em> 35.02."
ZTF18admqhac,345.30116036875,4.260104306250001,19.4624,19.6923,19.566,19.6888,,-0.12280082702636719,,,4.58765,21.9621,-2.4996986389160156,-2.061800003051758,0.32699077390134335,SN,2,SDSS/2MASS/PS1,14.54,SN,SN,"The transient is possibly associated with <em><a href=""http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?id=1237678776861065373"">SDSS J230111.77+041548.7</a></em>; a J=14.73 mag galaxy found in the SDSS/2MASS/PS1 catalogues. Its located 12.59"" S, 7.55"" E from the galaxy centre."
ZTF18admrhub,269.11660942500004,7.891866425000001,18.3719,18.2259,18.1674,18.218,0.145964,-0.05060005187988281,-0.105585,-0.00806543,0.797473,22.2412,-3.8692989349365234,-4.011798858642578,0.4967708741314709,SN,3,NED,7.99,AT,SN,"The transient is possibly associated with <em><a href=""https://ned.ipac.caltech.edu/cgi-bin/objsearch?objname=2MASSJ17562846%2B0753271&extend=no&hconst=73&omegam=0.27&omegav=0.73&corr_z=1&out_csys=Equatorial&out_equinox=J2000.0&obj_sort=RA+or+Longitude&of=pre_text&zv_breaker=30000.0&list_limit=5&img_stamp=YES"">2MASSJ17562846%2B0753271</a></em>; an unknown-mag IrS found in the NED catalogue. Its located 3.47"" N, 7.20"" W from the IrS centre."
ZTF18adqingj,284.74606489999996,-10.1843724,16.1792,16.5018,16.1792,16.4176,,-0.2384014129638672,,-0.0853821,0.0596728,18.8804,-2.701200485229492,-1.6218986511230469,0.39740737387910485,SN,2,GAIA/PS1,2.24,AT,SN,"The transient is possibly associated with <em>4202327638872307200</em>; a G=19.32 mag galaxy found in the GAIA/PS1 catalogues. Its located 1.34"" S, 1.79"" W from the galaxy centre."
ZTF18adqwjfw,236.09588552083335,39.558104712500004,18.5836,18.6037,18.6205,18.5861,,0.03440093994140625,,,3.03624,19.0869,-0.5033016204833984,0.22809982299804688,0.5499421739950776,SN,2,NED/SDSS/2MASS/PS1,2.95,SN,SN,"The transient is possibly associated with <em><a href=""https://ned.ipac.caltech.edu/cgi-bin/objsearch?objname=2MFGC12659&extend=no&hconst=73&omegam=0.27&omegav=0.73&corr_z=1&out_csys=Equatorial&out_equinox=J2000.0&obj_sort=RA+or+Longitude&of=pre_text&zv_breaker=30000.0&list_limit=5&img_stamp=YES"">2MFGC12659</a></em>; a J=13.92 mag galaxy found in the NED/SDSS/2MASS/PS1 catalogues. Its located 2.91"" S, 0.53"" W (2.8 Kpc) from the galaxy centre. A host z=0.048 implies a <em>m - M =</em> 36.64."
ZTF18adqwusd,256.4569186129032,42.736558922580635,19.8722,20.6202,20.0366,20.2094,,-0.17280006408691406,,,2.20703,20.8198,-0.9475994110107422,1019.6201992034912,0.5278934743255377,SN,2,NED/SDSS/PS1,2.94,AT,SN,"The transient is possibly associated with <em><a href=""https://ned.ipac.caltech.edu/cgi-bin/objsearch?objname=SDSSJ170549.71%2B424414.7&extend=no&hconst=73&omegam=0.27&omegav=0.73&corr_z=1&out_csys=Equatorial&out_equinox=J2000.0&obj_sort=RA+or+Longitude&of=pre_text&zv_breaker=30000.0&list_limit=5&img_stamp=YES"">SDSSJ170549.71%2B424414.7</a></em>; an r=19.67 mag galaxy found in the NED/SDSS/PS1 catalogues. Its located 3.05"" S, 0.45"" W from the galaxy centre."
ZTF19aakjerj,259.93455493,22.92207782,18.965,19.1078,19.0098,19.1159,,-0.10610008239746094,,,0.169362,19.4603,-0.49530029296875,-0.4066009521484375,0.4800578742288053,SN,2,GAIA/PS1,0.15,AT,SN,"The transient is possibly associated with <em>4567759841704665088</em>; a G=18.64 mag galaxy found in the GAIA/PS1 catalogues. Its located 0.05"" S, 0.16"" W from the galaxy centre."
ZTF19aalfrtg,243.57193931666666,51.21416982142856,19.4877,19.5317,19.7052,19.4794,-0.0439739,0.225799560546875,73.0182,0.00837781,0.273299,20.1947,-0.707000732421875,-0.3587989807128906,0.4828934739343822,SN,2,NED/SDSS/GAIA/PS1,0.19,AT,SN,"The transient is possibly associated with <em><a href=""https://ned.ipac.caltech.edu/cgi-bin/objsearch?objname=SDSSJ161417.25%2B511251.0&extend=no&hconst=73&omegam=0.27&omegav=0.73&corr_z=1&out_csys=Equatorial&out_equinox=J2000.0&obj_sort=RA+or+Longitude&of=pre_text&zv_breaker=30000.0&list_limit=5&img_stamp=YES"">SDSSJ161417.25%2B511251.0</a></em>; a G=19.71 mag galaxy found in the NED/SDSS/GAIA/PS1 catalogues. Its located 0.23"" N, 0.15"" E from the galaxy centre."
ZTF19aascpur,220.3279100333333,6.243739285714285,19.7396,20.0704,19.6518,19.9303,-0.330832,-0.2784996032714844,0.0365217,-0.169084,0.417613,20.575,-0.8354015350341797,0.4011993408203125,0.5595254739746451,SN,2,NED/SDSS/PS1,0.38,AT,SN,"The transient is possibly associated with <em><a href=""https://ned.ipac.caltech.edu/cgi-bin/objsearch?objname=SDSSJ144118.68%2B061437.3&extend=no&hconst=73&omegam=0.27&omegav=0.73&corr_z=1&out_csys=Equatorial&out_equinox=J2000.0&obj_sort=RA+or+Longitude&of=pre_text&zv_breaker=30000.0&list_limit=5&img_stamp=YES"">SDSSJ144118.68%2B061437.3</a></em>; an r=19.38 mag galaxy found in the NED/SDSS/PS1 catalogues. Its located 0.05"" S, 0.38"" E from the galaxy centre."
ZTF19aatmshu,230.59973435,-5.3384458875,19.1831,18.9065,19.4593,19.1754,0.276608,0.28389930725097656,-0.214087,-0.259092,0.129007,21.2946,-2.111499786376953,-1.4407005310058594,0.5442129741422832,SN,2,GAIA/PS1,0.13,AT,SN,"The transient is possibly associated with <em>6323019074709662208</em>; a G=19.70 mag galaxy found in the GAIA/PS1 catalogues. Its located 0.12"" N, 0.03"" W from the galaxy centre."
