,precision,recall,f1-score,support
AMCVn,0.5,0.14,0.22,14
dwarf_nova_SU_UMa,0.85,0.87,0.86,189
dwarf_nova_U_Gem,0.59,0.63,0.61,35
dwarf_nova_Z_Cam,0.65,0.67,0.66,52
int_polar,0.0,0.0,0.0,15
nova,0.8,0.57,0.67,14
nova_like,0.57,0.74,0.65,43
nova_like_VY_Scl,0.74,0.69,0.71,36
polar,0.63,0.76,0.69,34
accuracy,0.73,0.73,0.73,0
macro avg,0.59,0.57,0.56,432
weighted avg,0.71,0.73,0.71,432
