,precision,recall,f1-score,support
AMCVn,0.13,0.36,0.19,14
dwarf_nova_SU_UMa,0.94,0.56,0.7,189
dwarf_nova_U_Gem,0.49,0.6,0.54,35
dwarf_nova_Z_Cam,0.52,0.6,0.55,52
int_polar,0.19,0.33,0.24,15
nova,0.29,0.71,0.41,14
nova_like,0.63,0.56,0.59,43
nova_like_VY_Scl,0.7,0.78,0.74,36
polar,0.71,0.79,0.75,34
accuracy,0.59,0.59,0.59,0
macro avg,0.51,0.59,0.52,432
weighted avg,0.71,0.59,0.62,432
