,precision,recall,f1-score,support
AMCVn,0.1,0.07,0.08,14
dwarf_nova_SU_UMa,0.82,0.84,0.83,189
dwarf_nova_U_Gem,0.54,0.43,0.48,35
dwarf_nova_Z_Cam,0.56,0.71,0.63,52
int_polar,0.33,0.27,0.3,15
nova,0.7,0.5,0.58,14
nova_like,0.68,0.65,0.67,43
nova_like_VY_Scl,0.74,0.72,0.73,36
polar,0.78,0.82,0.8,34
accuracy,0.71,0.71,0.71,0
macro avg,0.58,0.56,0.57,432
weighted avg,0.7,0.71,0.7,432
