mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_reduce_dim__percentile,param_clf__solver,param_clf__shrinkage,params,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,split3_test_balanced_accuracy,split4_test_balanced_accuracy,split5_test_balanced_accuracy,split6_test_balanced_accuracy,split7_test_balanced_accuracy,split8_test_balanced_accuracy,split9_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_test_precision_macro,split1_test_precision_macro,split2_test_precision_macro,split3_test_precision_macro,split4_test_precision_macro,split5_test_precision_macro,split6_test_precision_macro,split7_test_precision_macro,split8_test_precision_macro,split9_test_precision_macro,mean_test_precision_macro,std_test_precision_macro,rank_test_precision_macro,split0_test_precision_weighted,split1_test_precision_weighted,split2_test_precision_weighted,split3_test_precision_weighted,split4_test_precision_weighted,split5_test_precision_weighted,split6_test_precision_weighted,split7_test_precision_weighted,split8_test_precision_weighted,split9_test_precision_weighted,mean_test_precision_weighted,std_test_precision_weighted,rank_test_precision_weighted,split0_test_recall_macro,split1_test_recall_macro,split2_test_recall_macro,split3_test_recall_macro,split4_test_recall_macro,split5_test_recall_macro,split6_test_recall_macro,split7_test_recall_macro,split8_test_recall_macro,split9_test_recall_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro,split0_test_recall_weighted,split1_test_recall_weighted,split2_test_recall_weighted,split3_test_recall_weighted,split4_test_recall_weighted,split5_test_recall_weighted,split6_test_recall_weighted,split7_test_recall_weighted,split8_test_recall_weighted,split9_test_recall_weighted,mean_test_recall_weighted,std_test_recall_weighted,rank_test_recall_weighted,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,split3_test_f1_macro,split4_test_f1_macro,split5_test_f1_macro,split6_test_f1_macro,split7_test_f1_macro,split8_test_f1_macro,split9_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,split0_test_f1_weighted,split1_test_f1_weighted,split2_test_f1_weighted,split3_test_f1_weighted,split4_test_f1_weighted,split5_test_f1_weighted,split6_test_f1_weighted,split7_test_f1_weighted,split8_test_f1_weighted,split9_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted,split0_test_auc_macro,split1_test_auc_macro,split2_test_auc_macro,split3_test_auc_macro,split4_test_auc_macro,split5_test_auc_macro,split6_test_auc_macro,split7_test_auc_macro,split8_test_auc_macro,split9_test_auc_macro,mean_test_auc_macro,std_test_auc_macro,rank_test_auc_macro
0.30669708251953126,0.020224844275098425,0.07080881595611573,0.011824504323418363,5,svd,,"{'reduce_dim__percentile': 5, 'clf__solver': 'svd', 'clf__shrinkage': None}",0.4351851851851852,0.3924242424242424,0.4517676767676768,0.557970732970733,0.4181559181559181,0.3071548821548821,0.5042368125701459,0.40331088664421993,0.3324354657687991,0.4431818181818181,0.42458236208236205,0.07010197784755556,485,0.4176647426647426,0.32519240019240025,0.41959040321109287,0.45028058361391693,0.3702770994437661,0.2934852801519468,0.4443241943241943,0.3643151087595532,0.3049036112761603,0.422726828218819,0.38127602518565923,0.055082649424981374,485,0.6688261683311189,0.5355021216407355,0.6374888227739031,0.6389263926392639,0.6026366372901025,0.5504493526275704,0.6615597274013116,0.6082751322751322,0.5142401960784313,0.6545974300299242,0.6072501981087494,0.052865829803728275,487,0.4351851851851852,0.3924242424242424,0.4517676767676768,0.557970732970733,0.4181559181559181,0.3071548821548821,0.5042368125701459,0.40331088664421993,0.3324354657687991,0.4431818181818181,0.42458236208236205,0.07010197784755556,485,0.5346534653465347,0.40594059405940597,0.5346534653465347,0.5247524752475248,0.49504950495049505,0.38613861386138615,0.5445544554455446,0.48,0.37,0.51,0.47857425742574256,0.06296425962713371,483,0.4104580417226742,0.3235080322977551,0.41971012841278754,0.46149999411674725,0.37315800344380134,0.27371205792258424,0.43898783153169124,0.3585616956508975,0.2902012185345518,0.4089227583423272,0.3758719761975818,0.06029197630515961,483,0.5762349494018288,0.42448486918994816,0.5656999221275875,0.5485085255322101,0.5207283683268275,0.4334673316955756,0.5750855348692764,0.5137946466678861,0.40110216450216446,0.5410960277975203,0.5100202340110825,0.06271671611895673,481,,,,,,,,,,,,,1
0.3295924663543701,0.05334965908468664,0.05365574359893799,0.0042355006481907,10,svd,,"{'reduce_dim__percentile': 10, 'clf__solver': 'svd', 'clf__shrinkage': None}",0.4635802469135803,0.4744949494949495,0.6209595959595959,0.6032698782698782,0.5164465164465164,0.45653759820426487,0.5241021324354658,0.3386363636363636,0.49609988776655445,0.5795454545454546,0.5073672623672623,0.07864561430660506,388,0.44233906525573197,0.39705683205683207,0.5415842139980072,0.4965065798399132,0.46764346764346765,0.39286315536315536,0.4676446371848671,0.29688712522045857,0.45428571428571435,0.5127018043684709,0.4469512595216618,0.06678317993192129,395,0.692708824453874,0.6102114716966203,0.7093202120515196,0.6723092638934223,0.6882004134479383,0.643952252368094,0.6961475514736014,0.5533714285714286,0.6889119047619046,0.7385897435897435,0.6693723066308147,0.05098598043182569,351,0.4635802469135803,0.4744949494949495,0.6209595959595959,0.6032698782698782,0.5164465164465164,0.45653759820426487,0.5241021324354658,0.3386363636363636,0.49609988776655445,0.5795454545454546,0.5073672623672623,0.07864561430660506,388,0.594059405940594,0.48514851485148514,0.6138613861386139,0.5742574257425742,0.5742574257425742,0.48514851485148514,0.5742574257425742,0.42,0.56,0.58,0.5460990099009901,0.05826150445771466,383,0.4410176787627768,0.40786044233008834,0.5577697830665866,0.5152612937810397,0.4729927905215261,0.3886703699547376,0.46424619162733577,0.2933177933177933,0.4528723247258715,0.5109470050646521,0.45049556731524076,0.07105798944088207,386,0.6291631748824528,0.513691281825527,0.6386565231865652,0.5930059624497187,0.6033360971565136,0.5222244505900483,0.6099507059028685,0.454775641025641,0.5899085735012508,0.6165146422205245,0.577122705274111,0.05677419283680697,371,,,,,,,,,,,,,1
0.29769482612609866,0.01317748383607089,0.055589485168457034,0.008052998015460378,15,svd,,"{'reduce_dim__percentile': 15, 'clf__solver': 'svd', 'clf__shrinkage': None}",0.588888888888889,0.40505050505050505,0.6328282828282829,0.6867391867391868,0.43365708365708366,0.38229517396184065,0.5134960718294052,0.411026936026936,0.48069584736251403,0.4861111111111111,0.5020789087455755,0.09813664420552576,401,0.5166208791208792,0.3556196889530223,0.5403218694885362,0.5737493987493987,0.39904946021740567,0.3537598204264871,0.4749244582577916,0.3714642116638487,0.4273828749318945,0.45065704835819775,0.4463549710167462,0.07472902413414316,401,0.7172954520726799,0.5708999471375709,0.6783199748546284,0.7546954695469547,0.6387334065887407,0.5562556255625564,0.6694261733865694,0.601616361859556,0.6686135775988717,0.644122363268915,0.6499978351877043,0.05879027717875633,415,0.588888888888889,0.40505050505050505,0.6328282828282829,0.6867391867391868,0.43365708365708366,0.38229517396184065,0.5134960718294052,0.411026936026936,0.48069584736251403,0.4861111111111111,0.5020789087455755,0.09813664420552576,401,0.6237623762376238,0.45544554455445546,0.6039603960396039,0.6534653465346535,0.504950495049505,0.42574257425742573,0.5742574257425742,0.51,0.51,0.53,0.5391584158415841,0.06962802916109537,387,0.5190044523377857,0.35686881543118715,0.5655363155363156,0.58892601875058,0.3978946971680672,0.3485953445705767,0.47271630763890815,0.37244854538270356,0.4270506499673167,0.44651003286547625,0.44955511796489167,0.08133210293879303,390,0.646148790703246,0.48719809339098236,0.6174258182120733,0.6728144618973176,0.5361247200918049,0.4621320336368002,0.6043866028306454,0.5319436027467401,0.5374224941724942,0.5663627634882141,0.5661959381170318,0.0646671407761203,387,,,,,,,,,,,,,1
0.31555752754211425,0.013459379747983273,0.0560671329498291,0.006947286518053164,20,svd,,"{'reduce_dim__percentile': 20, 'clf__solver': 'svd', 'clf__shrinkage': None}",0.6175925925925926,0.40968013468013464,0.6122053872053872,0.6310088060088059,0.4822649572649573,0.45339506172839505,0.5891133557800224,0.40608866442199776,0.46562850729517397,0.4785353535353536,0.5145512820512821,0.08397074828748124,371,0.5422711497980316,0.3603673997352158,0.537037037037037,0.5140381223714557,0.43133718133718135,0.41330428830428834,0.5302984052984052,0.35469777136443803,0.40145700341778773,0.4237654320987654,0.45085737907626056,0.06963249518962712,383,0.7491510902242299,0.550195197617526,0.683828382838284,0.6828515818614829,0.6661094680896661,0.6515308124219015,0.7046559875767797,0.6017316017316019,0.6425610859728507,0.6258611111111112,0.6558476319445433,0.05281152543792982,391,0.6175925925925926,0.40968013468013464,0.6122053872053872,0.6310088060088059,0.4822649572649573,0.45339506172839505,0.5891133557800224,0.40608866442199776,0.46562850729517397,0.4785353535353536,0.5145512820512821,0.08397074828748124,371,0.6534653465346535,0.45544554455445546,0.6237623762376238,0.594059405940594,0.5445544554455446,0.5148514851485149,0.594059405940594,0.5,0.52,0.55,0.555019801980198,0.05777721139220194,367,0.5484458870767779,0.3610112236824566,0.5608775442108774,0.5375593542260209,0.43794708266672494,0.40965780464232476,0.54015749177727,0.35815655696976645,0.4059820426487093,0.4366247454482749,0.4596419733349203,0.07556071976567359,372,0.6764364505038263,0.4799123815738492,0.638138138138138,0.6096005754421596,0.5729253568140243,0.5485072027768898,0.6266801780653039,0.5250982112143103,0.5349666666666667,0.5721729445258857,0.5784438105721054,0.0564569716359678,363,,,,,,,,,,,,,1
0.31647424697875975,0.015253812789021916,0.05654087066650391,0.005211304552602598,25,svd,,"{'reduce_dim__percentile': 25, 'clf__solver': 'svd', 'clf__shrinkage': None}",0.6336419753086421,0.46868686868686876,0.5988215488215488,0.5307951307951309,0.48336570836570836,0.470314253647587,0.5325757575757576,0.502300785634119,0.4972222222222222,0.5500841750841752,0.5267808426141759,0.05207989100607222,359,0.5446833930704899,0.41284086284086285,0.5216323055403514,0.4712602212602212,0.4306288373935433,0.4418350168350169,0.46627436349658574,0.5652024446142092,0.4206575559516736,0.46600404703852977,0.4741019048041483,0.050214926106079055,346,0.729694605405241,0.607978819860008,0.6595368157505407,0.6616947409026617,0.666637046057547,0.6546354635463547,0.6786221021369536,0.7032692895339953,0.6485552584670232,0.6309539483505001,0.6641578090010826,0.032650041496024795,367,0.6336419753086421,0.46868686868686876,0.5988215488215488,0.5307951307951309,0.48336570836570836,0.470314253647587,0.5325757575757576,0.502300785634119,0.4972222222222222,0.5500841750841752,0.5267808426141759,0.05207989100607222,359,0.6534653465346535,0.504950495049505,0.5742574257425742,0.5841584158415841,0.5544554455445545,0.504950495049505,0.5643564356435643,0.62,0.54,0.55,0.565059405940594,0.04413311111752793,339,0.565901496164654,0.42098765432098767,0.5332910153484958,0.4896314861227142,0.43793816549234504,0.4161459455577103,0.47618169437832514,0.46622724086426437,0.430353147846754,0.4823074480107175,0.4718965294106968,0.04653869385758707,359,0.6718024809999797,0.5334983498349835,0.5960548785306846,0.6029103286268477,0.5802333031588465,0.5337612882167337,0.5968618714161628,0.6335696785066114,0.55315466170658,0.5672266557617174,0.5869073496759148,0.041317748056504074,339,,,,,,,,,,,,,1
0.3426551818847656,0.023874327444641873,0.05456390380859375,0.0063621755306102565,30,svd,,"{'reduce_dim__percentile': 30, 'clf__solver': 'svd', 'clf__shrinkage': None}",0.6493827160493827,0.4526936026936027,0.6059764309764311,0.5868104118104118,0.4922429422429422,0.4645061728395061,0.5996071829405163,0.4868686868686869,0.6131874298540966,0.5277777777777778,0.5479053354053354,0.06735572448078261,320,0.5548500881834216,0.4130391213724547,0.5199721226602947,0.5073295159502056,0.43544372294372297,0.4299987974987975,0.4998316498316498,0.4463203463203463,0.5295634920634922,0.4621114482225594,0.47984603050469443,0.04606546043138696,328,0.7497328304258997,0.6360993242181361,0.6489336030377231,0.6902360755211556,0.6641330204449017,0.6473177317731773,0.6921242124212421,0.6618268398268399,0.7325714285714287,0.6611509786509786,0.6784126044891483,0.035708303897761334,307,0.6493827160493827,0.4526936026936027,0.6059764309764311,0.5868104118104118,0.4922429422429422,0.4645061728395061,0.5996071829405163,0.4868686868686869,0.6131874298540966,0.5277777777777778,0.5479053354053354,0.06735572448078261,320,0.6633663366336634,0.5148514851485149,0.594059405940594,0.6039603960396039,0.5346534653465347,0.5247524752475248,0.5841584158415841,0.61,0.66,0.58,0.5869801980198021,0.04889243348367609,272,0.5760439778086837,0.4118471578425812,0.5342806334309602,0.5246095755287734,0.44071909420090594,0.4266630197217536,0.5129552441213948,0.45606084184515555,0.5541737339982954,0.4774261668189001,0.49147794453174043,0.05389206502036476,310,0.6832448564830628,0.5517960878995839,0.6035987748742554,0.626267621571993,0.5582845367311133,0.5563706027353308,0.6116401998448407,0.6232999533146591,0.671665717323612,0.5951372774194574,0.6081305628197908,0.04333233117126538,274,,,,,,,,,,,,,1
0.3251510143280029,0.012852936406167697,0.05495774745941162,0.005283969924839592,35,svd,,"{'reduce_dim__percentile': 35, 'clf__solver': 'svd', 'clf__shrinkage': None}",0.6561728395061728,0.4478956228956229,0.5617845117845118,0.5792346542346541,0.45167055167055165,0.4584455667789001,0.5650392817059484,0.46711560044893374,0.5917227833894501,0.6052188552188552,0.5384300267633602,0.07161681614799406,336,0.5574955908289243,0.4211760461760462,0.4764670514670515,0.4874074074074074,0.41439153439153437,0.39974146224146223,0.5056878306878306,0.42421576817861645,0.5248538498538499,0.5137566137566137,0.4725193154989336,0.05161646517556855,357,0.7664230708785165,0.6536582229651537,0.6377266298058376,0.685987741631306,0.6615538696726816,0.6225801151543726,0.6787718057520037,0.6420297803331859,0.7078801198801199,0.6961428571428572,0.6752754213216036,0.03985091304050387,341,0.6561728395061728,0.4478956228956229,0.5617845117845118,0.5792346542346541,0.45167055167055165,0.4584455667789001,0.5650392817059484,0.46711560044893374,0.5917227833894501,0.6052188552188552,0.5384300267633602,0.07161681614799406,336,0.6633663366336634,0.48514851485148514,0.5643564356435643,0.5742574257425742,0.5445544554455446,0.5346534653465347,0.5742574257425742,0.6,0.62,0.63,0.5790594059405941,0.0490522918981042,305,0.5776490028079247,0.40254435107376285,0.4919499928271859,0.5050617283950617,0.4192399046888211,0.40959204388690534,0.5086097449358543,0.4338064553401282,0.5394610263031315,0.5376999275550001,0.4825614177813776,0.05891206589217173,340,0.6854073435431491,0.5295656876612032,0.5778354527182041,0.596897689768977,0.5747136534495145,0.5522758718647511,0.6083277895189737,0.6086870325486625,0.6353820915926179,0.637256612952265,0.6006349225618318,0.042958145745802354,301,,,,,,,,,,,,,1
0.3297665357589722,0.012351681496886873,0.05189502239227295,0.0033060043203399043,40,svd,,"{'reduce_dim__percentile': 40, 'clf__solver': 'svd', 'clf__shrinkage': None}",0.6074074074074074,0.4337542087542088,0.5582491582491582,0.5636622636622637,0.4632025382025382,0.5341189674523008,0.6105218855218855,0.47859147025813686,0.6263468013468013,0.6906565656565656,0.5566511266511266,0.07666955879941732,286,0.5401200651200652,0.40974025974025974,0.49861324458098655,0.49526214526214524,0.42805116694005585,0.47345160286336757,0.5353752579559031,0.42924011355383906,0.5304553471220138,0.5685913469246803,0.49089005500633165,0.0516943160637832,263,0.7419078446306169,0.6121865758004372,0.6591864255549978,0.7056362779135058,0.6712945012449963,0.6650581024489004,0.7148916504553681,0.653283422459893,0.7242907647907648,0.7442500222000222,0.6891985587499503,0.04122561888020967,207,0.6074074074074074,0.4337542087542088,0.5582491582491582,0.5636622636622637,0.4632025382025382,0.5341189674523008,0.6105218855218855,0.47859147025813686,0.6263468013468013,0.6906565656565656,0.5566511266511266,0.07666955879941732,286,0.6435643564356436,0.48514851485148514,0.5841584158415841,0.6039603960396039,0.5643564356435643,0.594059405940594,0.6039603960396039,0.61,0.64,0.65,0.597920792079208,0.045643800605045706,235,0.5539089525390896,0.3940233694305575,0.5105494231208025,0.5090050835148874,0.431665901529199,0.4855991316511057,0.5325380792047459,0.4459180666077218,0.5532095764352047,0.5965065546054463,0.5012924138638761,0.059429109163000815,252,0.6662145666621457,0.5223306074148838,0.6066305806574942,0.6311719407234841,0.5947582745018496,0.6046107545001663,0.6355629848699155,0.6220615974064251,0.6561675826704824,0.6623931514634839,0.6201902040870331,0.04025418222891955,212,,,,,,,,,,,,,1
0.33917324542999266,0.0158422222111918,0.050508975982666016,0.00409514621349183,45,svd,,"{'reduce_dim__percentile': 45, 'clf__solver': 'svd', 'clf__shrinkage': None}",0.6305555555555555,0.3696127946127946,0.5531986531986531,0.5245208495208495,0.4962833462833463,0.454685746352413,0.6208193041526374,0.453030303030303,0.5695005611672278,0.6414141414141414,0.5313621255287921,0.08446304232262829,354,0.5384831218164552,0.3496873496873497,0.4881433381433381,0.49104648012693997,0.4538119288119288,0.4159745604190049,0.5575637325637326,0.4180877277368505,0.4924645978567547,0.5283034866368199,0.4733566323799174,0.06105045846507723,354,0.7383235576304883,0.5854656894260855,0.6573957395739574,0.6984384645361088,0.6849899275641851,0.624039070573724,0.7201973768805452,0.6317129566340092,0.7113729897553427,0.6978098290598289,0.6749745601634276,0.04619761846729019,344,0.6305555555555555,0.3696127946127946,0.5531986531986531,0.5245208495208495,0.4962833462833463,0.454685746352413,0.6208193041526374,0.453030303030303,0.5695005611672278,0.6414141414141414,0.5313621255287921,0.08446304232262829,354,0.6435643564356436,0.45544554455445546,0.5643564356435643,0.594059405940594,0.5841584158415841,0.5346534653465347,0.6336633663366337,0.6,0.6,0.62,0.5829900990099011,0.05221166380672919,286,0.5610791755813456,0.3342062439271575,0.49625220458553787,0.4896469110221461,0.46283683063868825,0.4220053054623662,0.5592010318974469,0.4282727427888718,0.4984909132735219,0.5569756360836174,0.48089669952606995,0.06859478286425912,345,0.6652774079307927,0.4952454554607744,0.5877730630205877,0.6236518966734939,0.6146515580350604,0.5558418144233055,0.6584271033661567,0.607558371735791,0.6226781228433402,0.6319442981119038,0.6063049091601207,0.047661567674236696,282,,,,,,,,,,,,,1
0.34871611595153806,0.016572653312411735,0.054392027854919436,0.005840216501539222,50,svd,,"{'reduce_dim__percentile': 50, 'clf__solver': 'svd', 'clf__shrinkage': None}",0.6308641975308642,0.4138047138047138,0.5557239057239057,0.637017612017612,0.5411939911939911,0.4908529741863074,0.6247474747474747,0.4310606060606061,0.6001122334455667,0.5993265993265994,0.5524704308037641,0.07802948304715991,300,0.5428571428571429,0.3813819924931036,0.49115581098339717,0.55,0.47601678157233707,0.4184642517975851,0.5761263427930094,0.39529016734899086,0.5169312169312169,0.4925460342127008,0.4840769740989484,0.06346229461210597,301,0.7375294672324375,0.6275261225756275,0.6649112325025606,0.7117034780401118,0.698003133646698,0.6245360799816245,0.742082779706542,0.6086414027149322,0.7279047619047619,0.6759530747030748,0.681879153300837,0.04681724112989498,280,0.6308641975308642,0.4138047138047138,0.5557239057239057,0.637017612017612,0.5411939911939911,0.4908529741863074,0.6247474747474747,0.4310606060606061,0.6001122334455667,0.5993265993265994,0.5524704308037641,0.07802948304715991,300,0.6633663366336634,0.49504950495049505,0.5742574257425742,0.6336633663366337,0.6039603960396039,0.5445544554455446,0.6831683168316832,0.57,0.63,0.59,0.5988019801980198,0.053589468134986086,234,0.5694650205761316,0.3755119929933517,0.49678799819991837,0.5713726945611003,0.49055581049650726,0.43759933337398127,0.5841510341510341,0.40524406449046513,0.5281677318371165,0.5145592940733605,0.4973414974752967,0.06812111936422827,294,0.6803080308030804,0.5334472653543747,0.597613670111475,0.6524320889366089,0.6261738574577567,0.5600318583166164,0.7021473575929023,0.5805237736058751,0.6460983919712607,0.6030435048327631,0.6181819798982714,0.050554796781585344,231,,,,,,,,,,,,,1
