,precision,recall,f1-score,support
AMCVn,0.2,0.14,0.17,14
dwarf_nova_SU_UMa,0.83,0.84,0.83,189
dwarf_nova_U_Gem,0.54,0.43,0.48,35
dwarf_nova_Z_Cam,0.52,0.65,0.58,52
int_polar,0.0,0.0,0.0,15
nova,0.56,0.36,0.43,14
nova_like,0.46,0.6,0.53,43
nova_like_VY_Scl,0.7,0.64,0.67,36
polar,0.75,0.71,0.73,34
accuracy,0.66,0.66,0.66,0
macro avg,0.51,0.49,0.49,432
weighted avg,0.66,0.66,0.66,432
