,precision,recall,f1-score,support
AMCVn,0.07,0.29,0.12,14
dwarf_nova_SU_UMa,0.83,0.41,0.55,189
dwarf_nova_U_Gem,0.36,0.46,0.41,35
dwarf_nova_Z_Cam,0.57,0.54,0.55,52
int_polar,0.14,0.2,0.17,15
nova,0.21,0.57,0.3,14
nova_like,0.45,0.65,0.53,43
nova_like_VY_Scl,0.62,0.58,0.6,36
polar,0.6,0.62,0.61,34
accuracy,0.48,0.48,0.48,0
macro avg,0.43,0.48,0.43,432
weighted avg,0.62,0.48,0.51,432
