,precision,recall,f1-score,support
AMCVn,0.1,0.36,0.15,14
dwarf_nova_SU_UMa,0.86,0.39,0.54,189
dwarf_nova_U_Gem,0.33,0.57,0.42,35
dwarf_nova_Z_Cam,0.56,0.52,0.54,52
int_polar,0.15,0.27,0.2,15
nova,0.25,0.64,0.36,14
nova_like,0.49,0.6,0.54,43
nova_like_VY_Scl,0.62,0.58,0.6,36
polar,0.62,0.68,0.65,34
accuracy,0.48,0.48,0.48,0
macro avg,0.44,0.51,0.44,432
weighted avg,0.64,0.48,0.51,432
