,precision,recall,f1-score,support
AMCVn,0.5,0.43,0.46,14
dwarf_nova_SU_UMa,0.92,0.78,0.85,189
dwarf_nova_U_Gem,0.51,0.51,0.51,35
dwarf_nova_Z_Cam,0.56,0.67,0.61,52
int_polar,0.0,0.0,0.0,15
nova,0.62,0.57,0.59,14
nova_like,0.57,0.65,0.61,43
nova_like_VY_Scl,0.74,0.69,0.71,36
polar,0.47,0.88,0.61,34
accuracy,0.69,0.69,0.69,0
macro avg,0.54,0.58,0.55,432
weighted avg,0.7,0.69,0.69,432
