objectId,ra,dec,gmag,rmag,maggmean,magrmean,g_minus_r,clr_mean,dmdt_g,dmdt_r,distpsnr1,sgmag1,brightening_g,brightening_r,sgscore1,last_alert,classification,classificationReliability,catalogue_table_name,separationArcsec,physical_separation_kpc,direct_distance,distance,z,photoZ,major_axis_arcsec,tns_prefix,association_type,description
ZTF23aaxxvob,325.86553817222216,34.45547407777778,19.9615,19.6492,20.2277,20.1417,0.0422001,0.08599853515625,-0.0530511,0.143227,3.92497,21.4531,-1.4916000366210938,-0.5930995941162109,0.5,6.256562491878867,SN,2,2MASS/PS1,5.9,0.0,0.0,0.0,0.0,0.0,0.0,AT,SN,"The transient is possibly associated with <em>21432796+3427141</em>; a J=13.73 mag galaxy found in the 2MASS/PS1 catalogues. Its located 5.44"" N, 2.74"" W from the galaxy centre."
ZTF23aaygybb,235.20523346666664,17.179637166666666,20.0849,20.2595,20.2422,20.2595,-0.17461,-0.017299652099609375,0.15764,,0.78768,21.7845,-1.6996002197265625,-1.0522994995117188,0.001875,18.336354191880673,SN,2,2MASS,26.34,0.0,0.0,0.0,0.0,0.0,0.0,AT,SN,"The transient is possibly associated with <em>15405092+1710580</em>; a J=14.86 mag galaxy found in the 2MASS catalogue. Its located 11.47"" S, 23.71"" W from the galaxy centre."
ZTF23aaylgle,348.95469281666664,-6.933087716666666,19.6422,19.7972,19.9732,20.2444,-0.00469971,-0.27120018005371094,0.0734864,0.0808609,1.75691,20.8176,-1.1753997802734375,-0.7131004333496094,0.0140833,8.13337959209457,SN,2,SDSS/PS1,1.99,0.0,0.0,0.0,0.0,0.08,10.55,AT,SN,"The transient is possibly associated with <em><a href=""http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?id=1237680263995458186"">SDSS J231549.10-065557.0</a></em>; an r=19.64 mag galaxy found in the SDSS/PS1 catalogues. Its located 1.99"" S, 0.29"" E from the galaxy centre."
ZTF23aaxzvrr,15.092847599999999,42.08710145,18.6574,18.2456,18.6574,18.2456,0.411793,0.4118003845214844,,,7.82939,19.3632,-0.7057991027832031,-0.6426010131835938,1.0,18.061284692026675,UNCLEAR,3,SDSS/PS1,0.17,0.0,0.0,0.0,0.0,0.0,3.41,AT,UNCLEAR,"The transient is possibly associated with <em><a href=""http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?id=1237673074746722631"">SDSS J010022.28+420513.7</a></em>; an r=23.84 mag uncertain found in the SDSS/PS1 catalogues. Its located 0.17"" S, 0.03"" E from the uncertain centre."
ZTF23aavvsfy,247.950738425,51.95787841875,19.9521,19.9925,19.9782,20.0224,0.0741005,-0.04419898986816406,0.077809,-0.0565465,8.90057,-999.0,1018.9521007537842,-2.032899856567383,0.967667,6.326712992042303,SN,2,SDSS,5.27,0.0,0.0,0.0,0.0,0.66,0.0,AT,SN,"The transient is possibly associated with <em><a href=""http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?id=1237665570903032960"">SDSS J163148.52+515732.2</a></em>; an r=22.78 mag galaxy found in the SDSS catalogue. Its located 3.85"" S, 3.60"" W from the galaxy centre."
ZTF23aaxavgf,1.331252975,11.360010062499999,19.9517,19.9669,19.8802,20.1244,-0.0151691,-0.2441997528076172,-0.0339405,-0.0636783,5.40582,-999.0,1018.9517002105713,-1.913400650024414,0.906167,7.110023192130029,ORPHAN,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AT,0,No contexual information is available for this transient
ZTF23aazemxq,27.843395875,3.97947835,20.0072,19.9065,19.9523,19.874,0.2665,0.07829856872558594,-0.0627472,-0.0898471,3.63598,20.643,-0.6357994079589844,-0.4997997283935547,0.00125,6.1736920918338,SN,2,SDSS/PS1,3.4,0.0,0.0,0.0,0.0,0.06,13.62,AT,SN,"The transient is possibly associated with <em><a href=""http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?id=1237678622239490264"">SDSS J015122.65+035845.5</a></em>; an r=19.25 mag galaxy found in the SDSS/PS1 catalogues. Its located 0.92"" N, 3.28"" W from the galaxy centre."
ZTF23aazesfq,79.03934516666668,61.37734403333334,19.4788,19.631,19.1328,19.1563,-0.152189,-0.023500442504882812,-0.13391,-0.212664,2.31939,21.0889,-1.6100997924804688,-1.0062999725341797,0.5,10.056168992072344,SN,2,SDSS/PS1,2.23,0.0,0.0,0.0,0.0,0.11,9.85,AT,SN,"The transient is possibly associated with <em><a href=""http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?id=1237667207282033115"">SDSS J051609.73+612239.3</a></em>; an r=19.50 mag galaxy found in the SDSS/PS1 catalogues. Its located 0.98"" S, 2.01"" W from the galaxy centre."
ZTF23aazfibd,55.790603966666666,2.0650845555555555,19.8269,19.6595,20.3275,20.1288,0.167393,0.198699951171875,0.0179783,0.0545396,2.80906,21.5621,-1.735198974609375,-1.3395004272460938,0.00645833,7.044189792126417,SN,2,PS1,3.02,0.0,0.0,0.0,0.0,0.0,7.63,AT,SN,"The transient is possibly associated with <em>110470557898938698</em>; an r=20.31 mag galaxy found in the PS1 catalogue. Its located 0.52"" S, 2.97"" E from the galaxy centre."
ZTF23aazboqk,286.76769685,-10.911608300000001,19.475,19.0547,19.475,19.0547,0.420336,0.4202995300292969,,,0.279101,22.1372,-2.662199020385742,-2.543498992919922,0.5,17.215972192119807,UNCLEAR,3,PS1,0.21,0.0,0.0,0.0,0.0,0.0,0.0,AT,UNCLEAR,"The transient is possibly associated with <em>94902867676586466</em>; a g=24.64 mag uncertain found in the PS1 catalogue. Its located 0.21"" N, 0.01"" E from the uncertain centre."
ZTF23aazdabh,316.4829795833333,-23.703259400000004,18.7175,18.8467,18.989,19.1812,-0.00570107,-0.19219970703125,0.0442436,0.0519923,3.94652,19.8729,-1.1553993225097656,1017.846700668335,0.5,4.280243092216551,SN,2,2MASS/PS1,6.23,0.0,0.0,0.0,0.0,0.0,0.0,AT,SN,"The transient is possibly associated with <em>21055624-2342074</em>; a J=14.30 mag galaxy found in the 2MASS/PS1 catalogues. Its located 4.23"" S, 4.58"" W from the galaxy centre."
ZTF23aawohfj,230.1317669888889,5.1288956555555565,19.3231,19.1591,19.1736,19.1336,0.164022,0.03999900817871094,-0.0409708,0.0286326,3.56585,21.1803,-1.8572006225585938,-1.668600082397461,,6.335798591841012,SN,2,NED/PS1,3.52,0.0,0.0,0.0,0.0,0.0,6.33,AT,SN,"The transient is possibly associated with <em><a href=""https://ned.ipac.caltech.edu/cgi-bin/objsearch?objname=SDSSJ152031.82%2B050742.0&extend=no&hconst=73&omegam=0.27&omegav=0.73&corr_z=1&out_csys=Equatorial&out_equinox=J2000.0&obj_sort=RA+or+Longitude&of=pre_text&zv_breaker=30000.0&list_limit=5&img_stamp=YES"">SDSSJ152031.82%2B050742.0</a></em>; an r=20.27 mag galaxy found in the NED/PS1 catalogues. Its located 2.14"" N, 2.80"" W from the galaxy centre."
ZTF23aaqfbry,342.1486710909091,-1.068240290909091,20.5472,20.5033,20.2843,20.4503,0.00589943,-0.1660003662109375,-0.0285783,0.0191955,9.21192,22.0426,-1.495401382446289,-1.4342002868652344,0.00125,45.17454859195277,SN,2,SDSS,4.65,0.0,0.0,0.0,0.0,0.1,0.0,AT,SN,"The transient is possibly associated with <em><a href=""http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?id=1237660024495932247"">SDSS J224835.68-010410.3</a></em>; an r=22.60 mag galaxy found in the SDSS catalogue. Its located 4.63"" N, 0.41"" E from the galaxy centre."
ZTF23aauxggi,315.4456394666667,5.378448977777778,20.445,20.3388,20.3436,20.3679,0.106209,-0.024301528930664062,0.006555,0.0602938,11.2388,21.662,-1.217000961303711,0.1447010040283203,0.99875,17.17288199206814,SN,2,SDSS/2MASS,27.38,0.0,0.0,0.0,0.0,0.06,0.0,AT,SN,"The transient is possibly associated with <em><a href=""http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?id=1237669763325100820"">SDSS J210145.1+052236.1</a></em>; a J=14.08 mag galaxy found in the SDSS/2MASS catalogues. Its located 6.13"" N, 26.69"" E from the galaxy centre."
ZTF23aarktwx,347.678570075,21.36969195,20.1674,20.1,20.3781,20.2065,0.198601,0.171600341796875,0.0331531,-0.0224689,3.31364,20.9465,-0.7791004180908203,-0.1700000762939453,0.00107143,39.12731479201466,SN,2,SDSS/PS1,3.29,0.0,0.0,0.0,0.0,0.17,0.0,AT,SN,"The transient is possibly associated with <em><a href=""http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?id=1237672815976382888"">SDSS J231042.63+212211.4</a></em>; an r=19.32 mag galaxy found in the SDSS/PS1 catalogues. Its located 0.59"" S, 3.42"" E from the galaxy centre."
ZTF23aaxafsu,357.29884832000005,-19.563353319999997,20.4129,20.0312,20.1692,20.0573,0.381681,0.11190032958984375,-0.199861,0.00651713,1.66548,21.2624,-0.8494987487792969,-1.858499526977539,0.00208333,21.099259291775525,SN,2,PS1,1.55,0.0,0.0,0.0,0.0,0.0,6.09,AT,SN,"The transient is possibly associated with <em>84523572984654193</em>; an r=21.46 mag galaxy found in the PS1 catalogue. Its located 0.13"" S, 1.55"" E from the galaxy centre."
ZTF23aaztscy,28.91801703333333,-12.903054866666665,20.0964,20.0544,20.0964,20.2577,0.0419617,-0.1613006591796875,,0.057367,11.9614,-999.0,1019.096399307251,-2.1825008392333984,0.295274,10.070717591792345,ORPHAN,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AT,0,No contexual information is available for this transient
ZTF23aaxlmtg,355.0025001666666,-22.75216283333333,20.4569,20.3025,20.3049,20.3025,0.154408,0.002399444580078125,-0.158689,,1.79699,21.1511,-0.6942005157470703,-0.63330078125,0.5,20.134074091911316,SN,2,PS1,2.13,0.0,0.0,0.0,0.0,0.0,12.13,AT,SN,"The transient is possibly associated with <em>80693550028397322</em>; an r=19.91 mag galaxy found in the PS1 catalogue. Its located 1.67"" N, 1.32"" W from the galaxy centre."
ZTF23aawylxc,338.50568834545453,32.89033852727273,20.3038,20.2165,20.3224,20.2064,0.2929,0.11599922180175781,-0.0307098,-0.0104678,0.817095,21.0037,-0.6998996734619141,-0.43470001220703125,0.00166667,9.181157391984016,SN,2,LASR,159.14,8.82,0.0,11.49,0.0,0.0,0.0,AT,SN,"The transient is possibly associated with <em>UGC12082</em>; a W1=15.02 mag galaxy found in the LASR catalogue. Its located 104.72"" N, 119.83"" W (8.8 Kpc) from the galaxy centre. A host z=0.003 implies a <em>m - M =</em> 30.30."
ZTF23aaztrrx,10.700944733333332,32.571894633333336,20.7247,20.454,20.7247,20.4082,0.362301,0.3165016174316406,,-0.0471249,4.6099,21.7608,-1.0360984802246094,-0.6344985961914062,0.994583,8.137858792208135,SN,2,SDSS/LASR,80.69,26.44,0.0,69.78,0.02,0.02,0.0,AT,SN,"The transient is possibly associated with <em><a href=""http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?id=1237680478734057516"">SDSS J004254+323451.4</a></em>; an r=13.74 mag galaxy found in the SDSS/LASR catalogues. Its located 32.53"" S, 74.05"" W (26.4 Kpc) from the galaxy centre. A host z=0.016 implies a <em>m - M =</em> 34.22."
ZTF23aaxybhi,19.684337466666666,13.310862833333333,20.1006,19.9298,20.1433,20.0591,0.170807,0.08419990539550781,0.0282051,0.0322332,19.3222,-999.0,1019.1005992889404,-2.2119007110595703,0.5,6.054201391991228,ORPHAN,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AT,0,No contexual information is available for this transient
ZTF23aazqiyf,314.66557112500004,-7.769842925000001,20.4457,19.8235,20.4764,19.9242,0.622162,0.5522003173828125,0.0306303,0.0963684,11.1617,21.2835,-0.8378009796142578,-0.8054008483886719,,8.17107639182359,SN,2,NED/2MASS/PS1,22.85,35.33,0.0,373.53,0.08,0.0,0.0,AT,SN,"The transient is possibly associated with <em><a href=""https://ned.ipac.caltech.edu/cgi-bin/objsearch?objname=2MASXJ20584114-0746030&extend=no&hconst=73&omegam=0.27&omegav=0.73&corr_z=1&out_csys=Equatorial&out_equinox=J2000.0&obj_sort=RA+or+Longitude&of=pre_text&zv_breaker=30000.0&list_limit=5&img_stamp=YES"">2MASXJ20584114-0746030</a></em>; a J=13.92 mag galaxy found in the NED/2MASS/PS1 catalogues. Its located 8.42"" S, 21.24"" W (35.3 Kpc) from the galaxy centre. A host z=0.082 implies a <em>m - M =</em> 37.86."
ZTF23abahygx,53.338760750000006,-3.3494602,20.6682,20.3085,20.6682,20.3085,0.359722,0.3596992492675781,,,1.58873,21.2366,-0.5684013366699219,-0.3631000518798828,0.01225,7.053958292119205,SN,2,PS1,1.52,0.0,0.0,0.0,0.0,0.0,8.01,AT,SN,"The transient is possibly associated with <em>103980533390611164</em>; an r=19.92 mag galaxy found in the PS1 catalogue. Its located 0.11"" S, 1.52"" W from the galaxy centre."
ZTF23aazrpka,311.20258393333336,-1.57222945,18.9819,18.856,19.2326,19.023,0.177399,0.20959854125976562,0.0928357,-0.0259101,3.80043,-999.0,1017.9818992614746,-2.8032989501953125,0.730518,4.307557892054319,SN,2,2MASS/PS1,5.24,0.0,0.0,0.0,0.0,0.0,0.0,AT,SN,"The transient is possibly associated with <em>20444888-0134243</em>; a J=14.16 mag galaxy found in the 2MASS/PS1 catalogues. Its located 4.40"" N, 4.02"" W from the galaxy centre."
ZTF23aawkrav,344.00561615,21.3056549,20.5292,20.4451,20.5136,20.3949,0.0841389,0.11870002746582031,-0.0103892,-0.0247114,1.8264,21.2063,-0.6771011352539062,-0.6924991607666016,0.0025,18.15158569207415,SN,2,SDSS/PS1,1.83,0.0,0.0,0.0,0.0,0.09,7.34,AT,SN,"The transient is possibly associated with <em><a href=""http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?id=1237680298348381014"">SDSS J225601.28+211818.9</a></em>; an r=20.27 mag galaxy found in the SDSS/PS1 catalogues. Its located 1.59"" N, 0.90"" E from the galaxy centre."
