objectId,ra,dec,gmag,rmag,maggmean,magrmean,g_minus_r,clr_mean,dmdt_g,dmdt_r,distpsnr1,sgmag1,brightening_g,brightening_r,sgscore1,last_alert,classification,classificationReliability,catalogue_table_name,separationArcsec,physical_separation_kpc,direct_distance,distance,z,photoZ,major_axis_arcsec,tns_prefix,association_type,description
ZTF19aaprgqb,331.2743215058823,37.73484363529411,19.0322,18.5052,18.8961,18.5368,0.526995,0.3592987060546875,0.1772,0.09397,0.126462,19.215,-0.18280029296875,-0.6743011474609375,0.990708,4.296261617913842,VS,1,PS1,0.05,0.0,0.0,0.0,0.0,0.0,4.24,AT,VS,"The transient is synonymous with <em>153283312743882483</em>; an r=19.43 mag stellar source found in the PS1 catalogue. Its located 0.0"" from the stellar source core."
ZTF18abhdwng,286.136985875,-10.417801475000001,19.2238,19.0874,19.2695,19.1784,0.136356,0.09110069274902344,0.00366711,0.0073291,0.111995,20.5447,-1.3208999633789062,-1.0935001373291016,0.86075,17.21596061810851,VS,1,PS1,0.17,0.0,0.0,0.0,0.0,0.0,4.4,AT,VS,"The transient is synonymous with <em>95492861369839055</em>; an r=20.70 mag stellar source found in the PS1 catalogue. Its located 0.2"" from the stellar source core."
ZTF18abcpwci,270.14799972,8.170894083333334,18.405,17.2945,18.3906,17.999,0.567001,0.3915996551513672,0.23342,,0.887659,17.3969,1.0081005096435547,0.8691997528076172,1.0,4.349004617892206,VS,1,SDSS/PS1,0.92,0.0,0.0,0.0,0.0,0.0,5.46,AT,VS,"The transient is synonymous with <em><a href=""http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?id=1237668657377247739"">SDSS J180035.52+081014.4</a></em>; an r=16.22 mag stellar source found in the SDSS/PS1 catalogues. Its located 0.9"" from the stellar source core."
ZTF22abccmqq,13.9551171375,3.9876577125,19.1512,18.9483,19.2529,18.9983,0.2062,0.25459861755371094,0.000371221,0.0411774,0.671911,18.3546,0.7965984344482422,1.081899642944336,0.0319583,9.131990718189627,VS,1,GSC,0.91,0.0,0.0,0.0,0.0,0.0,0.0,AT,VS,"The transient is synonymous with <em>NB5D005200</em>; a V=17.27 mag stellar source found in the GSC catalogue. Its located 0.9"" from the stellar source core."
ZTF19aanxdhc,200.71461468571428,-5.686930057142858,19.189,19.3445,19.2256,19.2544,-0.127199,-0.02880096435546875,0.0170475,-0.00509878,1.01791,18.0384,1.1505985260009766,1.3207988739013672,0.990208,56.29708331776783,VS,1,PS1,0.81,0.0,0.0,0.0,0.0,0.0,5.33,AT,VS,"The transient is synonymous with <em>101172007145316089</em>; an r=17.91 mag stellar source found in the PS1 catalogue. Its located 0.8"" from the stellar source core."
ZTF19abgaevn,345.4042544833333,36.71289516666666,21.1059,20.036,20.9948,20.3713,0.5693,0.6235008239746094,-0.112474,0.0329989,0.484766,19.9101,1.1957988739013672,0.6746997833251953,0.950548,6.193125017918646,VS,1,PS1,0.47,0.0,0.0,0.0,0.0,0.0,0.0,AT,VS,"The transient is synonymous with <em>152053454042516063</em>; a g=20.50 mag stellar source found in the PS1 catalogue. Its located 0.5"" from the stellar source core."
ZTF19aasdblk,257.08533886,8.49264131,19.5216,19.5524,19.7259,19.6039,0.0670986,0.12199974060058594,0.0157816,0.0177023,0.89558,17.964,1.5576000213623047,1.7651004791259766,0.9975,5.359201417770237,VS,1,PS1,0.88,0.0,0.0,0.0,0.0,0.0,4.47,AT,VS,"The transient is synonymous with <em>118192570851921728</em>; an r=17.80 mag stellar source found in the PS1 catalogue. Its located 0.9"" from the stellar source core."
ZTF19aapzxlt,245.62827241111114,-17.878747355555557,19.5513,19.3541,19.4866,19.2094,0.429201,0.27720069885253906,0.00557709,,0.438774,18.2013,1.3500003814697266,1.370199203491211,0.9925,27.298692117910832,VS,1,GSC/PS1,0.48,0.0,0.0,0.0,0.0,0.0,0.0,AT,VS,"The transient is synonymous with <em>S8IS026471</em>; a B=18.56 mag stellar source found in the GSC/PS1 catalogues. Its located 0.5"" from the stellar source core."
ZTF22aaklrfy,236.20908698571426,-11.889841014285716,18.1358,17.5135,17.9243,17.0663,0.622284,0.8579998016357422,0.0668531,0.0202731,1.10056,16.2529,1.8829002380371094,1.8277997970581055,0.979958,6.337210617959499,VS,1,GAIA/PS1,1.08,0.0,0.0,0.0,0.0,0.0,0.0,AT,VS,"The transient is synonymous with <em>6268452717808327552</em>; a G=15.79 mag stellar source found in the GAIA/PS1 catalogues. Its located 1.1"" from the stellar source core."
ZTF21aawkwfv,323.19144372,47.183977500000005,16.9427,16.4382,17.0885,16.4382,0.641899,0.650299072265625,0.125678,,1.21661,15.9399,1.0027990341186523,1.1981000900268555,0.978917,35.19953701784834,VS,1,GSC/PS1/GAIA,1.16,0.0,0.0,0.0,0.0,0.0,0.0,AT,VS,"The transient is synonymous with <em>N2U0111669</em>; a V=15.69 mag stellar source found in the GSC/PS1/GAIA catalogues. Its located 1.2"" from the stellar source core."
ZTF22aajbnyx,314.28072566000003,-15.71705802,18.715,18.5755,18.783,18.6647,0.139524,0.1183013916015625,0.000672526,0.013748,0.255924,18.2789,0.4361000061035156,0.7166004180908203,0.964208,4.279756918083876,VS,1,SDSS/PS1,0.15,0.0,0.0,0.0,0.0,0.0,4.97,AT,VS,"The transient is synonymous with <em><a href=""http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?id=1237668758853386333"">SDSS J205707.37-154301.4</a></em>; an r=18.01 mag stellar source found in the SDSS/PS1 catalogues. Its located 0.1"" from the stellar source core."
