mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_reduce_dim__percentile,param_clf__weights,param_clf__n_neighbors,param_clf__n_jobs,param_clf__metric,param_clf__p,params,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,split3_test_balanced_accuracy,split4_test_balanced_accuracy,split5_test_balanced_accuracy,split6_test_balanced_accuracy,split7_test_balanced_accuracy,split8_test_balanced_accuracy,split9_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_test_precision_macro,split1_test_precision_macro,split2_test_precision_macro,split3_test_precision_macro,split4_test_precision_macro,split5_test_precision_macro,split6_test_precision_macro,split7_test_precision_macro,split8_test_precision_macro,split9_test_precision_macro,mean_test_precision_macro,std_test_precision_macro,rank_test_precision_macro,split0_test_precision_weighted,split1_test_precision_weighted,split2_test_precision_weighted,split3_test_precision_weighted,split4_test_precision_weighted,split5_test_precision_weighted,split6_test_precision_weighted,split7_test_precision_weighted,split8_test_precision_weighted,split9_test_precision_weighted,mean_test_precision_weighted,std_test_precision_weighted,rank_test_precision_weighted,split0_test_recall_macro,split1_test_recall_macro,split2_test_recall_macro,split3_test_recall_macro,split4_test_recall_macro,split5_test_recall_macro,split6_test_recall_macro,split7_test_recall_macro,split8_test_recall_macro,split9_test_recall_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro,split0_test_recall_weighted,split1_test_recall_weighted,split2_test_recall_weighted,split3_test_recall_weighted,split4_test_recall_weighted,split5_test_recall_weighted,split6_test_recall_weighted,split7_test_recall_weighted,split8_test_recall_weighted,split9_test_recall_weighted,mean_test_recall_weighted,std_test_recall_weighted,rank_test_recall_weighted,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,split3_test_f1_macro,split4_test_f1_macro,split5_test_f1_macro,split6_test_f1_macro,split7_test_f1_macro,split8_test_f1_macro,split9_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,split0_test_f1_weighted,split1_test_f1_weighted,split2_test_f1_weighted,split3_test_f1_weighted,split4_test_f1_weighted,split5_test_f1_weighted,split6_test_f1_weighted,split7_test_f1_weighted,split8_test_f1_weighted,split9_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted,split0_test_auc_macro,split1_test_auc_macro,split2_test_auc_macro,split3_test_auc_macro,split4_test_auc_macro,split5_test_auc_macro,split6_test_auc_macro,split7_test_auc_macro,split8_test_auc_macro,split9_test_auc_macro,mean_test_auc_macro,std_test_auc_macro,rank_test_auc_macro
0.355347204208374,0.02080215755018888,0.09921894073486329,0.007833543266622778,15,distance,9,-1,cosine,,"{'reduce_dim__percentile': 15, 'clf__weights': 'distance', 'clf__n_neighbors': 9, 'clf__n_jobs': -1, 'clf__metric': 'cosine'}",0.3756172839506173,0.3184343434343434,0.4348484848484849,0.496030821030821,0.4962056462056462,0.3742985409652076,0.4223625140291807,0.39483726150392817,0.43843995510662176,0.37836700336700335,0.41294418544418543,0.05328858530835197,1179,0.5797054364305826,0.539888300999412,0.747473544973545,0.7655725538078479,0.7623964755326874,0.5803703703703704,0.6609295570079884,0.6215671453766692,0.5188007054673721,0.7367376775271511,0.6513441767493627,0.09113274166723413,662,0.685402750801396,0.5614856723767615,0.7072088637435171,0.7176555923207057,0.7438136711042819,0.6106600660066007,0.7113068659807158,0.6758503401360544,0.6233714285714286,0.6605764411027569,0.6697331692144218,0.05351695401128569,742,0.3756172839506173,0.3184343434343434,0.4348484848484849,0.496030821030821,0.4962056462056462,0.3742985409652076,0.4223625140291807,0.39483726150392817,0.43843995510662176,0.37836700336700335,0.41294418544418543,0.05328858530835197,1179,0.6534653465346535,0.5544554455445545,0.6633663366336634,0.693069306930693,0.7128712871287128,0.6039603960396039,0.6831683168316832,0.66,0.64,0.63,0.6494356435643563,0.04352446530955096,952,0.3595714104670153,0.3115898211136307,0.40773382738338937,0.49711324638860876,0.4893318010965069,0.3592246209267486,0.41649679010360124,0.3803397518451282,0.4549649195039266,0.3765565366060416,0.40529227254345973,0.05703836763500349,1200,0.6061481236895093,0.5154711389506298,0.6164892708170817,0.6610998366917438,0.6796070751225091,0.5710026228248263,0.6539830276703035,0.6236331517944421,0.6216216761961443,0.5850071750032145,0.6134063098760405,0.04553441724874163,961,,,,,,,,,,,,,1
0.36239008903503417,0.0172773034243181,0.10113387107849121,0.007133527241635023,20,distance,9,-1,cosine,,"{'reduce_dim__percentile': 20, 'clf__weights': 'distance', 'clf__n_neighbors': 9, 'clf__n_jobs': -1, 'clf__metric': 'cosine'}",0.4188271604938272,0.3213804713804714,0.43526936026936025,0.507103082103082,0.4765475265475265,0.4000280583613917,0.40297418630751963,0.4190796857463524,0.4625701459034792,0.42592592592592593,0.4269705603038935,0.04774511554602589,875,0.6298701298701299,0.6234426493047183,0.5554424998869444,0.7285714285714285,0.7039269766220121,0.7261911944264885,0.5350970017636684,0.7648822911980806,0.703661616161616,0.8336942875078468,0.6804780075312934,0.08869781417512193,364,0.6832842948160361,0.5820335349184786,0.6509548390736509,0.7338991041961339,0.7217774968986259,0.6883065914865566,0.6597202577400597,0.7340215924426451,0.6967121212121212,0.7417627118644069,0.6892472544648716,0.04662587179417926,403,0.4188271604938272,0.3213804713804714,0.43526936026936025,0.507103082103082,0.4765475265475265,0.4000280583613917,0.40297418630751963,0.4190796857463524,0.4625701459034792,0.42592592592592593,0.4269705603038935,0.04774511554602589,875,0.6831683168316832,0.5643564356435643,0.6831683168316832,0.7128712871287128,0.693069306930693,0.6435643564356436,0.6732673267326733,0.7,0.67,0.69,0.6713465346534653,0.03983578683487565,465,0.3903721765563871,0.33057822162681494,0.423838089676599,0.5011557886557887,0.4640842143308936,0.3725001729729862,0.4027705627705628,0.4076558596719887,0.45546884677319466,0.4274175033883772,0.41758414364235924,0.046237033848546286,976,0.6348635622671578,0.5200384415496719,0.6373497523119318,0.6825671028641326,0.6611585419859416,0.5970575890104013,0.6395396682525396,0.655480449657869,0.6405504061156236,0.6384451082897685,0.6307050622305037,0.04231606467844238,572,,,,,,,,,,,,,1
0.3598562955856323,0.023746107787771857,0.10890276432037353,0.01767227473133345,25,distance,9,-1,cosine,,"{'reduce_dim__percentile': 25, 'clf__weights': 'distance', 'clf__n_neighbors': 9, 'clf__n_jobs': -1, 'clf__metric': 'cosine'}",0.45185185185185184,0.3225589225589226,0.4602693602693603,0.5302512302512302,0.4712444962444962,0.43212682379349043,0.38852413019079685,0.4163019079685746,0.4512065095398429,0.39351851851851855,0.43178537511870846,0.053244613000284505,768,0.6281605975723622,0.6261658419553157,0.6415955375861037,0.5881613756613757,0.6510677503324563,0.8044589687726943,0.5593915343915343,0.6502817501269513,0.675042735042735,0.6528806584362141,0.6477206749877743,0.061312190575072215,696,0.6912887927448207,0.5846928822436899,0.698624936617651,0.6897925506836398,0.710732312727071,0.7485381479324403,0.6741159830268741,0.7080605926581158,0.6509128205128205,0.6769074074074074,0.683366642655453,0.04106083589620425,503,0.45185185185185184,0.3225589225589226,0.4602693602693603,0.5302512302512302,0.4712444962444962,0.43212682379349043,0.38852413019079685,0.4163019079685746,0.4512065095398429,0.39351851851851855,0.43178537511870846,0.053244613000284505,768,0.693069306930693,0.5643564356435643,0.6831683168316832,0.7128712871287128,0.6831683168316832,0.6732673267326733,0.6732673267326733,0.7,0.65,0.66,0.6693168316831684,0.03910779419385791,520,0.45468752603255536,0.3285599036094086,0.45972919787352784,0.5342515330438036,0.43861563273327975,0.42594869691959447,0.39854700854700853,0.40584166509463626,0.4661589316908466,0.38728463037218797,0.4299624725916849,0.052390256256973126,747,0.662452547548952,0.5189930025534378,0.6430204955467792,0.6910654833599303,0.6530753657136884,0.6404957612980102,0.6386544808326987,0.6590538148891291,0.6208263991327823,0.6156705966844216,0.6343307947559829,0.04351762230751045,481,,,,,,,,,,,,,1
0.3433624982833862,0.015165219505526432,0.10290169715881348,0.007277898110826652,30,distance,9,-1,cosine,,"{'reduce_dim__percentile': 30, 'clf__weights': 'distance', 'clf__n_neighbors': 9, 'clf__n_jobs': -1, 'clf__metric': 'cosine'}",0.4629629629629629,0.31212121212121213,0.5463804713804714,0.5637982387982388,0.4901450401450401,0.46268237934904594,0.42210998877665545,0.3998877665544332,0.5009539842873176,0.40867003367003363,0.4569712078045411,0.07092100244849507,218,0.652429399432729,0.5009262767883458,0.5637566137566137,0.7266634599967933,0.7877054525513909,0.7984882842025699,0.6673821548821549,0.667085637673873,0.691027926322044,0.6304526748971193,0.6685917880503635,0.0870393865223897,492,0.6965791584707861,0.5476421836954443,0.6964639321074965,0.7471466789536098,0.7630944126825647,0.7481039940728768,0.6968871887188718,0.7072473604826546,0.6961978609625668,0.6578148148148147,0.6957177584961686,0.05781669536674634,280,0.4629629629629629,0.31212121212121213,0.5463804713804714,0.5637982387982388,0.4901450401450401,0.46268237934904594,0.42210998877665545,0.3998877665544332,0.5009539842873176,0.40867003367003363,0.4569712078045411,0.07092100244849507,218,0.7029702970297029,0.5643564356435643,0.7326732673267327,0.7326732673267327,0.7227722772277227,0.6831683168316832,0.693069306930693,0.68,0.7,0.66,0.6871683168316831,0.04663312101595451,93,0.46916971916971917,0.31825708061002184,0.5398303430218323,0.5544355739963818,0.4926731431475265,0.4724398565654932,0.4189796676753199,0.3912266439142707,0.5086367162797368,0.39986098902999,0.45655097334102923,0.06997435222827653,239,0.6666122656221668,0.5162026790914386,0.7018880985596807,0.7094852814877195,0.689226115722067,0.6592019158258293,0.6489622645972194,0.6378833188447793,0.6670234700463534,0.6186028599473977,0.6515088269744652,0.052376169725578,96,,,,,,,,,,,,,1
0.3683549642562866,0.027175995413275464,0.10655250549316406,0.018874866427295498,35,distance,9,-1,cosine,,"{'reduce_dim__percentile': 35, 'clf__weights': 'distance', 'clf__n_neighbors': 9, 'clf__n_jobs': -1, 'clf__metric': 'cosine'}",0.42592592592592593,0.3482323232323232,0.4695286195286195,0.5353405853405854,0.4753302253302254,0.48810325476992145,0.38100448933782266,0.3952581369248036,0.4710718294051628,0.45496632996632996,0.44447617197617195,0.05349270383467996,478,0.65079883805374,0.6553536619326094,0.578917474908041,0.7108401765264509,0.682977207977208,0.8223713559497873,0.6292595495181702,0.6773504273504273,0.6920842411038489,0.6672882672882673,0.676724120060855,0.059740544571313975,393,0.6900407687827605,0.6158279361770763,0.6671992665781196,0.710641199866593,0.7300747107677801,0.7720761571955516,0.6530269406250969,0.7142307692307692,0.7054313725490197,0.6988251748251748,0.6957374296597942,0.0409033917773936,278,0.42592592592592593,0.3482323232323232,0.4695286195286195,0.5353405853405854,0.4753302253302254,0.48810325476992145,0.38100448933782266,0.3952581369248036,0.4710718294051628,0.45496632996632996,0.44447617197617195,0.05349270383467996,478,0.693069306930693,0.594059405940594,0.693069306930693,0.7128712871287128,0.7326732673267327,0.7128712871287128,0.6534653465346535,0.68,0.7,0.7,0.6872079207920792,0.03694247151115919,84,0.41265216265216265,0.35410566697695406,0.4548599930043229,0.5351983635534584,0.4585396599285488,0.4959769794857514,0.3726429107503276,0.3865870986075589,0.45854893644367334,0.44214105808308707,0.43712528294858444,0.05342504318204496,591,0.647903251863648,0.5478567963422389,0.6471147511261833,0.6808869418372716,0.6869048626474369,0.6791409216109582,0.6007131035466606,0.6352225063938619,0.6619988432620012,0.6611509263683176,0.6448892904998578,0.04033089982201504,208,,,,,,,,,,,,,1
0.34907457828521726,0.015714503501033983,0.10162608623504639,0.00924016519012564,40,distance,9,-1,cosine,,"{'reduce_dim__percentile': 40, 'clf__weights': 'distance', 'clf__n_neighbors': 9, 'clf__n_jobs': -1, 'clf__metric': 'cosine'}",0.42839506172839503,0.37601010101010096,0.5072390572390572,0.5022209272209273,0.5063455063455063,0.40291806958473625,0.39335016835016834,0.40507856341189674,0.4845398428731762,0.43560606060606055,0.4441703358370025,0.04860412839068712,488,0.4429660753190165,0.659697051222475,0.5956738250855897,0.7123664280527024,0.6945194182036287,0.7917695473251029,0.6641711115395326,0.786693039789015,0.6408686551543694,0.6648524740478764,0.6653577625739308,0.09418584968366961,522,0.6394042765621101,0.6091400907645244,0.6864325928391158,0.7095894463395919,0.7356595983484988,0.7310964429776312,0.6835023583329993,0.7418833849329206,0.6883014128728415,0.6653457117595047,0.6890355315729738,0.040747961437368904,407,0.42839506172839503,0.37601010101010096,0.5072390572390572,0.5022209272209273,0.5063455063455063,0.40291806958473625,0.39335016835016834,0.40507856341189674,0.4845398428731762,0.43560606060606055,0.4441703358370025,0.04860412839068712,488,0.6732673267326733,0.594059405940594,0.7128712871287128,0.7029702970297029,0.7425742574257426,0.6633663366336634,0.6633663366336634,0.68,0.7,0.66,0.6792475247524752,0.0378186510548832,268,0.4239316239316239,0.404440720700746,0.48141754714854135,0.4860070556664983,0.5073004581625271,0.39795044523532414,0.38505750575057507,0.3908853675407156,0.4817303667218778,0.45795725697686485,0.4416678347835294,0.043725540378176365,495,0.6460776846915461,0.5512873997403961,0.6675036040330465,0.6621755054762442,0.7020291419062332,0.6206147872491949,0.6126287084153961,0.6349105829088851,0.6676604650584277,0.6236297852474323,0.6388517664726803,0.03895312120777883,361,,,,,,,,,,,,,1
0.36365599632263185,0.023465365915114483,0.10084309577941894,0.008808343373459655,45,distance,9,-1,cosine,,"{'reduce_dim__percentile': 45, 'clf__weights': 'distance', 'clf__n_neighbors': 9, 'clf__n_jobs': -1, 'clf__metric': 'cosine'}",0.45432098765432105,0.3528619528619529,0.476010101010101,0.48833203833203837,0.4788202538202538,0.4003928170594837,0.3911896745230078,0.41618967452300787,0.47570145903479244,0.45328282828282834,0.43871017871017876,0.04346303611687179,605,0.5716282320055905,0.6980670989291679,0.6815900149233483,0.7015432098765433,0.6682290106818409,0.7557159615983146,0.6323339212228102,0.8163728791179772,0.713112607557052,0.5491582491582492,0.6787751185070895,0.07581529110426369,377,0.6934927455009652,0.6373948402797839,0.7064761421197064,0.7046479647964797,0.7042397231636911,0.7096812525467157,0.6704018020849705,0.7646345811051694,0.7293804713804714,0.6408888888888888,0.6961238411866841,0.036602961847256706,269,0.45432098765432105,0.3528619528619529,0.476010101010101,0.48833203833203837,0.4788202538202538,0.4003928170594837,0.3911896745230078,0.41618967452300787,0.47570145903479244,0.45328282828282834,0.43871017871017876,0.04346303611687179,605,0.7128712871287128,0.594059405940594,0.7029702970297029,0.693069306930693,0.7128712871287128,0.6534653465346535,0.6435643564356436,0.69,0.71,0.67,0.6782871287128713,0.03653433282211919,282,0.4464870579156294,0.3682500506029918,0.4491397491397491,0.47031375113201535,0.48558547218341036,0.3927723781524951,0.4000412286126572,0.40169767853978383,0.4744541349303254,0.4698471463177345,0.4358588647526792,0.03933357345351631,622,0.6776426779255633,0.5512116305360335,0.6483621988572483,0.652433965174071,0.6750579997390246,0.6160270547972476,0.6035473720056463,0.6444258373205741,0.6628845281702425,0.6367431588019822,0.6368336423327634,0.03620921653340385,423,,,,,,,,,,,,,1
0.3544424772262573,0.021081134536554514,0.10857210159301758,0.02182398506259942,50,distance,9,-1,cosine,,"{'reduce_dim__percentile': 50, 'clf__weights': 'distance', 'clf__n_neighbors': 9, 'clf__n_jobs': -1, 'clf__metric': 'cosine'}",0.4564814814814815,0.3528619528619529,0.47878787878787876,0.5161098161098161,0.5038202538202537,0.3953423120089787,0.4164983164983165,0.4275533108866442,0.49632435465768804,0.4318181818181818,0.4475597858931192,0.04960275867382811,402,0.5513838013838015,0.6848765432098766,0.5903050108932462,0.7222222222222221,0.8100435142610504,0.748641975308642,0.7560413379126829,0.7399237472766884,0.6714633514633515,0.7482006297795771,0.7023102133711138,0.07558884530087294,189,0.6804663982881806,0.6265676567656765,0.6811298776936517,0.7214521452145214,0.7615850375270602,0.6995159515951594,0.7124135972494493,0.7013480392156862,0.7142955710955711,0.6797975708502024,0.6978571845495158,0.03332506166730969,237,0.4564814814814815,0.3528619528619529,0.47878787878787876,0.5161098161098161,0.5038202538202537,0.3953423120089787,0.4164983164983165,0.4275533108866442,0.49632435465768804,0.4318181818181818,0.4475597858931192,0.04960275867382811,402,0.7128712871287128,0.594059405940594,0.7029702970297029,0.7128712871287128,0.7326732673267327,0.6336633663366337,0.6633663366336634,0.67,0.72,0.66,0.6802475247524752,0.041679834536611504,246,0.4412545263060727,0.3688237688237688,0.4610235531039314,0.4971113844205209,0.5079367834236105,0.3860121302574954,0.4192712961185867,0.42730279696223966,0.49355500291670507,0.44974945673839095,0.4452040699071322,0.044254594445358716,425,0.6747019439680458,0.5492619591629492,0.6576691711724366,0.6727565622644869,0.6899962701228395,0.6011955895760626,0.6196204419879003,0.6280059537985234,0.6834830063553469,0.6221499418849448,0.6398840840293537,0.041948377592345876,323,,,,,,,,,,,,,1
0.4100090980529785,0.06626766525697171,0.13540136814117432,0.061230367170775124,55,distance,9,-1,cosine,,"{'reduce_dim__percentile': 55, 'clf__weights': 'distance', 'clf__n_neighbors': 9, 'clf__n_jobs': -1, 'clf__metric': 'cosine'}",0.4354938271604938,0.4081649831649832,0.46489898989898987,0.49464516964516964,0.5038202538202537,0.3865039281705948,0.4285353535353535,0.418294051627385,0.4988496071829405,0.4478114478114478,0.44870176120176114,0.038657932521837926,382,0.46138960825420317,0.6818121693121694,0.5567901234567901,0.7046244452739413,0.8406473700591348,0.7783111949778616,0.6481474831148034,0.7125816993464053,0.7305929599168591,0.7550821296104314,0.68699791833226,0.10432492895706127,306,0.6493452452903448,0.6427982083922679,0.6537953795379537,0.7021335728197681,0.7924674820423218,0.7248351208747248,0.6548590325526843,0.6811519607843137,0.7486331640058056,0.6972461123781879,0.6947265278678373,0.046510230773751146,305,0.4354938271604938,0.4081649831649832,0.46489898989898987,0.49464516964516964,0.5038202538202537,0.3865039281705948,0.4285353535353535,0.418294051627385,0.4988496071829405,0.4478114478114478,0.44870176120176114,0.038657932521837926,382,0.6831683168316832,0.6237623762376238,0.693069306930693,0.6732673267326733,0.7326732673267327,0.6435643564356436,0.6534653465346535,0.66,0.73,0.67,0.6762970297029703,0.03325333274740924,349,0.4338862930132772,0.4366433566433566,0.439377462568952,0.47210538691268916,0.5057241870107367,0.37842897842897844,0.44103636516334926,0.41673734708644494,0.5074974789751422,0.45914764883837045,0.4490584504641297,0.037194971829786296,357,0.652768678228367,0.5880177248494081,0.640067410996419,0.6396817489742198,0.6932956704191722,0.6051753527001051,0.6134216414838763,0.6189601030975004,0.6920404440919906,0.636670843246101,0.6380099618087159,0.032783016083813475,391,,,,,,,,,,,,,1
0.3788472890853882,0.06354012655029073,0.10312354564666748,0.0092170282444018,60,distance,9,-1,cosine,,"{'reduce_dim__percentile': 60, 'clf__weights': 'distance', 'clf__n_neighbors': 9, 'clf__n_jobs': -1, 'clf__metric': 'cosine'}",0.4123456790123457,0.4412457912457912,0.49436026936026933,0.4860981610981611,0.5012561512561512,0.4044612794612794,0.44427609427609427,0.42081930415263746,0.517368125701459,0.4625420875420876,0.45847729431062756,0.03785203051522938,199,0.42865622032288697,0.6454144620811287,0.5737433862433863,0.6967793880837359,0.7272819946692127,0.8001068376068375,0.6998401259839169,0.7768657987303936,0.7776269482151835,0.6041396874730208,0.6730454849409703,0.10825057926264853,439,0.6269823136159769,0.6440358321546441,0.6453323903818954,0.6989238054240208,0.7611051585824532,0.7447258187357196,0.6931279273154638,0.7244669943449078,0.7374027149321266,0.6625679875679876,0.6938670943055196,0.04500818605795442,323,0.4123456790123457,0.4412457912457912,0.49436026936026933,0.4860981610981611,0.5012561512561512,0.4044612794612794,0.44427609427609427,0.42081930415263746,0.517368125701459,0.4625420875420876,0.45847729431062756,0.03785203051522938,199,0.6633663366336634,0.6435643564356436,0.6831683168316832,0.6633663366336634,0.7326732673267327,0.6633663366336634,0.6633663366336634,0.67,0.72,0.68,0.6782871287128713,0.02624774884031758,282,0.4071296687276069,0.4855759055759056,0.46873706004140797,0.46312939058037095,0.5046647950986105,0.4059900869111395,0.4594144479858766,0.4236531792741059,0.5404721983669352,0.46034401047477225,0.4619110743036732,0.04025959272376346,176,0.632835267213138,0.6163558553657564,0.636264682368858,0.6326033185089679,0.6991315196989267,0.6303743590090646,0.6251213755598479,0.6254791515018142,0.6899852778800146,0.6413478650041253,0.6429498672110514,0.02667168562012911,248,,,,,,,,,,,,,1
