objectId,ra,dec,gmag,rmag,maggmean,magrmean,g_minus_r,clr_mean,dmdt_g,dmdt_r,distpsnr1,sgmag1,brightening_g,brightening_r,last_alert,classification,classificationReliability,catalogue_table_name,separationArcsec,tns_prefix,association_type,description
ZTF17aaburzk,328.43609818,12.59001934,18.4686,18.668,19.7128,19.2753,-0.199394,0.4375,0.115441,0.0639141,0.155549,21.9907,-3.5221004486083984,-3.0291004180908203,0.32457175105810165,SN,2,NED/SDSS/GAIA/PS1,0.07,AT,SN,"The transient is possibly associated with <em><a href=""https://ned.ipac.caltech.edu/cgi-bin/objsearch?objname=SDSSJ215344.68%2B123524.0&extend=no&hconst=73&omegam=0.27&omegav=0.73&corr_z=1&out_csys=Equatorial&out_equinox=J2000.0&obj_sort=RA+or+Longitude&of=pre_text&zv_breaker=30000.0&list_limit=5&img_stamp=YES"">SDSSJ215344.68%2B123524.0</a></em>; a G=18.28 mag galaxy found in the NED/SDSS/GAIA/PS1 catalogues. Its located 0.01"" N, 0.07"" W from the galaxy centre."
ZTF18aasiroq,280.17181105714286,35.0797521,19.1841,19.2243,19.5147,19.7046,-0.0402184,-0.18989944458007812,-0.0226504,0.0976015,0.292981,18.8708,0.31329917907714844,0.8353996276855469,0.38396995095536113,SN,2,2MASS/GAIA/PS1,0.22,AT,SN,"The transient is possibly associated with <em>18404121+3504468</em>; a J=16.26 mag galaxy found in the 2MASS/GAIA/PS1 catalogues. Its located 0.43"" N, 0.31"" E from the galaxy centre."
ZTF18aasncio,297.09713733809525,36.439662671428565,16.7711,17.2519,16.7024,16.7082,-0.48078,-0.0058002471923828125,-0.277749,0.338165,0.271719,16.3249,0.4461994171142578,1.1030998229980469,0.3849189509637654,CV,1,GSC/DOWNES/PS1/RITTER,0.17,AT,CV,"The transient is synonymous with <em>N2FP069952</em>; a V=15.05 mag cv found in the GSC/DOWNES/PS1/RITTER catalogues. Its located 0.2"" from the cv core."
ZTF18aawlfnj,284.30738308,30.18954754,17.3469,17.2316,18.0702,17.9216,0.115332,0.14859962463378906,0.323115,0.350093,0.423722,18.2603,-0.9133987426757812,-0.3409004211425781,0.38396995095536113,SN,2,2MASS/GAIA/PS1,0.37,AT,SN,"The transient is possibly associated with <em>18571374+3011219</em>; a J=13.48 mag galaxy found in the 2MASS/GAIA/PS1 catalogues. Its located 0.48"" N, 0.40"" E from the galaxy centre."
ZTF18aawrmhl,296.3655018166666,44.49895421666667,18.6545,18.9565,18.7531,18.8383,-0.302032,-0.08520126342773438,0.0329644,-0.20093,0.0498503,21.8949,-3.2404003143310547,0.21809959411621094,0.3825578512623906,SN,2,PS1,0.22,AT,SN,"The transient is possibly associated with <em>161392963655429392</em>; an r=22.43 mag galaxy found in the PS1 catalogue. Its located 0.22"" S, 0.02"" W from the galaxy centre."
ZTF18aayhshj,295.6255763941176,32.651088947058824,18.16,17.9387,18.2536,17.9336,0.614801,0.31999969482421875,0.0540556,0.00293852,0.0806651,17.9413,0.21870040893554688,0.01490020751953125,0.4017013511620462,SN,2,2MASS/GAIA/PS1,1.63,AT,SN,"The transient is possibly associated with <em>19423010+3239055</em>; a J=16.18 mag galaxy found in the 2MASS/GAIA/PS1 catalogues. Its located 1.58"" S, 0.40"" E from the galaxy centre."
ZTF18abaaqcf,322.9757957181818,23.85995639090909,19.201,19.6443,19.6077,19.5067,-0.8421,0.10099983215332031,,0.00600807,0.196686,18.3838,0.81719970703125,1.403900146484375,0.3892129510641098,SN,2,GAIA/PS1,0.2,AT,SN,"The transient is possibly associated with <em>1797435257802054656</em>; a G=18.46 mag galaxy found in the GAIA/PS1 catalogues. Its located 0.06"" S, 0.19"" E from the galaxy centre."
ZTF18abbmenz,273.25573242391306,57.98422319565218,19.0045,18.4222,18.6231,18.2878,0.582319,0.3353004455566406,0.0513161,-0.022498,0.0578098,17.9954,1.0090999603271484,1.0615997314453125,0.48773145116865635,SN,2,2MASS/GAIA,0.04,AT,SN,"The transient is possibly associated with <em>18130137+5759031</em>; a J=13.97 mag galaxy found in the 2MASS/GAIA catalogues. Its located 0.04"" S, 0.01"" W from the galaxy centre."
ZTF18abdbgza,335.2713775111112,65.67585967500001,20.2164,19.669,20.3499,19.8458,0.894199,0.5040988922119141,0.333354,0.0781133,0.169761,19.3122,0.9041996002197266,-1.5453987121582031,0.3636921509169042,SN,2,GAIA/PS1,0.13,AT,SN,"The transient is possibly associated with <em>2218632465615722112</em>; a G=19.17 mag galaxy found in the GAIA/PS1 catalogues. Its located 0.16"" S, 0.06"" E from the galaxy centre."
ZTF18abgubgi,8.173022006666665,40.02845010666667,18.3831,18.5385,18.568,18.504,-0.0911999,0.06400108337402344,0.032577,-0.186623,0.0334699,17.9722,0.4109001159667969,1.118499755859375,0.3468055510893464,SN,2,NED,9.78,AT,SN,"The transient is possibly associated with <em><a href=""https://ned.ipac.caltech.edu/cgi-bin/objsearch?objname=MESSIER031:[SL85]01&extend=no&hconst=73&omegam=0.27&omegav=0.73&corr_z=1&out_csys=Equatorial&out_equinox=J2000.0&obj_sort=RA+or+Longitude&of=pre_text&zv_breaker=30000.0&list_limit=5&img_stamp=YES"">MESSIER031:[SL85]01</a></em>; a 15.80 mag galaxy found in the NED catalogue. Its located 9.50"" N, 2.20"" E (13.4 Kpc) from the galaxy centre. A host z=0.072 implies a <em>m - M =</em> 37.55."
