,precision,recall,f1-score,support
AMCVn,0.13,0.29,0.18,14
dwarf_nova_SU_UMa,0.89,0.62,0.73,189
dwarf_nova_U_Gem,0.42,0.51,0.46,35
dwarf_nova_Z_Cam,0.57,0.67,0.62,52
int_polar,0.29,0.33,0.31,15
nova,0.53,0.71,0.61,14
nova_like,0.6,0.67,0.64,43
nova_like_VY_Scl,0.61,0.69,0.65,36
polar,0.69,0.79,0.74,34
accuracy,0.63,0.63,0.63,0
macro avg,0.53,0.59,0.55,432
weighted avg,0.69,0.63,0.64,432
