,precision,recall,f1-score,support
AMCVn,0.06,0.14,0.08,14
dwarf_nova_SU_UMa,0.92,0.48,0.63,189
dwarf_nova_U_Gem,0.29,0.6,0.39,35
dwarf_nova_Z_Cam,0.51,0.54,0.52,52
int_polar,0.14,0.07,0.09,15
nova,0.17,0.29,0.22,14
nova_like,0.46,0.72,0.56,43
nova_like_VY_Scl,0.62,0.69,0.66,36
polar,0.63,0.65,0.64,34
accuracy,0.52,0.52,0.52,0
macro avg,0.42,0.46,0.42,432
weighted avg,0.65,0.52,0.54,432
