,precision,recall,f1-score,support
AMCVn,0.15,0.29,0.2,14
dwarf_nova_SU_UMa,0.9,0.63,0.75,189
dwarf_nova_U_Gem,0.4,0.71,0.51,35
dwarf_nova_Z_Cam,0.67,0.58,0.62,52
int_polar,0.17,0.2,0.18,15
nova,0.5,0.64,0.56,14
nova_like,0.62,0.65,0.64,43
nova_like_VY_Scl,0.56,0.75,0.64,36
polar,0.71,0.74,0.72,34
accuracy,0.63,0.63,0.63,0
macro avg,0.52,0.58,0.54,432
weighted avg,0.7,0.63,0.65,432
