mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__solver,param_clf__shrinkage,params,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,split3_test_balanced_accuracy,split4_test_balanced_accuracy,split5_test_balanced_accuracy,split6_test_balanced_accuracy,split7_test_balanced_accuracy,split8_test_balanced_accuracy,split9_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_test_precision_macro,split1_test_precision_macro,split2_test_precision_macro,split3_test_precision_macro,split4_test_precision_macro,split5_test_precision_macro,split6_test_precision_macro,split7_test_precision_macro,split8_test_precision_macro,split9_test_precision_macro,mean_test_precision_macro,std_test_precision_macro,rank_test_precision_macro,split0_test_precision_weighted,split1_test_precision_weighted,split2_test_precision_weighted,split3_test_precision_weighted,split4_test_precision_weighted,split5_test_precision_weighted,split6_test_precision_weighted,split7_test_precision_weighted,split8_test_precision_weighted,split9_test_precision_weighted,mean_test_precision_weighted,std_test_precision_weighted,rank_test_precision_weighted,split0_test_recall_macro,split1_test_recall_macro,split2_test_recall_macro,split3_test_recall_macro,split4_test_recall_macro,split5_test_recall_macro,split6_test_recall_macro,split7_test_recall_macro,split8_test_recall_macro,split9_test_recall_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro,split0_test_recall_weighted,split1_test_recall_weighted,split2_test_recall_weighted,split3_test_recall_weighted,split4_test_recall_weighted,split5_test_recall_weighted,split6_test_recall_weighted,split7_test_recall_weighted,split8_test_recall_weighted,split9_test_recall_weighted,mean_test_recall_weighted,std_test_recall_weighted,rank_test_recall_weighted,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,split3_test_f1_macro,split4_test_f1_macro,split5_test_f1_macro,split6_test_f1_macro,split7_test_f1_macro,split8_test_f1_macro,split9_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,split0_test_f1_weighted,split1_test_f1_weighted,split2_test_f1_weighted,split3_test_f1_weighted,split4_test_f1_weighted,split5_test_f1_weighted,split6_test_f1_weighted,split7_test_f1_weighted,split8_test_f1_weighted,split9_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted,split0_test_auc_macro,split1_test_auc_macro,split2_test_auc_macro,split3_test_auc_macro,split4_test_auc_macro,split5_test_auc_macro,split6_test_auc_macro,split7_test_auc_macro,split8_test_auc_macro,split9_test_auc_macro,mean_test_auc_macro,std_test_auc_macro,rank_test_auc_macro
0.03208091259002686,0.005157782500993992,0.01585698127746582,0.0033115211708567237,svd,,"{'clf__solver': 'svd', 'clf__shrinkage': None}",0.5657407407407408,0.3936026936026936,0.5681818181818181,0.5677933177933178,0.5327764827764827,0.5062289562289563,0.5648989898989899,0.47039842873176213,0.5650953984287318,0.47853535353535354,0.5213252179918847,0.05589154535396076,3,0.6969047619047619,0.4772607022607023,0.5969095719095718,0.6530864197530865,0.6367928367928368,0.5810705103388031,0.633994708994709,0.6469009826152683,0.6966490299823633,0.5022792164735899,0.6121848741025693,0.07053810501136286,7,0.7606317774634607,0.5548433414770049,0.7098581286700099,0.7069306930693069,0.7007398542052007,0.6818580035435867,0.7013790664780764,0.7150969387755103,0.7392063492063491,0.6697036957075321,0.6940247848596038,0.05248748029366542,3,0.5657407407407408,0.3936026936026936,0.5681818181818181,0.5677933177933178,0.5327764827764827,0.5062289562289563,0.5648989898989899,0.47039842873176213,0.5650953984287318,0.47853535353535354,0.5213252179918847,0.05589154535396076,3,0.7623762376237624,0.594059405940594,0.7425742574257426,0.693069306930693,0.7227722772277227,0.6534653465346535,0.7029702970297029,0.69,0.74,0.66,0.6961287128712871,0.04776799242057559,1,0.5723119072190279,0.40485347985347986,0.5716816195077065,0.582668028214333,0.5613756613756613,0.48066543169517995,0.587297699931971,0.4859085019742831,0.5654802500710429,0.4756406889000035,0.5287883268742688,0.05899809090218839,3,0.7443503925801692,0.557915351974758,0.7208412766742514,0.6869732502625476,0.7018859028760017,0.6415815690755083,0.6944838217837128,0.6730254935871635,0.7178704177323104,0.6523621942983532,0.6791289670844777,0.050165818722174974,3,,,,,,,,,,,,,1
0.028667545318603514,0.002309424870953027,0.012694191932678223,0.0010491447671785994,lsqr,,"{'clf__solver': 'lsqr', 'clf__shrinkage': None}",0.5657407407407408,0.3936026936026936,0.5681818181818181,0.5677933177933178,0.5302512302512302,0.5062289562289563,0.5648989898989899,0.47039842873176213,0.5650953984287318,0.47853535353535354,0.5210726927393594,0.05584492184630033,4,0.6969047619047619,0.4772607022607023,0.5969095719095718,0.6530864197530865,0.6362900715841893,0.5810705103388031,0.633994708994709,0.6469009826152683,0.6966490299823633,0.5022792164735899,0.6121345975817045,0.07052072463220818,8,0.7606317774634607,0.5548433414770049,0.7098581286700099,0.7069306930693069,0.6987686163574339,0.6818580035435867,0.7013790664780764,0.7150969387755103,0.7392063492063491,0.6697036957075321,0.6938276610748272,0.052465587844679244,4,0.5657407407407408,0.3936026936026936,0.5681818181818181,0.5677933177933178,0.5302512302512302,0.5062289562289563,0.5648989898989899,0.47039842873176213,0.5650953984287318,0.47853535353535354,0.5210726927393594,0.05584492184630033,4,0.7623762376237624,0.594059405940594,0.7425742574257426,0.693069306930693,0.7128712871287128,0.6534653465346535,0.7029702970297029,0.69,0.74,0.66,0.6951386138613861,0.0473058583154111,4,0.5723119072190279,0.40485347985347986,0.5716816195077065,0.582668028214333,0.5600111389585073,0.48066543169517995,0.587297699931971,0.4859085019742831,0.5654802500710429,0.4756406889000035,0.5286518746325535,0.05892409586360081,4,0.7443503925801692,0.557915351974758,0.7208412766742514,0.6869732502625476,0.6965358941909228,0.6415815690755083,0.6944838217837128,0.6730254935871635,0.7178704177323104,0.6523621942983532,0.6785939662159698,0.04994832770577781,4,,,,,,,,,,,,,1
0.03508579730987549,0.003840004039088859,0.012810373306274414,0.001115542912247259,lsqr,auto,"{'clf__solver': 'lsqr', 'clf__shrinkage': 'auto'}",0.6003086419753086,0.43526936026936025,0.5524410774410775,0.5393421393421394,0.5555037555037555,0.5115319865319865,0.5785353535353536,0.4580527497194164,0.5058361391694725,0.47853535353535354,0.5215356557023225,0.05054475636349771,1,0.7399080857414191,0.5703590648035093,0.5635117640436789,0.6384720218053551,0.604421768707483,0.5921296296296297,0.713994708994709,0.7101726633024813,0.6717372134038802,0.5030007171950905,0.6307707637627236,0.0731883454742444,1,0.7760407222040885,0.6296568301518796,0.7060649833980358,0.696842541396997,0.704654138883276,0.6929042904290429,0.7219731258840169,0.7192644230063288,0.7160317460317459,0.6702231762270126,0.7033655977612423,0.03568396914010544,1,0.6003086419753086,0.43526936026936025,0.5524410774410775,0.5393421393421394,0.5555037555037555,0.5115319865319865,0.5785353535353536,0.4580527497194164,0.5058361391694725,0.47853535353535354,0.5215356557023225,0.05054475636349771,1,0.7623762376237624,0.6237623762376238,0.7326732673267327,0.6831683168316832,0.7227722772277227,0.6633663366336634,0.7227722772277227,0.68,0.71,0.66,0.696089108910891,0.03921740184397012,2,0.6254634900555204,0.46327630041915757,0.5527089468265939,0.559260894372777,0.5736047107014849,0.49106204552960975,0.6150134637994463,0.46006683375104424,0.5098671812226799,0.47790989467798123,0.5328233761356296,0.05788928486657273,1,0.7541619854585079,0.6048734669385307,0.7151723446423504,0.6777180166871698,0.7098051740657937,0.6544115506147571,0.7085641104786322,0.658203007518797,0.6884001037325846,0.6539960224584971,0.6825305782595621,0.039878768902234546,1,,,,,,,,,,,,,1
0.03483879566192627,0.0031328319382590134,0.013003253936767578,0.0017353517809430851,eigen,auto,"{'clf__solver': 'eigen', 'clf__shrinkage': 'auto'}",0.6003086419753086,0.43526936026936025,0.5524410774410775,0.5393421393421394,0.5555037555037555,0.5115319865319865,0.5785353535353536,0.4580527497194164,0.5058361391694725,0.47853535353535354,0.5215356557023225,0.05054475636349771,1,0.7399080857414191,0.5703590648035093,0.5635117640436789,0.6384720218053551,0.604421768707483,0.5921296296296297,0.713994708994709,0.7101726633024813,0.6717372134038802,0.5030007171950905,0.6307707637627236,0.0731883454742444,1,0.7760407222040885,0.6296568301518796,0.7060649833980358,0.696842541396997,0.704654138883276,0.6929042904290429,0.7219731258840169,0.7192644230063288,0.7160317460317459,0.6702231762270126,0.7033655977612423,0.03568396914010544,1,0.6003086419753086,0.43526936026936025,0.5524410774410775,0.5393421393421394,0.5555037555037555,0.5115319865319865,0.5785353535353536,0.4580527497194164,0.5058361391694725,0.47853535353535354,0.5215356557023225,0.05054475636349771,1,0.7623762376237624,0.6237623762376238,0.7326732673267327,0.6831683168316832,0.7227722772277227,0.6633663366336634,0.7227722772277227,0.68,0.71,0.66,0.696089108910891,0.03921740184397012,2,0.6254634900555204,0.46327630041915757,0.5527089468265939,0.559260894372777,0.5736047107014849,0.49106204552960975,0.6150134637994463,0.46006683375104424,0.5098671812226799,0.47790989467798123,0.5328233761356296,0.05788928486657273,1,0.7541619854585079,0.6048734669385307,0.7151723446423504,0.6777180166871698,0.7098051740657937,0.6544115506147571,0.7085641104786322,0.658203007518797,0.6884001037325846,0.6539960224584971,0.6825305782595621,0.039878768902234546,1,,,,,,,,,,,,,1
0.0298417329788208,0.0034062072737977922,0.013231468200683594,0.0009919589249772485,lsqr,0.0,"{'clf__solver': 'lsqr', 'clf__shrinkage': 0.0}",0.5657407407407408,0.3936026936026936,0.5681818181818181,0.5677933177933178,0.5302512302512302,0.5062289562289563,0.5648989898989899,0.47039842873176213,0.5650953984287318,0.47853535353535354,0.5210726927393594,0.05584492184630033,4,0.6969047619047619,0.4772607022607023,0.5969095719095718,0.6530864197530865,0.6362900715841893,0.5810705103388031,0.633994708994709,0.6469009826152683,0.6966490299823633,0.5022792164735899,0.6121345975817045,0.07052072463220818,8,0.7606317774634607,0.5548433414770049,0.7098581286700099,0.7069306930693069,0.6987686163574339,0.6818580035435867,0.7013790664780764,0.7150969387755103,0.7392063492063491,0.6697036957075321,0.6938276610748272,0.052465587844679244,4,0.5657407407407408,0.3936026936026936,0.5681818181818181,0.5677933177933178,0.5302512302512302,0.5062289562289563,0.5648989898989899,0.47039842873176213,0.5650953984287318,0.47853535353535354,0.5210726927393594,0.05584492184630033,4,0.7623762376237624,0.594059405940594,0.7425742574257426,0.693069306930693,0.7128712871287128,0.6534653465346535,0.7029702970297029,0.69,0.74,0.66,0.6951386138613861,0.0473058583154111,4,0.5723119072190279,0.40485347985347986,0.5716816195077065,0.582668028214333,0.5600111389585073,0.48066543169517995,0.587297699931971,0.4859085019742831,0.5654802500710429,0.4756406889000035,0.5286518746325535,0.05892409586360081,4,0.7443503925801692,0.557915351974758,0.7208412766742514,0.6869732502625476,0.6965358941909228,0.6415815690755083,0.6944838217837128,0.6730254935871635,0.7178704177323104,0.6523621942983532,0.6785939662159698,0.04994832770577781,4,,,,,,,,,,,,,1
0.027922224998474122,0.0023077382454565107,0.013249683380126952,0.0013179688472339927,eigen,0.0,"{'clf__solver': 'eigen', 'clf__shrinkage': 0.0}",0.5657407407407408,0.3936026936026936,0.5681818181818181,0.5677933177933178,0.5302512302512302,0.5062289562289563,0.5648989898989899,0.47039842873176213,0.5650953984287318,0.47853535353535354,0.5210726927393594,0.05584492184630033,4,0.6969047619047619,0.4772607022607023,0.5969095719095718,0.6530864197530865,0.6362900715841893,0.5810705103388031,0.633994708994709,0.6469009826152683,0.6966490299823633,0.5022792164735899,0.6121345975817045,0.07052072463220818,8,0.7606317774634607,0.5548433414770049,0.7098581286700099,0.7069306930693069,0.6987686163574339,0.6818580035435867,0.7013790664780764,0.7150969387755103,0.7392063492063491,0.6697036957075321,0.6938276610748272,0.052465587844679244,4,0.5657407407407408,0.3936026936026936,0.5681818181818181,0.5677933177933178,0.5302512302512302,0.5062289562289563,0.5648989898989899,0.47039842873176213,0.5650953984287318,0.47853535353535354,0.5210726927393594,0.05584492184630033,4,0.7623762376237624,0.594059405940594,0.7425742574257426,0.693069306930693,0.7128712871287128,0.6534653465346535,0.7029702970297029,0.69,0.74,0.66,0.6951386138613861,0.0473058583154111,4,0.5723119072190279,0.40485347985347986,0.5716816195077065,0.582668028214333,0.5600111389585073,0.48066543169517995,0.587297699931971,0.4859085019742831,0.5654802500710429,0.4756406889000035,0.5286518746325535,0.05892409586360081,4,0.7443503925801692,0.557915351974758,0.7208412766742514,0.6869732502625476,0.6965358941909228,0.6415815690755083,0.6944838217837128,0.6730254935871635,0.7178704177323104,0.6523621942983532,0.6785939662159698,0.04994832770577781,4,,,,,,,,,,,,,1
0.027453041076660155,0.0025516945532527814,0.012339615821838379,0.0006658222431616542,lsqr,0.1,"{'clf__solver': 'lsqr', 'clf__shrinkage': 0.1}",0.5493827160493827,0.4074915824915825,0.5635521885521886,0.6041569541569541,0.5416148666148666,0.4976430976430976,0.5787878787878787,0.4580527497194164,0.5169472502805836,0.47853535353535354,0.5196164637831304,0.05699855200951796,7,0.6646636432350719,0.4917582417582417,0.5559239814558964,0.6947250280583614,0.5859032501889644,0.5772486772486772,0.6464789619551525,0.6252961200926048,0.682302265635599,0.48960373747607794,0.6013903907104647,0.07019357934891281,15,0.7447026335286588,0.5682840262048183,0.7024860540765321,0.7224436729387225,0.6914528187512629,0.6798208392267798,0.7071714824543679,0.7095422007841065,0.7241514041514041,0.6557593718338398,0.6905814503950493,0.04704624474565618,11,0.5493827160493827,0.4074915824915825,0.5635521885521886,0.6041569541569541,0.5416148666148666,0.4976430976430976,0.5787878787878787,0.4580527497194164,0.5169472502805836,0.47853535353535354,0.5196164637831304,0.05699855200951796,7,0.7425742574257426,0.6039603960396039,0.7425742574257426,0.7029702970297029,0.7128712871287128,0.6534653465346535,0.7128712871287128,0.68,0.72,0.66,0.6931287128712871,0.041571902955973086,9,0.5490431160643926,0.42036876703543374,0.5561774947395863,0.6228407015084335,0.557731694828469,0.47518902965659393,0.600886017489433,0.4694207027540361,0.5201005894739911,0.4742384703169017,0.524599658386727,0.06088512324248446,11,0.7267146167504288,0.5710639635392111,0.7197299432593549,0.7011643515009931,0.6984897568097822,0.641398820770344,0.7022230930059662,0.6655225885225886,0.6968748770411175,0.6489759390935862,0.6772157950293372,0.0444756483162517,7,,,,,,,,,,,,,1
0.026874399185180663,0.0021614397827854417,0.012873315811157226,0.001231266257999769,eigen,0.1,"{'clf__solver': 'eigen', 'clf__shrinkage': 0.1}",0.5493827160493827,0.4074915824915825,0.5635521885521886,0.6041569541569541,0.5416148666148666,0.4976430976430976,0.5787878787878787,0.4580527497194164,0.5169472502805836,0.47853535353535354,0.5196164637831304,0.05699855200951796,7,0.6646636432350719,0.4917582417582417,0.5559239814558964,0.6947250280583614,0.5859032501889644,0.5772486772486772,0.6464789619551525,0.6252961200926048,0.682302265635599,0.48960373747607794,0.6013903907104647,0.07019357934891281,15,0.7447026335286588,0.5682840262048183,0.7024860540765321,0.7224436729387225,0.6914528187512629,0.6798208392267798,0.7071714824543679,0.7095422007841065,0.7241514041514041,0.6557593718338398,0.6905814503950493,0.04704624474565618,11,0.5493827160493827,0.4074915824915825,0.5635521885521886,0.6041569541569541,0.5416148666148666,0.4976430976430976,0.5787878787878787,0.4580527497194164,0.5169472502805836,0.47853535353535354,0.5196164637831304,0.05699855200951796,7,0.7425742574257426,0.6039603960396039,0.7425742574257426,0.7029702970297029,0.7128712871287128,0.6534653465346535,0.7128712871287128,0.68,0.72,0.66,0.6931287128712871,0.041571902955973086,9,0.5490431160643926,0.42036876703543374,0.5561774947395863,0.6228407015084335,0.557731694828469,0.47518902965659393,0.600886017489433,0.4694207027540361,0.5201005894739911,0.4742384703169017,0.524599658386727,0.06088512324248446,11,0.7267146167504288,0.5710639635392111,0.7197299432593549,0.7011643515009931,0.6984897568097822,0.641398820770344,0.7022230930059662,0.6655225885225886,0.6968748770411175,0.6489759390935862,0.6772157950293372,0.0444756483162517,7,,,,,,,,,,,,,1
0.027244305610656737,0.002121937758296971,0.01264193058013916,0.0017478982327255716,lsqr,0.2,"{'clf__solver': 'lsqr', 'clf__shrinkage': 0.2}",0.5768518518518518,0.4074915824915825,0.5524410774410775,0.5418673918673919,0.5555037555037555,0.5235690235690236,0.5924242424242424,0.4469416386083053,0.5058361391694725,0.476010101010101,0.5178936803936804,0.056007404322869096,9,0.7197162097162098,0.5077515077515078,0.5635117640436789,0.6574736321113133,0.5942806752330562,0.6010582010582011,0.673342151675485,0.7020790200138025,0.6717372134038802,0.48723967128222445,0.6178190046289358,0.07615467366267031,5,0.7708327975654707,0.5726344612483227,0.7060649833980358,0.7036871389002254,0.6997822231202713,0.6802923149457804,0.7207944365865159,0.7061024844720497,0.7160317460317459,0.6463976697061803,0.6922620255974599,0.04967816229612598,9,0.5768518518518518,0.4074915824915825,0.5524410774410775,0.5418673918673919,0.5555037555037555,0.5235690235690236,0.5924242424242424,0.4469416386083053,0.5058361391694725,0.476010101010101,0.5178936803936804,0.056007404322869096,9,0.7722772277227723,0.6039603960396039,0.7326732673267327,0.693069306930693,0.7227722772277227,0.6534653465346535,0.7326732673267327,0.67,0.71,0.65,0.6940891089108912,0.047397665266119895,7,0.5819688109161792,0.42421677088343757,0.5527089468265939,0.5681386860221043,0.5688410768528837,0.5018845563521206,0.6188999476859302,0.4499348209493137,0.5098671812226799,0.47179646787489926,0.5248257265586143,0.059999246672536206,7,0.7505744559418347,0.5716640235452117,0.7151723446423504,0.6854632855960833,0.7077189710477326,0.6430275550723457,0.7177364562846416,0.6459164941338855,0.6884001037325846,0.6393056094232564,0.6764979299419926,0.049304520794936704,9,,,,,,,,,,,,,1
0.028032255172729493,0.0013021762552499062,0.013315773010253907,0.0014732133076419416,eigen,0.2,"{'clf__solver': 'eigen', 'clf__shrinkage': 0.2}",0.5768518518518518,0.4074915824915825,0.5524410774410775,0.5418673918673919,0.5555037555037555,0.5235690235690236,0.5924242424242424,0.4469416386083053,0.5058361391694725,0.476010101010101,0.5178936803936804,0.056007404322869096,9,0.7197162097162098,0.5077515077515078,0.5635117640436789,0.6574736321113133,0.5942806752330562,0.6010582010582011,0.673342151675485,0.7020790200138025,0.6717372134038802,0.48723967128222445,0.6178190046289358,0.07615467366267031,5,0.7708327975654707,0.5726344612483227,0.7060649833980358,0.7036871389002254,0.6997822231202713,0.6802923149457804,0.7207944365865159,0.7061024844720497,0.7160317460317459,0.6463976697061803,0.6922620255974599,0.04967816229612598,9,0.5768518518518518,0.4074915824915825,0.5524410774410775,0.5418673918673919,0.5555037555037555,0.5235690235690236,0.5924242424242424,0.4469416386083053,0.5058361391694725,0.476010101010101,0.5178936803936804,0.056007404322869096,9,0.7722772277227723,0.6039603960396039,0.7326732673267327,0.693069306930693,0.7227722772277227,0.6534653465346535,0.7326732673267327,0.67,0.71,0.65,0.6940891089108912,0.047397665266119895,7,0.5819688109161792,0.42421677088343757,0.5527089468265939,0.5681386860221043,0.5688410768528837,0.5018845563521206,0.6188999476859302,0.4499348209493137,0.5098671812226799,0.47179646787489926,0.5248257265586143,0.059999246672536206,7,0.7505744559418347,0.5716640235452117,0.7151723446423504,0.6854632855960833,0.7077189710477326,0.6430275550723457,0.7177364562846416,0.6459164941338855,0.6884001037325846,0.6393056094232564,0.6764979299419926,0.049304520794936704,9,,,,,,,,,,,,,1
