,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_reduce_dim__percentile,param_clf__var_smoothing,params,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,split3_test_balanced_accuracy,split4_test_balanced_accuracy,split5_test_balanced_accuracy,split6_test_balanced_accuracy,split7_test_balanced_accuracy,split8_test_balanced_accuracy,split9_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_test_precision_macro,split1_test_precision_macro,split2_test_precision_macro,split3_test_precision_macro,split4_test_precision_macro,split5_test_precision_macro,split6_test_precision_macro,split7_test_precision_macro,split8_test_precision_macro,split9_test_precision_macro,mean_test_precision_macro,std_test_precision_macro,rank_test_precision_macro,split0_test_precision_weighted,split1_test_precision_weighted,split2_test_precision_weighted,split3_test_precision_weighted,split4_test_precision_weighted,split5_test_precision_weighted,split6_test_precision_weighted,split7_test_precision_weighted,split8_test_precision_weighted,split9_test_precision_weighted,mean_test_precision_weighted,std_test_precision_weighted,rank_test_precision_weighted,split0_test_recall_macro,split1_test_recall_macro,split2_test_recall_macro,split3_test_recall_macro,split4_test_recall_macro,split5_test_recall_macro,split6_test_recall_macro,split7_test_recall_macro,split8_test_recall_macro,split9_test_recall_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro,split0_test_recall_weighted,split1_test_recall_weighted,split2_test_recall_weighted,split3_test_recall_weighted,split4_test_recall_weighted,split5_test_recall_weighted,split6_test_recall_weighted,split7_test_recall_weighted,split8_test_recall_weighted,split9_test_recall_weighted,mean_test_recall_weighted,std_test_recall_weighted,rank_test_recall_weighted,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,split3_test_f1_macro,split4_test_f1_macro,split5_test_f1_macro,split6_test_f1_macro,split7_test_f1_macro,split8_test_f1_macro,split9_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,split0_test_f1_weighted,split1_test_f1_weighted,split2_test_f1_weighted,split3_test_f1_weighted,split4_test_f1_weighted,split5_test_f1_weighted,split6_test_f1_weighted,split7_test_f1_weighted,split8_test_f1_weighted,split9_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted,split0_test_auc_macro,split1_test_auc_macro,split2_test_auc_macro,split3_test_auc_macro,split4_test_auc_macro,split5_test_auc_macro,split6_test_auc_macro,split7_test_auc_macro,split8_test_auc_macro,split9_test_auc_macro,mean_test_auc_macro,std_test_auc_macro,rank_test_auc_macro
106,2.30734543800354,0.036731652008531665,0.07280991077423096,0.008862175493933337,35,0.0001,"{'reduce_dim__percentile': 35, 'clf__var_smoothing': 0.0001}",0.41759259259259257,0.35109427609427607,0.5565656565656565,0.47615902615902617,0.4881572131572132,0.39323793490460157,0.4347081930415264,0.43566217732884405,0.50165544332211,0.3985690235690236,0.44534015367348695,0.0575210587849765,105,0.3964732798066131,0.34740200173636704,0.4918470418470419,0.44954870837223776,0.45094207287189747,0.35682621189867564,0.397845518678852,0.3866809116809116,0.43663237347447875,0.40817861151194484,0.41223767318790205,0.04268754556904108,78,0.6324624770169325,0.5148907504638123,0.6726501221550726,0.6643786227362233,0.6543611561850227,0.5399466845872356,0.6203586430071578,0.6256923076923077,0.6412737438000596,0.6431225108225109,0.6209137018466334,0.0495433070316729,63,0.41759259259259257,0.35109427609427607,0.5565656565656565,0.47615902615902617,0.4881572131572132,0.39323793490460157,0.4347081930415264,0.43566217732884405,0.50165544332211,0.3985690235690236,0.44534015367348695,0.0575210587849765,105,0.42574257425742573,0.33663366336633666,0.5148514851485149,0.42574257425742573,0.4752475247524752,0.4158415841584158,0.45544554455445546,0.37,0.42,0.45,0.428950495049505,0.047893171812730236,144,0.36368263544734136,0.3112455083043318,0.4770798402377349,0.4053279842256831,0.4362447429114095,0.35137617032207547,0.3766942609047872,0.3287351861363161,0.4083225243116343,0.35998075998075996,0.38186896127820735,0.04780088665869755,105,0.47505890601988443,0.3759619659444935,0.5408073600882355,0.47020198739507096,0.5101376950881901,0.4464549240476603,0.49211688086101846,0.4028605290190036,0.4492261748800069,0.502909090909091,0.46657355142526546,0.04737287425116172,123,,,,,,,,,,,,,1
107,2.3954970121383665,0.0911794101860771,0.0744675874710083,0.007212345358236413,40,0.0001,"{'reduce_dim__percentile': 40, 'clf__var_smoothing': 0.0001}",0.4055555555555556,0.37331649831649827,0.5637205387205388,0.5011590261590261,0.4275511525511526,0.39478114478114473,0.4861952861952861,0.5069584736251403,0.4072671156004489,0.34553872053872053,0.4412043512043512,0.06593734759542907,123,0.38866503866503865,0.3766738345169718,0.5236171236171236,0.466432441922638,0.42264173734761973,0.3552870103594741,0.41803901948829486,0.40072989827891786,0.4368979785646452,0.3673414615443601,0.41563255443050834,0.04815513056786271,60,0.6289606982676289,0.5297666741464062,0.6946766105181947,0.6825304379177414,0.6225935974334345,0.5295056404828251,0.598923031338012,0.6330084327437269,0.6598870573870574,0.5964182194616977,0.6176270399696724,0.0534875510212532,81,0.4055555555555556,0.37331649831649827,0.5637205387205388,0.5011590261590261,0.4275511525511526,0.39478114478114473,0.4861952861952861,0.5069584736251403,0.4072671156004489,0.34553872053872053,0.4412043512043512,0.06593734759542907,123,0.43564356435643564,0.3564356435643564,0.5346534653465347,0.45544554455445546,0.42574257425742573,0.40594059405940597,0.46534653465346537,0.41,0.39,0.4,0.42792079207920797,0.04663315885455795,149,0.36885872297637,0.3436021881877053,0.4908342686120463,0.4336371380087228,0.3936399840700916,0.35136653013318275,0.406354760166935,0.36485954261154974,0.3478376561709895,0.30988190512010694,0.38108726960577,0.049476236785565834,108,0.48384719919955793,0.3908360465265761,0.5606960696069606,0.4985641889715904,0.47032772632101916,0.43724988046386415,0.48744452221590406,0.42404656140766755,0.43090884115884115,0.4451417940961677,0.46290628299681486,0.04542236771463197,136,,,,,,,,,,,,,1
108,2.298903775215149,0.050059221487008115,0.06986339092254638,0.007706087737706183,45,0.0001,"{'reduce_dim__percentile': 45, 'clf__var_smoothing': 0.0001}",0.3919753086419753,0.3675084175084175,0.5537878787878788,0.5314620564620564,0.43108650608650606,0.4019360269360269,0.48409090909090907,0.48448372615039287,0.4498597081930415,0.3573232323232323,0.44535137701804367,0.06400922247501936,104,0.386331569664903,0.3171458171458171,0.5144364894364893,0.48187152353819024,0.4051098864824355,0.3692400192400192,0.41374643874643874,0.3998456790123457,0.41836419753086423,0.3588263588263588,0.40649179796238616,0.054426695568691744,113,0.6326189761833326,0.518039716059518,0.6854647827420104,0.6931886870005681,0.5915173029908033,0.541968839741117,0.6002856054836252,0.6290555555555556,0.6343333333333333,0.5760497835497835,0.6102522582639647,0.05362371440345965,106,0.3919753086419753,0.3675084175084175,0.5537878787878788,0.5314620564620564,0.43108650608650606,0.4019360269360269,0.48409090909090907,0.48448372615039287,0.4498597081930415,0.3573232323232323,0.44535137701804367,0.06400922247501936,104,0.44554455445544555,0.3465346534653465,0.5148514851485149,0.4752475247524752,0.40594059405940597,0.4158415841584158,0.4752475247524752,0.4,0.43,0.39,0.42992079207920797,0.04667097790290966,142,0.3626655617229065,0.3094100966594262,0.4804004038019383,0.4534298011590864,0.3845052712471509,0.3595633840989878,0.40991500684595317,0.3526082970527415,0.38650004316670983,0.3172336266157776,0.38162314923706786,0.05176319329777493,106,0.4973477845527186,0.3788761478516325,0.5423776707790787,0.516812781305238,0.4337407039592718,0.4485039835252875,0.5001360494105677,0.42113775113775115,0.45705594405594413,0.43231577270936533,0.46283045892868546,0.04756843907664137,137,,,,,,,,,,,,,1
109,2.3982736825942994,0.06686407950920323,0.07133433818817139,0.008405147209178452,50,0.0001,"{'reduce_dim__percentile': 50, 'clf__var_smoothing': 0.0001}",0.44413580246913575,0.3828282828282828,0.5882996632996632,0.47308987308987305,0.45604765604765596,0.4183501683501683,0.47427048260381593,0.4727553310886644,0.4251122334455668,0.3901515151515152,0.4525041008374341,0.05521779764458378,69,0.4215294127574829,0.3528697881639058,0.5275167327798906,0.43698113127937693,0.4168175959842626,0.38366597454832746,0.40529100529100526,0.43693019943019945,0.3970477779301309,0.3956335934596804,0.4174283211624263,0.04386875575607961,48,0.6254490110665202,0.522830033488158,0.7070149929972754,0.6606115310779198,0.6189310139805189,0.5504221782876413,0.5927510608203678,0.6661068376068375,0.6178994583847526,0.6052859531772574,0.616730207088725,0.051494815986021826,86,0.44413580246913575,0.3828282828282828,0.5882996632996632,0.47308987308987305,0.45604765604765596,0.4183501683501683,0.47427048260381593,0.4727553310886644,0.4251122334455668,0.3901515151515152,0.4525041008374341,0.05521779764458378,69,0.43564356435643564,0.3564356435643564,0.5148514851485149,0.45544554455445546,0.43564356435643564,0.43564356435643564,0.4752475247524752,0.41,0.4,0.41,0.4328910891089109,0.04125320447816964,138,0.3927543045190104,0.3356884831875398,0.4911596991307135,0.4131814687370243,0.4004263725087524,0.3737965112361248,0.4046479285609721,0.36206164206164204,0.3556086127088338,0.33583181199511314,0.3865156834645726,0.04369201725082098,92,0.4742790697945036,0.3841065346614443,0.5414349198895043,0.4998490691559999,0.46351244348163034,0.4624885676973494,0.49927666679711447,0.4374601398601399,0.4241225192763513,0.4525956561729169,0.4639125586786954,0.041762989907279814,130,,,,,,,,,,,,,1
110,2.2820355892181396,0.04590007122943222,0.07450788021087647,0.006636776720521327,55,0.0001,"{'reduce_dim__percentile': 55, 'clf__var_smoothing': 0.0001}",0.462962962962963,0.38787878787878793,0.6044612794612795,0.6147112147112147,0.4419062419062419,0.36742424242424243,0.4599607182940516,0.5031705948372616,0.49924242424242427,0.4444444444444444,0.4786162911162911,0.07687165056280364,19,0.42641895141895136,0.34001122334455663,0.5161724622508936,0.5282234271364705,0.39416652700966426,0.33719416386083056,0.38130511463844796,0.3917328042328042,0.42751204859048,0.4253246753246753,0.4168061397807774,0.06099519567161777,52,0.6501435857871501,0.5362386238623862,0.6891964406524685,0.7104175885816008,0.595748896156584,0.5180978097809781,0.5556105610561055,0.607297619047619,0.6324628639334522,0.6499285714285713,0.6145142560286916,0.06075995626633918,96,0.462962962962963,0.38787878787878793,0.6044612794612795,0.6147112147112147,0.4419062419062419,0.36742424242424243,0.4599607182940516,0.5031705948372616,0.49924242424242427,0.4444444444444444,0.4786162911162911,0.07687165056280364,19,0.46534653465346537,0.36633663366336633,0.5445544554455446,0.5445544554455446,0.43564356435643564,0.39603960396039606,0.44554455445544555,0.44,0.45,0.46,0.4548019801980199,0.053125565901712704,51,0.4107586857586858,0.33141858228347243,0.520893014555987,0.5182872915914866,0.3865523493970939,0.3276405770684947,0.38530908089731614,0.3791339508444771,0.41549954927783556,0.36016519674014924,0.40356582784149986,0.0641825531570083,28,0.5068396949585068,0.3974164387756377,0.5666672900017207,0.5800351837759944,0.45765245328775883,0.42930196582914254,0.46682874977866234,0.46105796834744206,0.4657799883394849,0.48136396494081507,0.48129436980351653,0.05371030819849226,65,,,,,,,,,,,,,1
111,2.2523744821548464,0.04100807184251779,0.073787260055542,0.009193327059657667,60,0.0001,"{'reduce_dim__percentile': 60, 'clf__var_smoothing': 0.0001}",0.42407407407407405,0.38324915824915823,0.5257575757575759,0.5647565397565398,0.45832038332038333,0.4225589225589225,0.47760942760942765,0.47791806958473626,0.47929292929292927,0.42550505050505055,0.46390421307087965,0.050916450847660076,39,0.3954785954785955,0.3377764211097544,0.49927048260381596,0.4825206498581111,0.3962081128747796,0.36666976340889385,0.3825998075998076,0.35892255892255887,0.424766145160882,0.42907968574635247,0.4073292222763551,0.04959206010628563,109,0.6287000128584286,0.5377748763887378,0.6687068706870687,0.6918404700674877,0.6064670752789564,0.5310500531658516,0.585985384252711,0.5576666666666665,0.6234916837548417,0.642170707070707,0.6073853800191458,0.05140057482684147,123,0.42407407407407405,0.38324915824915823,0.5257575757575759,0.5647565397565398,0.45832038332038333,0.4225589225589225,0.47760942760942765,0.47791806958473626,0.47929292929292927,0.42550505050505055,0.46390421307087965,0.050916450847660076,39,0.43564356435643564,0.36633663366336633,0.5148514851485149,0.504950495049505,0.45544554455445546,0.4158415841584158,0.44554455445544555,0.4,0.45,0.46,0.4448613861386139,0.042406587863746625,95,0.3737437135097954,0.326052282622741,0.47463807071650216,0.4731828397045789,0.39609794731236847,0.36803319679984947,0.38442039442039444,0.34518999518999516,0.4028586416267576,0.3589212872196381,0.39031383691226207,0.04703786272184623,74,0.4809348835404073,0.39761298376521353,0.5434192158711669,0.536445950376213,0.47576742187428483,0.441196579481592,0.4711285414255711,0.42390476190476195,0.4753995473125907,0.4891054857186792,0.4734915371270481,0.04292564330097667,100,,,,,,,,,,,,,1
112,2.35318341255188,0.04633948280350126,0.08105971813201904,0.010436021871138273,65,0.0001,"{'reduce_dim__percentile': 65, 'clf__var_smoothing': 0.0001}",0.429320987654321,0.39343434343434347,0.5544612794612794,0.49114219114219115,0.4722092722092722,0.3700897867564534,0.5103254769921437,0.5205667789001122,0.4709595959595959,0.3914141414141414,0.46039238539238536,0.05875495894979364,43,0.3995619123070104,0.35396825396825393,0.4727463894130561,0.44099927849927856,0.40026847746145994,0.3509922176588843,0.43290835573444275,0.414892675762241,0.4142021720969089,0.41396825396825393,0.409450798686979,0.03507465738289471,96,0.627652576181988,0.5518151815181518,0.6577547864676577,0.635926449787836,0.5887979023466255,0.5339389982954339,0.6323340743056627,0.6078944099378881,0.6129310776942355,0.6344571428571428,0.6083502599392622,0.03737293528358369,114,0.429320987654321,0.39343434343434347,0.5544612794612794,0.49114219114219115,0.4722092722092722,0.3700897867564534,0.5103254769921437,0.5205667789001122,0.4709595959595959,0.3914141414141414,0.46039238539238536,0.05875495894979364,43,0.44554455445544555,0.36633663366336633,0.5247524752475248,0.48514851485148514,0.46534653465346537,0.38613861386138615,0.49504950495049505,0.45,0.44,0.45,0.4508316831683169,0.04503231529296528,65,0.38074854114407874,0.33482338057318123,0.4799101288574973,0.431955451955452,0.40648862393960433,0.3321764909019811,0.42826118631303234,0.39465934709130496,0.39534485911297507,0.35393163146933326,0.393829964135844,0.043883948471057185,61,0.4889718760343145,0.4027397068321868,0.5506255738355791,0.5174575919130374,0.477657988811163,0.4240169197915266,0.5226305237155106,0.4745817621652565,0.4660951850082285,0.49124627731383186,0.4816023405420635,0.04209649290886022,64,,,,,,,,,,,,,1
113,2.3099677324295045,0.037914240557163845,0.07744417190551758,0.006313143514196199,70,0.0001,"{'reduce_dim__percentile': 70, 'clf__var_smoothing': 0.0001}",0.44043209876543205,0.42424242424242425,0.5264309764309765,0.47725330225330226,0.4182465682465682,0.38902918069584735,0.4899551066217733,0.4666947250280583,0.4845959595959596,0.42045454545454547,0.4537334887334888,0.039838052954349036,65,0.4236430236430236,0.3835297418630752,0.47290858868011465,0.4521384479717814,0.3756660006660007,0.36078415411748743,0.423268921095008,0.3937628323593236,0.4328587672885918,0.4263553408480945,0.4144915818532501,0.0335394636273988,67,0.6537716409003539,0.5862386238623862,0.6593165429355954,0.6528181389567528,0.5734859200205734,0.5346904580567946,0.6242359018510547,0.6099712568133621,0.6470611946532999,0.6397004830917874,0.618129016114196,0.039431437535538405,78,0.44043209876543205,0.42424242424242425,0.5264309764309765,0.47725330225330226,0.4182465682465682,0.38902918069584735,0.4899551066217733,0.4666947250280583,0.4845959595959596,0.42045454545454547,0.4537334887334888,0.039838052954349036,65,0.45544554455445546,0.38613861386138615,0.5346534653465347,0.48514851485148514,0.43564356435643564,0.4158415841584158,0.4752475247524752,0.4,0.46,0.46,0.4508118811881189,0.04148892442467839,68,0.39731882152934783,0.36293774663339884,0.47396579711670916,0.4297565397565398,0.37458220791554125,0.35296870191158347,0.40945511174799515,0.3547880665953982,0.4097192857977172,0.37318970239559984,0.3938681981399831,0.03628495830536805,60,0.5076453787657539,0.4177215738774068,0.5599893194721035,0.5251459761360752,0.4690554220257191,0.44945591256801404,0.5039009861151842,0.4352406730808266,0.49004910122557177,0.4928663283675242,0.48510706716341795,0.04088080815848473,52,,,,,,,,,,,,,1
114,2.3032896518707275,0.04179126979404204,0.07893612384796142,0.0062723376761174,75,0.0001,"{'reduce_dim__percentile': 75, 'clf__var_smoothing': 0.0001}",0.43765432098765433,0.4223905723905724,0.5588383838383838,0.44947552447552447,0.4437127687127687,0.37934904601571273,0.4890291806958474,0.44469696969696965,0.491638608305275,0.41414141414141414,0.4530926789260123,0.04718815111724542,66,0.40649350649350646,0.38333333333333336,0.49005270092226616,0.4241333344594214,0.3709235209235209,0.3561216695274666,0.40021414362846586,0.38468660968660967,0.44386347131445175,0.4237037037037037,0.4083525993992746,0.03715555947444355,103,0.6384338433843385,0.5853606789250354,0.6739825069463468,0.615617540014871,0.5815824439586816,0.5289389904112245,0.6035623849195296,0.5915320512820512,0.6449836601307188,0.6507555555555555,0.6114749655528352,0.040205679796824094,102,0.43765432098765433,0.4223905723905724,0.5588383838383838,0.44947552447552447,0.4437127687127687,0.37934904601571273,0.4890291806958474,0.44469696969696965,0.491638608305275,0.41414141414141414,0.4530926789260123,0.04718815111724542,66,0.45544554455445546,0.38613861386138615,0.5445544554455446,0.46534653465346537,0.45544554455445546,0.39603960396039606,0.4752475247524752,0.43,0.46,0.48,0.4548217821782178,0.04246211456597954,50,0.38673237094289725,0.36316951022833377,0.4969909850071399,0.4005126190907809,0.38127077844183105,0.34251141584328587,0.3906099967732979,0.3642151965681377,0.4250759961491566,0.37160805026871996,0.3922696919313581,0.04099000614592926,65,0.49868193297062496,0.41825190922453587,0.5726721010988551,0.5002381167478038,0.4726179023339002,0.431800312854564,0.48702975423496286,0.467254715872363,0.48711249159161857,0.5147858488338248,0.4850445085763052,0.04093321156767735,53,,,,,,,,,,,,,1
115,2.2982982397079468,0.05432531259621902,0.07498157024383545,0.006861572614475795,80,0.0001,"{'reduce_dim__percentile': 80, 'clf__var_smoothing': 0.0001}",0.44074074074074077,0.39646464646464646,0.5150673400673401,0.4686674436674437,0.424015799015799,0.4553872053872053,0.4570426487093154,0.4113636363636364,0.4777497194163861,0.4006734006734007,0.44471725805059137,0.0356435899412946,109,0.423275236020334,0.35863160078846357,0.4755731922398589,0.42645453438292313,0.3631010964344298,0.40808099308099305,0.38974358974358975,0.3680246913580247,0.42429854096520764,0.4237394957983194,0.4060922970812144,0.034643179132434546,117,0.6451303953924804,0.5505847223377799,0.6726858400125727,0.6328449268017777,0.5642164216421641,0.5694590722808545,0.5892421934501143,0.5632666666666667,0.6262272727272726,0.6420567226890757,0.605571423400076,0.0408229762588065,131,0.44074074074074077,0.39646464646464646,0.5150673400673401,0.4686674436674437,0.424015799015799,0.4553872053872053,0.4570426487093154,0.4113636363636364,0.4777497194163861,0.4006734006734007,0.44471725805059137,0.0356435899412946,109,0.44554455445544555,0.36633663366336633,0.5346534653465347,0.48514851485148514,0.44554455445544555,0.45544554455445546,0.48514851485148514,0.4,0.45,0.46,0.45278217821782174,0.04385037633090869,60,0.39647509853730273,0.3351170889422256,0.4697550815197874,0.4162633025136298,0.3721060062133334,0.39850652685085314,0.38471556623730535,0.3374223200310157,0.4142259771292029,0.37675660577621367,0.39013435737508695,0.03748558861428935,75,0.4933327516823189,0.39619705079857653,0.5707482383661767,0.5209299251964508,0.46864056374677715,0.48301558752302365,0.4999282680298609,0.4406992138296487,0.47628725038402453,0.5069510306686776,0.4856729880225535,0.04428242423194838,47,,,,,,,,,,,,,1
