,precision,recall,f1-score,support
AMCVn,0.14,0.14,0.14,14
dwarf_nova_SU_UMa,0.83,0.78,0.81,189
dwarf_nova_U_Gem,0.44,0.46,0.45,35
dwarf_nova_Z_Cam,0.59,0.62,0.6,52
int_polar,0.25,0.07,0.11,15
nova,0.78,0.5,0.61,14
nova_like,0.6,0.67,0.64,43
nova_like_VY_Scl,0.5,0.72,0.59,36
polar,0.59,0.65,0.62,34
accuracy,0.66,0.66,0.66,0
macro avg,0.53,0.51,0.51,432
weighted avg,0.66,0.66,0.65,432
