objectId,ra,dec,gmag,rmag,maggmean,magrmean,g_minus_r,clr_mean,dmdt_g,dmdt_r,distpsnr1,sgmag1,brightening_g,brightening_r,last_alert,classification,classificationReliability,catalogue_table_name,separationArcsec,tns_prefix,association_type,description
ZTF18aakqinm,207.2062891923077,40.98122954615384,19.019,18.744,19.0371,18.7183,0.4911,0.3187999725341797,0.00194175,-0.00848811,0.233603,17.9206,1.098398208618164,1.0792999267578125,0.5561921251937747,AGN,1,NED/MILLIQUAS/VERON,0.26,AT,AGN,"The transient is synonymous with <em><a href=""https://ned.ipac.caltech.edu/cgi-bin/objsearch?objname=2MASXJ13484946%2B4058528&extend=no&hconst=73&omegam=0.27&omegav=0.73&corr_z=1&out_csys=Equatorial&out_equinox=J2000.0&obj_sort=RA+or+Longitude&of=pre_text&zv_breaker=30000.0&list_limit=5&img_stamp=YES"">2MASXJ13484946%2B4058528</a></em>; a 18.00 mag AGN found in the NED/MILLIQUAS/VERON catalogues. Its located 0.3"" (0.7 Kpc) from the AGN core. A host z=0.167 implies a <em>m - M =</em> 39.52."
ZTF18aakycpv,241.32545189361704,52.120163059574466,18.5956,18.2385,19.0476,18.5396,0.357096,0.5079994201660156,19.19,4.69469,0.105455,17.9212,0.6744003295898438,0.8334007263183594,0.4891782249324024,AGN,1,MILLIQUAS/GSC,0.12,SN,AGN,"The transient is synonymous with <em><a href=""https://heasarc.gsfc.nasa.gov/db-perl/W3Browse/w3table.pl?popupFrom=Query+Results&tablehead=name%3Dheasarc_milliquas%26description%3DMillion+Quasars+Catalog+%28MILLIQUAS%29%2C+Version+4.8+%2822+June+2016%29%26url%3Dhttp%3A%2F%2Fheasarc.gsfc.nasa.gov%2FW3Browse%2Fgalaxy-catalog%2Fmilliquas.html%26archive%3DN%26radius%3D1%26mission%3DGALAXY+CATALOG%26priority%3D5%26tabletype%3DObject&dummy=Examples+of+query+constraints%3A&varon=name&bparam_name=%3D%22SDSSJ160518.09+520712.6%22&bparam_name%3A%3Aunit=+&bparam_name%3A%3Aformat=char25&varon=ra&bparam_ra=&bparam_ra%3A%3Aunit=degree&bparam_ra%3A%3Aformat=float8%3A.5f&varon=dec&bparam_dec=&bparam_dec%3A%3Aunit=degree&bparam_dec%3A%3Aformat=float8%3A.5f&varon=bmag&bparam_bmag=&bparam_bmag%3A%3Aunit=mag&bparam_bmag%3A%3Aformat=float8%3A4.1f&varon=rmag&bparam_rmag=&bparam_rmag%3A%3Aunit=mag&bparam_rmag%3A%3Aformat=float8%3A4.1f&varon=redshift&bparam_redshift=&bparam_redshift%3A%3Aunit=+&bparam_redshift%3A%3Aformat=float8%3A6.3f&varon=radio_name&bparam_radio_name=&bparam_radio_name%3A%3Aunit=+&bparam_radio_name%3A%3Aformat=char22&varon=xray_name&bparam_xray_name=&bparam_xray_name%3A%3Aunit=+&bparam_xray_name%3A%3Aformat=char22&bparam_lii=&bparam_lii%3A%3Aunit=degree&bparam_lii%3A%3Aformat=float8%3A.5f&bparam_bii=&bparam_bii%3A%3Aunit=degree&bparam_bii%3A%3Aformat=float8%3A.5f&bparam_broad_type=&bparam_broad_type%3A%3Aunit=+&bparam_broad_type%3A%3Aformat=char4&bparam_optical_flag=&bparam_optical_flag%3A%3Aunit=+&bparam_optical_flag%3A%3Aformat=char3&bparam_red_psf_flag=&bparam_red_psf_flag%3A%3Aunit=+&bparam_red_psf_flag%3A%3Aformat=char1&bparam_blue_psf_flag=&bparam_blue_psf_flag%3A%3Aunit=+&bparam_blue_psf_flag%3A%3Aformat=char1&bparam_ref_name=&bparam_ref_name%3A%3Aunit=+&bparam_ref_name%3A%3Aformat=char6&bparam_ref_redshift=&bparam_ref_redshift%3A%3Aunit=+&bparam_ref_redshift%3A%3Aformat=char6&bparam_qso_prob=&bparam_qso_prob%3A%3Aunit=percent&bparam_qso_prob%3A%3Aformat=int2%3A3d&bparam_alt_name_1=&bparam_alt_name_1%3A%3Aunit=+&bparam_alt_name_1%3A%3Aformat=char22&bparam_alt_name_2=&bparam_alt_name_2%3A%3Aunit=+&bparam_alt_name_2%3A%3Aformat=char22&Entry=&Coordinates=J2000&Radius=Default&Radius_unit=arcsec&NR=CheckCaches%2FGRB%2FSIMBAD%2BSesame%2FNED&Time=&ResultMax=1000&displaymode=Display&Action=Start+Search&table=heasarc_milliquas"">SDSSJ160518.09+520712.6</a></em>; a V=15.19 mag AGN found in the MILLIQUAS/GSC catalogues. Its located 0.1"" (1.0 Kpc) from the AGN core. A host z=1.000 implies a <em>m - M =</em> 44.10."
ZTF18aalsiji,222.61114999111106,58.662465882222214,18.1823,18.5799,18.5223,18.6793,-0.397596,-0.1569995880126953,7.21662,-406.746,0.11388,18.4439,-0.2615985870361328,0.6459007263183594,0.5253472253680229,AGN,1,NED/MILLIQUAS/GSC/VERON,0.06,AT,AGN,"The transient is synonymous with <em><a href=""https://ned.ipac.caltech.edu/cgi-bin/objsearch?objname=MRK0830&extend=no&hconst=73&omegam=0.27&omegav=0.73&corr_z=1&out_csys=Equatorial&out_equinox=J2000.0&obj_sort=RA+or+Longitude&of=pre_text&zv_breaker=30000.0&list_limit=5&img_stamp=YES"">MRK0830</a></em>; a V=16.04 mag AGN found in the NED/MILLIQUAS/GSC/VERON catalogues. Its located 0.1"" (0.2 Kpc) from the AGN core. A host z=0.210 implies a <em>m - M =</em> 40.07."
ZTF18aamggbl,219.85312812962968,55.579348748148156,19.6031,19.0511,19.3807,19.2066,0.581501,0.17409896850585938,0.176268,0.0164727,0.416428,17.9295,1.6735992431640625,1.5592994689941406,0.5253472253680229,NT,1,NED/SDSS,0.36,AT,NT,"The transient is synonymous with <em><a href=""https://ned.ipac.caltech.edu/cgi-bin/objsearch?objname=2MASXJ14392470%2B5534459&extend=no&hconst=73&omegam=0.27&omegav=0.73&corr_z=1&out_csys=Equatorial&out_equinox=J2000.0&obj_sort=RA+or+Longitude&of=pre_text&zv_breaker=30000.0&list_limit=5&img_stamp=YES"">2MASXJ14392470%2B5534459</a></em>; an r=16.23 mag galaxy found in the NED/SDSS catalogues. Its located 0.4"" (0.7 Kpc) from the galaxy core. A host z=0.105 implies a <em>m - M =</em> 38.43."
ZTF18aamndyk,253.467586295,39.76017117000001,15.8857,15.6958,15.9384,15.727,0.2422,0.21140003204345703,0.0276826,-0.00185596,0.0794595,14.606,1.2797002792358398,2.3697996139526367,0.5307176252827048,AGN,1,NED D/SDSS/GAIA/PS1/VERON,0.05,AT,AGN,"The transient is synonymous with <em><a href=""https://ned.ipac.caltech.edu/cgi-bin/objsearch?objname=MRK0501&extend=no&hconst=73&omegam=0.27&omegav=0.73&corr_z=1&out_csys=Equatorial&out_equinox=J2000.0&obj_sort=RA+or+Longitude&of=pre_text&zv_breaker=30000.0&list_limit=5&img_stamp=YES"">MRK0501</a></em>; a G=14.16 mag galaxy found in the NED_D/SDSS/GAIA/PS1/VERON catalogues. Its located 0.0"" (0.0 Kpc) from the galaxy core. A host distance of 119.0 Mpc(z=0.033) implies a <em>m - M =</em> 35.38."
ZTF18aamnrdd,266.03477915454545,28.34364734090909,18.6875,18.8781,18.8119,18.9942,-0.190601,-0.18230056762695312,-0.011147,0.0190602,0.142993,17.9262,0.7612991333007812,1.213399887084961,0.48003472527489066,AGN,1,MILLIQUAS,0.34,AT,AGN,"The transient is synonymous with <em><a href=""https://heasarc.gsfc.nasa.gov/db-perl/W3Browse/w3table.pl?popupFrom=Query+Results&tablehead=name%3Dheasarc_milliquas%26description%3DMillion+Quasars+Catalog+%28MILLIQUAS%29%2C+Version+4.8+%2822+June+2016%29%26url%3Dhttp%3A%2F%2Fheasarc.gsfc.nasa.gov%2FW3Browse%2Fgalaxy-catalog%2Fmilliquas.html%26archive%3DN%26radius%3D1%26mission%3DGALAXY+CATALOG%26priority%3D5%26tabletype%3DObject&dummy=Examples+of+query+constraints%3A&varon=name&bparam_name=%3D%22WISEAJ174408.32+282037.%22&bparam_name%3A%3Aunit=+&bparam_name%3A%3Aformat=char25&varon=ra&bparam_ra=&bparam_ra%3A%3Aunit=degree&bparam_ra%3A%3Aformat=float8%3A.5f&varon=dec&bparam_dec=&bparam_dec%3A%3Aunit=degree&bparam_dec%3A%3Aformat=float8%3A.5f&varon=bmag&bparam_bmag=&bparam_bmag%3A%3Aunit=mag&bparam_bmag%3A%3Aformat=float8%3A4.1f&varon=rmag&bparam_rmag=&bparam_rmag%3A%3Aunit=mag&bparam_rmag%3A%3Aformat=float8%3A4.1f&varon=redshift&bparam_redshift=&bparam_redshift%3A%3Aunit=+&bparam_redshift%3A%3Aformat=float8%3A6.3f&varon=radio_name&bparam_radio_name=&bparam_radio_name%3A%3Aunit=+&bparam_radio_name%3A%3Aformat=char22&varon=xray_name&bparam_xray_name=&bparam_xray_name%3A%3Aunit=+&bparam_xray_name%3A%3Aformat=char22&bparam_lii=&bparam_lii%3A%3Aunit=degree&bparam_lii%3A%3Aformat=float8%3A.5f&bparam_bii=&bparam_bii%3A%3Aunit=degree&bparam_bii%3A%3Aformat=float8%3A.5f&bparam_broad_type=&bparam_broad_type%3A%3Aunit=+&bparam_broad_type%3A%3Aformat=char4&bparam_optical_flag=&bparam_optical_flag%3A%3Aunit=+&bparam_optical_flag%3A%3Aformat=char3&bparam_red_psf_flag=&bparam_red_psf_flag%3A%3Aunit=+&bparam_red_psf_flag%3A%3Aformat=char1&bparam_blue_psf_flag=&bparam_blue_psf_flag%3A%3Aunit=+&bparam_blue_psf_flag%3A%3Aformat=char1&bparam_ref_name=&bparam_ref_name%3A%3Aunit=+&bparam_ref_name%3A%3Aformat=char6&bparam_ref_redshift=&bparam_ref_redshift%3A%3Aunit=+&bparam_ref_redshift%3A%3Aformat=char6&bparam_qso_prob=&bparam_qso_prob%3A%3Aunit=percent&bparam_qso_prob%3A%3Aformat=int2%3A3d&bparam_alt_name_1=&bparam_alt_name_1%3A%3Aunit=+&bparam_alt_name_1%3A%3Aformat=char22&bparam_alt_name_2=&bparam_alt_name_2%3A%3Aunit=+&bparam_alt_name_2%3A%3Aformat=char22&Entry=&Coordinates=J2000&Radius=Default&Radius_unit=arcsec&NR=CheckCaches%2FGRB%2FSIMBAD%2BSesame%2FNED&Time=&ResultMax=1000&displaymode=Display&Action=Start+Search&table=heasarc_milliquas"">WISEAJ174408.32+282037.</a></em>; an unknown-mag AGN found in the MILLIQUAS catalogue. Its located 0.3"" from the AGN core."
ZTF18aanlzzf,243.24941989999996,42.32786980666666,19.9635,19.5247,19.8199,19.4268,0.444599,0.3931007385253906,0.00148436,-0.00172421,0.424832,18.2788,1.6847000122070312,1.5708999633789062,0.5243981252424419,AGN,1,NED/SDSS/MILLIQUAS/GSC/VERON,0.35,AT,AGN,"The transient is synonymous with <em><a href=""https://ned.ipac.caltech.edu/cgi-bin/objsearch?objname=FBQSJ1612%2B4219&extend=no&hconst=73&omegam=0.27&omegav=0.73&corr_z=1&out_csys=Equatorial&out_equinox=J2000.0&obj_sort=RA+or+Longitude&of=pre_text&zv_breaker=30000.0&list_limit=5&img_stamp=YES"">FBQSJ1612%2B4219</a></em>; a V=17.81 mag AGN found in the NED/SDSS/MILLIQUAS/GSC/VERON catalogues. Its located 0.3"" (1.3 Kpc) from the AGN core. A host z=0.234 implies a <em>m - M =</em> 40.34."
ZTF18aapmrow,284.40359013333335,32.143317116666665,19.8263,19.8847,20.2818,19.8752,0.0648994,0.4065990447998047,0.167502,0.0528402,0.46284,19.9125,-0.08620071411132812,1.0094013214111328,0.40265042521059513,VS,1,PS1,0.49,AT,VS,"The transient is synonymous with <em>146572844037482570</em>; an r=19.94 mag stellar source found in the PS1 catalogue. Its located 0.5"" from the stellar source core."
ZTF18aaqmqmx,222.78036256842103,52.501067557894736,19.2522,19.4656,19.1949,19.3382,-0.206799,-0.14329910278320312,0.00322937,-0.0356257,0.0767609,19.9211,-0.6689014434814453,0.09819984436035156,0.5253472253680229,AGN,1,NED/MILLIQUAS/VERON,0.03,AT,AGN,"The transient is synonymous with <em><a href=""https://ned.ipac.caltech.edu/cgi-bin/objsearch?objname=SDSSJ145107.27%2B523003.7&extend=no&hconst=73&omegam=0.27&omegav=0.73&corr_z=1&out_csys=Equatorial&out_equinox=J2000.0&obj_sort=RA+or+Longitude&of=pre_text&zv_breaker=30000.0&list_limit=5&img_stamp=YES"">SDSSJ145107.27%2B523003.7</a></em>; a 19.90 mag AGN found in the NED/MILLIQUAS/VERON catalogues. Its located 0.0"" (0.1 Kpc) from the AGN core. A host z=0.205 implies a <em>m - M =</em> 40.02."
ZTF18aaqzhib,265.1069177333333,51.82844489166666,17.9315,18.7941,17.9497,18.7941,-0.562799,-0.8444004058837891,0.0868433,,0.0708506,16.6458,1.2856998443603516,2.248199462890625,0.5283565251156688,AGN,1,NED/MILLIQUAS/PS1/VERON,0.17,AT,AGN,"The transient is synonymous with <em><a href=""https://ned.ipac.caltech.edu/cgi-bin/objsearch?objname=2MASXJ17402564%2B5149419&extend=no&hconst=73&omegam=0.27&omegav=0.73&corr_z=1&out_csys=Equatorial&out_equinox=J2000.0&obj_sort=RA+or+Longitude&of=pre_text&zv_breaker=30000.0&list_limit=5&img_stamp=YES"">2MASXJ17402564%2B5149419</a></em>; an r=16.16 mag AGN found in the NED/MILLIQUAS/PS1/VERON catalogues. Its located 0.2"" (0.2 Kpc) from the AGN core. A host z=0.061 implies a <em>m - M =</em> 37.18."
