objectId,ra,dec,gmag,rmag,maggmean,magrmean,g_minus_r,clr_mean,dmdt_g,dmdt_r,distpsnr1,sgmag1,brightening_g,brightening_r,last_alert,classification,classificationReliability,catalogue_table_name,separationArcsec,tns_prefix,association_type,description
ZTF17aaburzk,328.43609818,12.59001934,18.4686,18.668,19.7128,19.2753,-0.199394,0.4375,0.115441,0.0639141,0.155549,21.9907,-3.5221004486083984,-3.0291004180908203,0.3245486030355096,SN,2,NED/SDSS/GAIA/PS1,0.07,AT,SN,"The transient is possibly associated with <em><a href=""https://ned.ipac.caltech.edu/cgi-bin/objsearch?objname=SDSSJ215344.68%2B123524.0&extend=no&hconst=73&omegam=0.27&omegav=0.73&corr_z=1&out_csys=Equatorial&out_equinox=J2000.0&obj_sort=RA+or+Longitude&of=pre_text&zv_breaker=30000.0&list_limit=5&img_stamp=YES"">SDSSJ215344.68%2B123524.0</a></em>; a G=18.28 mag galaxy found in the NED/SDSS/GAIA/PS1 catalogues. Its located 0.01"" N, 0.07"" W from the galaxy centre."
ZTF18aagrcyj,239.2371471369565,35.39352763695652,18.0927,20.0351,18.2329,18.5173,-0.239401,-0.28439903259277344,,,0.0966451,19.0641,-0.9714012145996094,1.7206001281738281,0.5238889032043517,CV,1,SDSS/GSC/DOWNES/PS1/RITTER,0.08,AT,CV,"The transient is synonymous with <em><a href=""http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?id=1237662504293630129"">SDSS J155656.91+352336.6</a></em>; a V=18.88 mag cv found in the SDSS/GSC/DOWNES/PS1/RITTER catalogues. Its located 0.1"" from the cv core."
ZTF18aagsgqc,224.43645235714288,40.72788917857143,16.6805,13.8623,14.2066,14.127,-0.2909,0.07960033416748047,-1.22253,-0.07671,0.0803291,19.0936,-2.4130992889404297,-4.7412004470825195,0.5494213029742241,CV,1,SDSS/GSC/DOWNES,0.25,AT,CV,"The transient is synonymous with <em><a href=""http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?id=1237661362379161780"">SDSS J145744.75+404340.6</a></em>; a V=18.40 mag cv found in the SDSS/GSC/DOWNES catalogues. Its located 0.2"" from the cv core."
ZTF18aakzxki,265.53821350454547,23.808149822727273,14.6115,14.7747,18.3595,18.1499,-0.163167,0.20960044860839844,-0.109625,-0.199824,0.129731,18.6138,-4.002300262451172,-4.12660026550293,0.48000000324100256,CV,1,SDSS/GSC/PS1/DOWNES,0.22,AT,CV,"The transient is synonymous with <em><a href=""http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?id=1237665570379793249"">SDSS J174209.16+234829.6</a></em>; a B=18.13 mag cv found in the SDSS/GSC/PS1/DOWNES catalogues. Its located 0.2"" from the cv core."
ZTF18aaqaohw,282.11616134999997,32.59270395,19.6547,19.8549,19.6547,19.8549,-0.200228,-0.20020103454589844,,,4.86279,22.0358,-2.381101608276367,-1.4604988098144531,0.38394680293276906,UNCLEAR,3,PS1,0.07,AT,UNCLEAR,"The transient is possibly associated with <em>147112821161731811</em>; an r=23.59 mag uncertain found in the PS1 catalogue. Its located 0.07"" N, 0.00"" E from the uncertain centre."
ZTF18aaqijot,292.54803686470586,46.99116572941176,17.7449,18.2425,16.0994,16.9881,-0.848,-0.8887004852294922,-0.693393,,0.0890153,18.8936,-1.1487007141113281,-1.2504005432128906,0.38253470323979855,SN,2,GAIA/PS1,0.07,AT,SN,"The transient is possibly associated with <em>2128350397630003456</em>; a G=19.39 mag galaxy found in the GAIA/PS1 catalogues. Its located 0.09"" N, 0.01"" E from the galaxy centre."
ZTF18aaumvgk,270.0763036818182,15.257933936363639,16.2211,16.4244,16.8543,17.145,-0.203342,-0.29070091247558594,-6.63784,-2.37548,0.0997024,17.3213,-1.1002006530761719,-4.581399917602539,0.4136574030853808,SN,2,PS1,0.09,AT,SN,"The transient is possibly associated with <em>126312700763610097</em>; an r=21.46 mag galaxy found in the PS1 catalogue. Its located 0.05"" N, 0.08"" W from the galaxy centre."
ZTF18aawlfnj,284.30738308,30.18954754,17.3469,17.2316,18.0702,17.9216,0.115332,0.14859962463378906,0.323115,0.350093,0.423722,18.2603,-0.9133987426757812,-0.3409004211425781,0.38394680293276906,SN,2,2MASS/GAIA/PS1,0.37,AT,SN,"The transient is possibly associated with <em>18571374+3011219</em>; a J=13.48 mag galaxy found in the 2MASS/GAIA/PS1 catalogues. Its located 0.48"" N, 0.40"" E from the galaxy centre."
ZTF18aawrmhl,296.3655018166666,44.49895421666667,18.6545,18.9565,18.7531,18.8383,-0.302032,-0.08520126342773438,0.0329644,-0.20093,0.0498503,21.8949,-3.2404003143310547,0.21809959411621094,0.38253470323979855,SN,2,PS1,0.22,AT,SN,"The transient is possibly associated with <em>161392963655429392</em>; an r=22.43 mag galaxy found in the PS1 catalogue. Its located 0.22"" S, 0.02"" W from the galaxy centre."
ZTF18aazsdnv,321.60043390000004,25.640721753846154,14.9042,15.0064,18.0936,16.6073,-0.102249,1.4862995147705078,,0.29607,0.192696,19.3325,-4.428300857543945,-3.9977006912231445,0.318368102889508,CV,1,SDSS/MILLIQUAS/RITTER/PS1,0.35,AT,CV,"The transient is synonymous with <em><a href=""http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?id=1237680474971374241"">SDSS J212624.12+253826.8</a></em>; an r=19.05 mag AGN found in the SDSS/MILLIQUAS/RITTER/PS1 catalogues. Its located 0.3"" (2.8 Kpc) from the AGN core. A host z=1.000 implies a <em>m - M =</em> 44.10."
ZTF18abaxueg,268.219133895,29.371892525,17.3041,18.7968,17.2924,18.5965,0.0963993,-1.3041000366210938,,,0.0110816,18.8742,-1.5701007843017578,0.3966999053955078,0.3762500029988587,CV,1,RITTER/PS1,0.05,AT,CV,"The transient is synonymous with <em>NYHer</em>; an r=17.75 mag CV found in the RITTER/PS1 catalogues. Its located 0.1"" from the CV core."
ZTF18abbwsdn,273.88772180555554,13.459109583333333,19.6699,19.8666,19.7677,19.8562,-0.0100002,-0.08849906921386719,,,2.55125,21.8075,-2.1375999450683594,-1.4304008483886719,0.4136574030853808,VS,2,GAIA,0.13,AT,VS,"The transient is possibly associated with <em>4497053586113650048</em>; a G=18.74 mag stellar source found in the GAIA catalogue. Its located 0.11"" N, 0.06"" E from the stellar source centre."
ZTF18abeqxcc,287.2149365173913,43.00862350434782,17.9525,17.3447,17.2461,17.5381,0.607838,-0.29199981689453125,,,0.437204,18.2228,-0.27029991149902344,-0.8001003265380859,0.3834838028997183,CV,1,GSC/PS1/DOWNES/RITTER,0.47,AT,CV,"The transient is synonymous with <em>N2JS050102</em>; a V=18.88 mag cv found in the GSC/PS1/DOWNES/RITTER catalogues. Its located 0.5"" from the cv core."
ZTF18abgriyn,278.11391349999997,15.690252785714284,18.8159,19.1012,18.7135,18.8965,-0.125999,-0.1830005645751953,-0.0699268,-0.081506,0.0932735,20.3682,-1.5522994995117188,0.34329986572265625,0.41318290308117867,SN,2,PS1,0.21,AT,SN,"The transient is possibly associated with <em>126822781139298834</em>; an r=21.94 mag galaxy found in the PS1 catalogue. Its located 0.04"" S, 0.21"" W from the galaxy centre."
ZTF18abgufms,15.287109866666665,43.39044647777778,16.2997,16.8861,15.9428,15.9155,0.6532,0.027299880981445312,,,0.273819,16.7651,-0.46540069580078125,1.7782011032104492,0.34678240306675434,CV,1,SDSS/GSC/DOWNES/PS1/GAIA/RITTER,0.22,AT,CV,"The transient is synonymous with <em><a href=""http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?id=1237659934295196094"">SDSS J010108.90+432325.8</a></em>; a V=16.30 mag cv found in the SDSS/GSC/DOWNES/PS1/GAIA/RITTER catalogues. Its located 0.2"" from the cv core."
