,precision,recall,f1-score,support
AMCVn,0.33,0.14,0.2,14
dwarf_nova_SU_UMa,0.79,0.89,0.84,189
dwarf_nova_U_Gem,0.5,0.34,0.41,35
dwarf_nova_Z_Cam,0.56,0.63,0.59,52
int_polar,0.4,0.13,0.2,15
nova,0.31,0.29,0.3,14
nova_like,0.55,0.63,0.59,43
nova_like_VY_Scl,0.73,0.75,0.74,36
polar,0.65,0.5,0.57,34
accuracy,0.68,0.68,0.68,0
macro avg,0.54,0.48,0.49,432
weighted avg,0.65,0.68,0.66,432
