,precision,recall,f1-score,support
AMCVn,0.05,0.07,0.06,14
dwarf_nova_SU_UMa,0.86,0.66,0.74,189
dwarf_nova_U_Gem,0.46,0.49,0.47,35
dwarf_nova_Z_Cam,0.45,0.52,0.48,52
int_polar,0.14,0.2,0.16,15
nova,0.28,0.57,0.37,14
nova_like,0.54,0.6,0.57,43
nova_like_VY_Scl,0.58,0.53,0.55,36
polar,0.54,0.59,0.56,34
accuracy,0.57,0.57,0.57,0
macro avg,0.43,0.47,0.44,432
weighted avg,0.63,0.57,0.59,432
