,precision,recall,f1-score,support
AMCVn,0.15,0.5,0.23,14
dwarf_nova_SU_UMa,0.95,0.6,0.74,189
dwarf_nova_U_Gem,0.35,0.49,0.41,35
dwarf_nova_Z_Cam,0.4,0.37,0.38,52
int_polar,0.1,0.2,0.13,15
nova,0.35,0.57,0.43,14
nova_like,0.44,0.49,0.46,43
nova_like_VY_Scl,0.59,0.56,0.57,36
polar,0.53,0.5,0.52,34
accuracy,0.52,0.52,0.52,0
macro avg,0.43,0.47,0.43,432
weighted avg,0.65,0.52,0.56,432
