,precision,recall,f1-score,support
AMCVn,0.05,0.07,0.06,14
dwarf_nova_SU_UMa,0.8,0.74,0.77,189
dwarf_nova_U_Gem,0.42,0.37,0.39,35
dwarf_nova_Z_Cam,0.47,0.48,0.48,52
int_polar,0.06,0.07,0.06,15
nova,0.44,0.57,0.5,14
nova_like,0.48,0.58,0.53,43
nova_like_VY_Scl,0.65,0.67,0.66,36
polar,0.55,0.5,0.52,34
accuracy,0.59,0.59,0.59,0
macro avg,0.44,0.45,0.44,432
weighted avg,0.61,0.59,0.6,432
