,precision,recall,f1-score,support
AMCVn,0.08,0.36,0.13,14
dwarf_nova_SU_UMa,0.91,0.38,0.54,189
dwarf_nova_U_Gem,0.31,0.34,0.32,35
dwarf_nova_Z_Cam,0.56,0.54,0.55,52
int_polar,0.12,0.2,0.15,15
nova,0.21,0.64,0.32,14
nova_like,0.43,0.67,0.52,43
nova_like_VY_Scl,0.69,0.67,0.68,36
polar,0.62,0.59,0.61,34
accuracy,0.47,0.47,0.47,0
macro avg,0.44,0.49,0.42,432
weighted avg,0.65,0.47,0.5,432
