mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_reduce_dim__threshold,param_clf__solver,param_clf__shrinkage,params,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,split3_test_balanced_accuracy,split4_test_balanced_accuracy,split5_test_balanced_accuracy,split6_test_balanced_accuracy,split7_test_balanced_accuracy,split8_test_balanced_accuracy,split9_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_test_precision_macro,split1_test_precision_macro,split2_test_precision_macro,split3_test_precision_macro,split4_test_precision_macro,split5_test_precision_macro,split6_test_precision_macro,split7_test_precision_macro,split8_test_precision_macro,split9_test_precision_macro,mean_test_precision_macro,std_test_precision_macro,rank_test_precision_macro,split0_test_precision_weighted,split1_test_precision_weighted,split2_test_precision_weighted,split3_test_precision_weighted,split4_test_precision_weighted,split5_test_precision_weighted,split6_test_precision_weighted,split7_test_precision_weighted,split8_test_precision_weighted,split9_test_precision_weighted,mean_test_precision_weighted,std_test_precision_weighted,rank_test_precision_weighted,split0_test_recall_macro,split1_test_recall_macro,split2_test_recall_macro,split3_test_recall_macro,split4_test_recall_macro,split5_test_recall_macro,split6_test_recall_macro,split7_test_recall_macro,split8_test_recall_macro,split9_test_recall_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro,split0_test_recall_weighted,split1_test_recall_weighted,split2_test_recall_weighted,split3_test_recall_weighted,split4_test_recall_weighted,split5_test_recall_weighted,split6_test_recall_weighted,split7_test_recall_weighted,split8_test_recall_weighted,split9_test_recall_weighted,mean_test_recall_weighted,std_test_recall_weighted,rank_test_recall_weighted,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,split3_test_f1_macro,split4_test_f1_macro,split5_test_f1_macro,split6_test_f1_macro,split7_test_f1_macro,split8_test_f1_macro,split9_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,split0_test_f1_weighted,split1_test_f1_weighted,split2_test_f1_weighted,split3_test_f1_weighted,split4_test_f1_weighted,split5_test_f1_weighted,split6_test_f1_weighted,split7_test_f1_weighted,split8_test_f1_weighted,split9_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted,split0_test_auc_macro,split1_test_auc_macro,split2_test_auc_macro,split3_test_auc_macro,split4_test_auc_macro,split5_test_auc_macro,split6_test_auc_macro,split7_test_auc_macro,split8_test_auc_macro,split9_test_auc_macro,mean_test_auc_macro,std_test_auc_macro,rank_test_auc_macro
0.438830828666687,0.03946010200203596,0.06753377914428711,0.014835824294842788,10,svd,,"{'reduce_dim__threshold': 10, 'clf__solver': 'svd', 'clf__shrinkage': None}",0.5459876543209876,0.45572390572390575,0.61506734006734,0.5678321678321678,0.43315203315203316,0.4611672278338945,0.5090067340067339,0.4411054994388327,0.43846801346801345,0.4654882154882155,0.4932998791332125,0.05997631480623848,37,0.4772922009764115,0.3964997964997965,0.5333152958152958,0.4936930885206747,0.41312802423913536,0.4054412363235893,0.44926061592728256,0.4252136752136752,0.4293344068706387,0.4247474747474747,0.4447925815133974,0.041486358975134946,17,0.6920045821817578,0.6242483589018242,0.7354956924263854,0.6705271512372913,0.6301978183166301,0.6014272807371235,0.6585185991126584,0.6375,0.6518864734299517,0.6182348484848486,0.6520040804828471,0.037564719536711255,13,0.5459876543209876,0.45572390572390575,0.61506734006734,0.5678321678321678,0.43315203315203316,0.4611672278338945,0.5090067340067339,0.4411054994388327,0.43846801346801345,0.4654882154882155,0.4932998791332125,0.05997631480623848,37,0.5742574257425742,0.504950495049505,0.5841584158415841,0.594059405940594,0.5247524752475248,0.49504950495049505,0.5445544554455446,0.49,0.49,0.51,0.5311782178217822,0.03830138737532899,13,0.48494322390253,0.40308641975308646,0.5340095576937682,0.5122000552786421,0.40838129722415834,0.4126174329014085,0.45592001696008516,0.38946608946608946,0.41208744473612086,0.4129838903230716,0.4425695428238961,0.0484074131942684,25,0.5957903854690605,0.5334747760490335,0.6128268118888234,0.613724303731228,0.5539566265775588,0.5203560402403614,0.5724974105010063,0.5236580086580086,0.5358049513599626,0.541010747589695,0.5603100062064739,0.03419303236393302,13,,,,,,,,,,,,,1
0.34358983039855956,0.014279164795046314,0.052415108680725096,0.006109234156074981,5,svd,,"{'reduce_dim__threshold': 5, 'clf__solver': 'svd', 'clf__shrinkage': None}",0.5219135802469137,0.402020202020202,0.526010101010101,0.5541893291893292,0.37713675213675213,0.5174803591470258,0.5286475869809203,0.43002244668911327,0.4447250280583614,0.5075757575757576,0.4809721143054476,0.058569486670546685,53,0.4676180301180302,0.3624703999704,0.46657848324514994,0.4660052910052911,0.3727769144435811,0.44830354830354824,0.4585958485958487,0.3758241758241758,0.40145903479236816,0.45667789001122333,0.4276309616309616,0.04176379586753184,41,0.6962653682950714,0.5932968022076933,0.6654565456545655,0.6281471004243282,0.6081829336779833,0.6477659304391977,0.6400348166684799,0.6121391941391942,0.6260288600288599,0.6638080808080808,0.6381125632343454,0.02951399953780428,39,0.5219135802469137,0.402020202020202,0.526010101010101,0.5541893291893292,0.37713675213675213,0.5174803591470258,0.5286475869809203,0.43002244668911327,0.4447250280583614,0.5075757575757576,0.4809721143054476,0.058569486670546685,53,0.5643564356435643,0.37623762376237624,0.5247524752475248,0.5544554455445545,0.49504950495049505,0.504950495049505,0.5247524752475248,0.45,0.44,0.46,0.48945544554455445,0.05503342684930109,39,0.46718988072325485,0.3442790120310192,0.46724833808167143,0.4809173170284282,0.36783185143385855,0.4414824010412246,0.4633668642620049,0.3594135802469136,0.38916718818152507,0.4325105190979554,0.42134069521278555,0.04871086841457951,43,0.594947331048657,0.40991491146056114,0.5435516628585935,0.5705148249702706,0.5303043623156258,0.5287915346156464,0.5520304292872726,0.47622222222222227,0.4758547107014849,0.4977035358529415,0.5179835525333275,0.05135508639190906,39,,,,,,,,,,,,,1
0.3368931770324707,0.018435885213148342,0.05586786270141601,0.00590692743383225,2.5,svd,,"{'reduce_dim__threshold': 2.5, 'clf__solver': 'svd', 'clf__shrinkage': None}",0.49351851851851847,0.4654040404040404,0.4281144781144781,0.5464905464905464,0.4481805231805232,0.5040123456790123,0.5333894500561167,0.4017396184062851,0.3932098765432099,0.4974747474747475,0.47115341448674786,0.05012819233174799,63,0.3912450294803236,0.39647493029845976,0.4121677160892847,0.4168026418026418,0.3868677618677619,0.41988936988936987,0.45122470122470115,0.3838664421997755,0.3362298195631529,0.45408264574931245,0.4048851058164784,0.03274856946982763,65,0.615032419531546,0.6254782491823843,0.5991859043693638,0.6018740335572018,0.6354050240188855,0.6338691011958338,0.6523286944079023,0.6192878787878788,0.5601452991452992,0.6400045787545788,0.6182611182950873,0.02498862726858291,59,0.49351851851851847,0.4654040404040404,0.4281144781144781,0.5464905464905464,0.4481805231805232,0.5040123456790123,0.5333894500561167,0.4017396184062851,0.3932098765432099,0.4974747474747475,0.47115341448674786,0.05012819233174799,63,0.504950495049505,0.4158415841584158,0.43564356435643564,0.46534653465346537,0.5148514851485149,0.5247524752475248,0.5247524752475248,0.44,0.36,0.46,0.46461386138613864,0.051160442179821894,61,0.4084559140006768,0.37689280524787816,0.3860565416853449,0.42406183246944423,0.39529712781554355,0.4315784643442022,0.451458893429549,0.34670761337428,0.3197620066170118,0.4283063233063233,0.39685775222902536,0.038764540053441036,65,0.5271259968676286,0.4497369568454587,0.47249845495884085,0.47945799169554826,0.5385696647414899,0.54235364593854,0.5580563444495132,0.4782777222777223,0.3775756982955125,0.5037400765900766,0.4927392552660331,0.05102828903726256,59,,,,,,,,,,,,,1
0.30722460746765134,0.01255741928501918,0.05396468639373779,0.008292177114225491,1.5,svd,,"{'reduce_dim__threshold': 1.5, 'clf__solver': 'svd', 'clf__shrinkage': None}",0.37716049382716055,0.3381313131313131,0.382996632996633,0.44012561512561515,0.41722999222999224,0.46405723905723906,0.39778338945005604,0.3661335578002245,0.39503367003367007,0.38762626262626265,0.39662781662781665,0.03444512493255047,85,0.32087727087727086,0.28703939488253216,0.31572981112454795,0.33022391838181314,0.33223104056437386,0.37982202982202984,0.3117152600485934,0.2938671464987255,0.32410245699719387,0.3428571428571428,0.32384654720542233,0.024659867287718108,85,0.5519452494700019,0.48069512833636296,0.5230706673906258,0.5027994152798738,0.5476151186547226,0.5983298329832982,0.5232916038856633,0.5554318488529014,0.5350208212839792,0.47741269841269846,0.5295612384550128,0.034871477766953554,81,0.37716049382716055,0.3381313131313131,0.382996632996633,0.44012561512561515,0.41722999222999224,0.46405723905723906,0.39778338945005604,0.3661335578002245,0.39503367003367007,0.38762626262626265,0.39662781662781665,0.03444512493255047,85,0.37623762376237624,0.3069306930693069,0.36633663366336633,0.36633663366336633,0.3564356435643564,0.40594059405940597,0.39603960396039606,0.37,0.36,0.33,0.3634257425742574,0.027322255337037686,85,0.3072590664695928,0.26650938876462366,0.3135776532835356,0.3318983485650152,0.3259528072090385,0.3814527544679195,0.30706814726646914,0.2812097551571236,0.3071745127300683,0.3215638536632356,0.3143666287576622,0.029222896871095996,85,0.41011501526092453,0.3374583189582602,0.3940899131930001,0.3835833583358335,0.38000311420052196,0.4264454366935356,0.42375705024673016,0.4037820994794679,0.3905271672771673,0.358875476044756,0.39086369496901974,0.026348414110697146,85,,,,,,,,,,,,,1
0.34724476337432864,0.01199413312434391,0.05298445224761963,0.004994548085627112,10,lsqr,,"{'reduce_dim__threshold': 10, 'clf__solver': 'lsqr', 'clf__shrinkage': None}",0.5459876543209876,0.45572390572390575,0.61506734006734,0.5678321678321678,0.43315203315203316,0.4611672278338945,0.5090067340067339,0.4411054994388327,0.43846801346801345,0.4654882154882155,0.4932998791332125,0.05997631480623848,37,0.4772922009764115,0.3964997964997965,0.5333152958152958,0.4936930885206747,0.41312802423913536,0.4054412363235893,0.44926061592728256,0.4252136752136752,0.4293344068706387,0.4247474747474747,0.4447925815133974,0.041486358975134946,17,0.6920045821817578,0.6242483589018242,0.7354956924263854,0.6705271512372913,0.6301978183166301,0.6014272807371235,0.6585185991126584,0.6375,0.6518864734299517,0.6182348484848486,0.6520040804828471,0.037564719536711255,13,0.5459876543209876,0.45572390572390575,0.61506734006734,0.5678321678321678,0.43315203315203316,0.4611672278338945,0.5090067340067339,0.4411054994388327,0.43846801346801345,0.4654882154882155,0.4932998791332125,0.05997631480623848,37,0.5742574257425742,0.504950495049505,0.5841584158415841,0.594059405940594,0.5247524752475248,0.49504950495049505,0.5445544554455446,0.49,0.49,0.51,0.5311782178217822,0.03830138737532899,13,0.48494322390253,0.40308641975308646,0.5340095576937682,0.5122000552786421,0.40838129722415834,0.4126174329014085,0.45592001696008516,0.38946608946608946,0.41208744473612086,0.4129838903230716,0.4425695428238961,0.0484074131942684,25,0.5957903854690605,0.5334747760490335,0.6128268118888234,0.613724303731228,0.5539566265775588,0.5203560402403614,0.5724974105010063,0.5236580086580086,0.5358049513599626,0.541010747589695,0.5603100062064739,0.03419303236393302,13,,,,,,,,,,,,,1
0.315506649017334,0.00936510682454715,0.05262167453765869,0.006793015927563008,5,lsqr,,"{'reduce_dim__threshold': 5, 'clf__solver': 'lsqr', 'clf__shrinkage': None}",0.5219135802469137,0.402020202020202,0.526010101010101,0.5541893291893292,0.37713675213675213,0.5174803591470258,0.5286475869809203,0.43002244668911327,0.4447250280583614,0.5075757575757576,0.4809721143054476,0.058569486670546685,53,0.4676180301180302,0.3624703999704,0.46657848324514994,0.4660052910052911,0.3727769144435811,0.44830354830354824,0.4585958485958487,0.3758241758241758,0.40145903479236816,0.45667789001122333,0.4276309616309616,0.04176379586753184,41,0.6962653682950714,0.5932968022076933,0.6654565456545655,0.6281471004243282,0.6081829336779833,0.6477659304391977,0.6400348166684799,0.6121391941391942,0.6260288600288599,0.6638080808080808,0.6381125632343454,0.02951399953780428,39,0.5219135802469137,0.402020202020202,0.526010101010101,0.5541893291893292,0.37713675213675213,0.5174803591470258,0.5286475869809203,0.43002244668911327,0.4447250280583614,0.5075757575757576,0.4809721143054476,0.058569486670546685,53,0.5643564356435643,0.37623762376237624,0.5247524752475248,0.5544554455445545,0.49504950495049505,0.504950495049505,0.5247524752475248,0.45,0.44,0.46,0.48945544554455445,0.05503342684930109,39,0.46718988072325485,0.3442790120310192,0.46724833808167143,0.4809173170284282,0.36783185143385855,0.4414824010412246,0.4633668642620049,0.3594135802469136,0.38916718818152507,0.4325105190979554,0.42134069521278555,0.04871086841457951,43,0.594947331048657,0.40991491146056114,0.5435516628585935,0.5705148249702706,0.5303043623156258,0.5287915346156464,0.5520304292872726,0.47622222222222227,0.4758547107014849,0.4977035358529415,0.5179835525333275,0.05135508639190906,39,,,,,,,,,,,,,1
0.33658599853515625,0.03572167334743532,0.05541749000549316,0.005268281172547128,2.5,lsqr,,"{'reduce_dim__threshold': 2.5, 'clf__solver': 'lsqr', 'clf__shrinkage': None}",0.49351851851851847,0.4654040404040404,0.4281144781144781,0.5464905464905464,0.4481805231805232,0.5040123456790123,0.5333894500561167,0.4017396184062851,0.3932098765432099,0.4974747474747475,0.47115341448674786,0.05012819233174799,63,0.3912450294803236,0.39647493029845976,0.4121677160892847,0.4168026418026418,0.3868677618677619,0.41988936988936987,0.45122470122470115,0.3838664421997755,0.3362298195631529,0.45408264574931245,0.4048851058164784,0.03274856946982763,65,0.615032419531546,0.6254782491823843,0.5991859043693638,0.6018740335572018,0.6354050240188855,0.6338691011958338,0.6523286944079023,0.6192878787878788,0.5601452991452992,0.6400045787545788,0.6182611182950873,0.02498862726858291,59,0.49351851851851847,0.4654040404040404,0.4281144781144781,0.5464905464905464,0.4481805231805232,0.5040123456790123,0.5333894500561167,0.4017396184062851,0.3932098765432099,0.4974747474747475,0.47115341448674786,0.05012819233174799,63,0.504950495049505,0.4158415841584158,0.43564356435643564,0.46534653465346537,0.5148514851485149,0.5247524752475248,0.5247524752475248,0.44,0.36,0.46,0.46461386138613864,0.051160442179821894,61,0.4084559140006768,0.37689280524787816,0.3860565416853449,0.42406183246944423,0.39529712781554355,0.4315784643442022,0.451458893429549,0.34670761337428,0.3197620066170118,0.4283063233063233,0.39685775222902536,0.038764540053441036,65,0.5271259968676286,0.4497369568454587,0.47249845495884085,0.47945799169554826,0.5385696647414899,0.54235364593854,0.5580563444495132,0.4782777222777223,0.3775756982955125,0.5037400765900766,0.4927392552660331,0.05102828903726256,59,,,,,,,,,,,,,1
0.30308845043182375,0.010524784966315419,0.05143604278564453,0.0035196578964130777,1.5,lsqr,,"{'reduce_dim__threshold': 1.5, 'clf__solver': 'lsqr', 'clf__shrinkage': None}",0.37716049382716055,0.3381313131313131,0.382996632996633,0.44012561512561515,0.41722999222999224,0.46405723905723906,0.39778338945005604,0.3661335578002245,0.39503367003367007,0.38762626262626265,0.39662781662781665,0.03444512493255047,85,0.32087727087727086,0.28703939488253216,0.31572981112454795,0.33022391838181314,0.33223104056437386,0.37982202982202984,0.3117152600485934,0.2938671464987255,0.32410245699719387,0.3428571428571428,0.32384654720542233,0.024659867287718108,85,0.5519452494700019,0.48069512833636296,0.5230706673906258,0.5027994152798738,0.5476151186547226,0.5983298329832982,0.5232916038856633,0.5554318488529014,0.5350208212839792,0.47741269841269846,0.5295612384550128,0.034871477766953554,81,0.37716049382716055,0.3381313131313131,0.382996632996633,0.44012561512561515,0.41722999222999224,0.46405723905723906,0.39778338945005604,0.3661335578002245,0.39503367003367007,0.38762626262626265,0.39662781662781665,0.03444512493255047,85,0.37623762376237624,0.3069306930693069,0.36633663366336633,0.36633663366336633,0.3564356435643564,0.40594059405940597,0.39603960396039606,0.37,0.36,0.33,0.3634257425742574,0.027322255337037686,85,0.3072590664695928,0.26650938876462366,0.3135776532835356,0.3318983485650152,0.3259528072090385,0.3814527544679195,0.30706814726646914,0.2812097551571236,0.3071745127300683,0.3215638536632356,0.3143666287576622,0.029222896871095996,85,0.41011501526092453,0.3374583189582602,0.3940899131930001,0.3835833583358335,0.38000311420052196,0.4264454366935356,0.42375705024673016,0.4037820994794679,0.3905271672771673,0.358875476044756,0.39086369496901974,0.026348414110697146,85,,,,,,,,,,,,,1
0.3663292646408081,0.024213486446198317,0.05181727409362793,0.004456609370822636,10,lsqr,auto,"{'reduce_dim__threshold': 10, 'clf__solver': 'lsqr', 'clf__shrinkage': 'auto'}",0.6098765432098765,0.45319865319865316,0.6182659932659933,0.5906889406889407,0.4334045584045584,0.5099887766554433,0.5201178451178451,0.4361672278338945,0.4925925925925925,0.5096801346801346,0.5173981265647933,0.06527653142124276,15,0.5212962962962964,0.3900556233889567,0.5383341241184378,0.4968901468901469,0.38129000629000626,0.42663139329806,0.45812505395838726,0.38366409189938605,0.43040564373897705,0.4614310586532809,0.4488123438531935,0.053770084954528674,11,0.7346534653465346,0.6323420254113323,0.7094253704620622,0.6771485115544521,0.6072974055647323,0.616069464089266,0.6632197835168132,0.6203329768270945,0.6471047619047618,0.6425981888481889,0.6550191953525238,0.0394808350556057,5,0.6098765432098765,0.45319865319865316,0.6182659932659933,0.5906889406889407,0.4334045584045584,0.5099887766554433,0.5201178451178451,0.4361672278338945,0.4925925925925925,0.5096801346801346,0.5173981265647933,0.06527653142124276,15,0.6138613861386139,0.49504950495049505,0.6039603960396039,0.6138613861386139,0.5148514851485149,0.5247524752475248,0.5544554455445545,0.49,0.53,0.52,0.5460792079207921,0.045526711959173446,5,0.5376888275438999,0.39643515525868467,0.5464149931615503,0.5188035438035438,0.39163356996174337,0.4390062597809076,0.46450875779520273,0.37868965074046745,0.4386122465832611,0.4541197352464958,0.4565912739875757,0.05755317391485348,11,0.6347566433662,0.5253621936207842,0.6240029635550248,0.6251927895492251,0.5362328891004978,0.5415492957746478,0.5802365179324486,0.5207012292003218,0.559481419546637,0.5547072251691971,0.5702223166814985,0.041203581652843047,5,,,,,,,,,,,,,1
0.3391742706298828,0.015114752087876892,0.05034716129302978,0.0038481981186107143,5,lsqr,auto,"{'reduce_dim__threshold': 5, 'clf__solver': 'lsqr', 'clf__shrinkage': 'auto'}",0.5219135802469137,0.41658249158249155,0.5542087542087543,0.6032698782698782,0.4135003885003885,0.5489057239057238,0.5367845117845118,0.41933221099887763,0.45676206509539846,0.5063131313131313,0.49775727359060695,0.06374587361920944,35,0.459642617730853,0.3844843065431301,0.4893698893698894,0.4841837175170508,0.3833164983164983,0.4657647907647907,0.46721652832763944,0.36841276007942675,0.39374396482239615,0.4673961840628507,0.43635312575345253,0.04511862413140181,35,0.6843779400564491,0.6330335942450096,0.6829797265440829,0.6493910929554493,0.6144029402940294,0.6286207192147787,0.6471851214425471,0.6096153846153847,0.617616803131509,0.6648333333333334,0.6432056655832573,0.02593813648023955,29,0.5219135802469137,0.41658249158249155,0.5542087542087543,0.6032698782698782,0.4135003885003885,0.5489057239057238,0.5367845117845118,0.41933221099887763,0.45676206509539846,0.5063131313131313,0.49775727359060695,0.06374587361920944,35,0.5643564356435643,0.39603960396039606,0.5643564356435643,0.5643564356435643,0.5148514851485149,0.504950495049505,0.5445544554455446,0.46,0.45,0.49,0.5053465346534654,0.05420086305155822,27,0.46577378223595517,0.3600564949211289,0.495959595959596,0.5068227025973505,0.38793902473796277,0.47266926972809326,0.4752847735905503,0.352128743576112,0.39111091541587073,0.44815716690716695,0.4355902469669787,0.05445936452564487,33,0.5892647984392283,0.4340822572985585,0.5787428742874288,0.5762916161605327,0.5389681808348544,0.523350276204091,0.5715997664852654,0.48668261562998405,0.47544534846899356,0.5255898268398268,0.5300017560648763,0.04894747621073831,23,,,,,,,,,,,,,1
