objectId,ra,dec,gmag,rmag,maggmean,magrmean,g_minus_r,clr_mean,dmdt_g,dmdt_r,distpsnr1,sgmag1,brightening_g,brightening_r,last_alert,classification,classificationReliability,catalogue_table_name,separationArcsec,tns_prefix,association_type,description
ZTF18aasncio,297.09713733809525,36.439662671428565,16.7711,17.2519,16.7024,16.7082,-0.48078,-0.0058002471923828125,-0.277749,0.338165,0.271719,16.3249,0.4461994171142578,1.1030998229980469,0.38490737695246935,CV,1,GSC/DOWNES/PS1/RITTER,0.17,AT,CV,"The transient is synonymous with <em>N2FP069952</em>; a V=15.05 mag cv found in the GSC/DOWNES/PS1/RITTER catalogues. Its located 0.2"" from the cv core."
ZTF18abmbfde,272.6942443333333,23.196508366666666,17.3873,17.7013,17.3262,17.5218,-0.314001,-0.19559860229492188,0.0106294,-0.0742486,5.09348,21.6746,-4.287300109863281,-2.7420997619628906,0.3762615770101547,UNCLEAR,3,SDSS/PS1,0.08,AT,UNCLEAR,"The transient is possibly associated with <em><a href=""http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?id=1237666210319893210"">SDSS J181046.62+231147.3</a></em>; a g=22.56 mag uncertain found in the SDSS/PS1 catalogues. Its located 0.03"" N, 0.08"" W from the uncertain centre."
ZTF18abqbbpq,268.8139764333334,6.962335100000001,19.2179,19.2299,19.0035,19.2268,-0.0120258,-0.22330093383789062,-0.0175025,0.0472493,0.121451,18.9416,0.27629852294921875,1018.2299003601074,0.4967245771549642,UNCLEAR,3,SDSS/GSC/PS1,0.09,AT,UNCLEAR,"The transient is possibly associated with <em><a href=""http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?id=1237668657376465273"">SDSS J175515.35+065744.5</a></em>; a B=21.04 mag unclassified source found in the SDSS/GSC/PS1 catalogues. Its located 0.36"" S, 0.01"" W from the objects source centre."
ZTF18abtjgtu,299.6020935142857,53.618552757142844,19.8664,19.346,19.6177,19.4224,0.861099,0.19530105590820312,0.148535,0.0770657,0.203019,18.0801,1.7863006591796875,1.5386009216308594,0.404513877350837,CV,1,DOWNES,0.68,AT,CV,"The transient is synonymous with <em>7112</em>; an unknown-mag cv found in the DOWNES catalogue. Its located 0.7"" from the cv core."
ZTF23aanygxt,292.1451975585366,69.51863651707316,19.6614,19.4808,20.0382,19.9336,0.180565,0.10460090637207031,0.0349326,0.0432826,8.46518,19.8999,-0.23850059509277344,0.2052001953125,0.36569447722285986,ORPHAN,0,0,0.0,AT,0,No contexual information is available for this transient
ZTF23aanyjhy,272.0484041923077,16.544988515384617,19.6101,19.7539,19.7759,19.6417,0.110399,0.1341991424560547,-0.0161829,0.0740207,6.01821,21.8011,-2.190999984741211,-0.8895988464355469,0.4131944770924747,ORPHAN,0,0,0.0,AT,0,No contexual information is available for this transient
ZTF23aapimvh,307.0573741277778,53.962432622222224,19.3675,19.3315,18.2983,18.3735,0.036005,-0.07520103454589844,0.0182465,0.0329539,3.72965,21.4096,-2.0420989990234375,-1.0658016204833984,0.38207177724689245,ORPHAN,0,0,0.0,AT,0,No contexual information is available for this transient
ZTF23aaqbttx,13.479349437499998,42.469051825,19.5986,19.3773,19.7836,19.5112,0.221333,0.27239990234375,-0.0675566,0.0125201,13.4444,19.699,-0.10039901733398438,0.8656005859375,0.31153937708586454,ORPHAN,0,0,0.0,AT,0,No contexual information is available for this transient
ZTF23aaqeeby,334.129567975,-19.6309756,19.5278,19.5914,19.6732,19.7971,-0.0636272,-0.12389945983886719,-0.00586079,0.000818227,11.7829,-999.0,1018.5277996063232,-2.122098922729492,0.32835647696629167,UNCLEAR,3,PS1,0.27,AT,UNCLEAR,"The transient is possibly associated with <em>84443341295393226</em>; an r=22.44 mag uncertain found in the PS1 catalogue. Its located 0.09"" S, 0.25"" E from the uncertain centre."
ZTF23aaqfdby,340.24774158749995,-5.0710594,18.6818,18.7102,19.1828,19.0969,-0.0283699,0.08589935302734375,-0.000920417,0.0138969,12.2829,21.4704,-2.7885990142822266,-3.095600128173828,0.32741897692903876,ORPHAN,0,0,0.0,SN,0,No contexual information is available for this transient
ZTF23aaqqeri,30.2800272,84.76516835000001,17.945,18.1177,18.0373,18.1792,-0.172688,-0.14189910888671875,0.0371337,0.024305,5.99923,19.807,-1.86199951171875,-1.4846000671386719,0.31481477711349726,ORPHAN,0,0,0.0,SN,0,No contexual information is available for this transient
ZTF23aaqqeuf,310.99288778571423,78.54219775714284,20.0149,19.8551,20.2019,20.0741,0.159756,0.12779998779296875,0.15006,-0.0868434,12.2979,-999.0,1019.0149002075195,-1.0729999542236328,0.36521987710148096,ORPHAN,0,0,0.0,AT,0,No contexual information is available for this transient
ZTF23aaqqyog,330.87575915,-19.550451550000002,19.2834,19.2914,19.5287,19.5473,-0.00800896,-0.0186004638671875,0.0968843,0.115198,21.8738,14.2571,5.026299476623535,5.407100677490234,0.32835647696629167,ORPHAN,0,0,0.0,AT,0,No contexual information is available for this transient
ZTF23aaquirw,272.2861811,65.68585746363637,19.5407,19.68,19.7263,19.823,-0.139263,-0.09670066833496094,22.3815,0.0651996,7.37757,22.2776,-2.736898422241211,-1.4160995483398438,0.3810416772030294,ORPHAN,0,0,0.0,AT,0,No contexual information is available for this transient
