,precision,recall,f1-score,support
AMCVn,0.12,0.43,0.18,14
dwarf_nova_SU_UMa,0.88,0.38,0.53,189
dwarf_nova_U_Gem,0.32,0.51,0.39,35
dwarf_nova_Z_Cam,0.5,0.56,0.53,52
int_polar,0.24,0.27,0.25,15
nova,0.21,0.5,0.3,14
nova_like,0.47,0.77,0.58,43
nova_like_VY_Scl,0.7,0.58,0.64,36
polar,0.67,0.65,0.66,34
accuracy,0.49,0.49,0.49,0
macro avg,0.45,0.52,0.45,432
weighted avg,0.65,0.49,0.51,432
