,precision,recall,f1-score,support
AMCVn,0.4,0.14,0.21,14
dwarf_nova_SU_UMa,0.81,0.92,0.86,189
dwarf_nova_U_Gem,0.67,0.51,0.58,35
dwarf_nova_Z_Cam,0.67,0.67,0.67,52
int_polar,0.2,0.07,0.1,15
nova,0.91,0.71,0.8,14
nova_like,0.72,0.77,0.74,43
nova_like_VY_Scl,0.76,0.78,0.77,36
polar,0.76,0.74,0.75,34
accuracy,0.75,0.75,0.75,0
macro avg,0.65,0.59,0.61,432
weighted avg,0.73,0.75,0.74,432
