,precision,recall,f1-score,support
AMCVn,0.17,0.21,0.19,14
dwarf_nova_SU_UMa,0.87,0.72,0.79,189
dwarf_nova_U_Gem,0.51,0.51,0.51,35
dwarf_nova_Z_Cam,0.44,0.58,0.5,52
int_polar,0.0,0.0,0.0,15
nova,0.38,0.43,0.4,14
nova_like,0.54,0.63,0.58,43
nova_like_VY_Scl,0.5,0.58,0.54,36
polar,0.48,0.65,0.55,34
accuracy,0.61,0.61,0.61,0
macro avg,0.43,0.48,0.45,432
weighted avg,0.63,0.61,0.61,432
