,precision,recall,f1-score,support
AMCVn,0.18,0.29,0.22,14
dwarf_nova_SU_UMa,0.88,0.72,0.79,189
dwarf_nova_U_Gem,0.53,0.51,0.52,35
dwarf_nova_Z_Cam,0.51,0.67,0.58,52
int_polar,0.21,0.2,0.21,15
nova,0.4,0.57,0.47,14
nova_like,0.71,0.67,0.69,43
nova_like_VY_Scl,0.77,0.75,0.76,36
polar,0.68,0.82,0.75,34
accuracy,0.67,0.67,0.67,0
macro avg,0.54,0.58,0.55,432
weighted avg,0.7,0.67,0.68,432
