,precision,recall,f1-score,support
AMCVn,0.17,0.29,0.22,14
dwarf_nova_SU_UMa,0.89,0.71,0.79,189
dwarf_nova_U_Gem,0.55,0.51,0.53,35
dwarf_nova_Z_Cam,0.5,0.67,0.57,52
int_polar,0.2,0.2,0.2,15
nova,0.36,0.57,0.44,14
nova_like,0.67,0.65,0.66,43
nova_like_VY_Scl,0.76,0.72,0.74,36
polar,0.68,0.82,0.75,34
accuracy,0.66,0.66,0.66,0
macro avg,0.53,0.57,0.54,432
weighted avg,0.7,0.66,0.67,432
