,precision,recall,f1-score,support
AMCVn,0.27,0.29,0.28,14
dwarf_nova_SU_UMa,0.86,0.8,0.83,189
dwarf_nova_U_Gem,0.45,0.54,0.49,35
dwarf_nova_Z_Cam,0.56,0.6,0.58,52
int_polar,0.22,0.13,0.17,15
nova,0.67,0.71,0.69,14
nova_like,0.64,0.65,0.64,43
nova_like_VY_Scl,0.63,0.67,0.65,36
polar,0.68,0.76,0.72,34
accuracy,0.69,0.69,0.69,0
macro avg,0.55,0.57,0.56,432
weighted avg,0.69,0.69,0.69,432
