oid_ztf,ra,dec,ra_error,dec_error,parallax,parallax_error,pm,pmra_error,pmdec_error,nu_eff_used_in_astrometry,astrometric_sigma5d_max,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,bp_g,g_rp,l,b,ecl_lon,ecl_lat,distance,absmag_g,absmag_bp,absmag_rp
,,,0.3067533,0.22450563,1.798189184334743,0.3507821,17.624914,0.33701512,0.3003449,1.6014315,0.4987877,431.0,235.25746961312296,6.5841146,19.758509,47.0,161.05739117693534,14.952202,19.82109,47.0,177.08596395000708,16.932121,19.127436,0.693655,0.062582016,0.631073,107.4531186678491,-20.11888771198253,13.42580128050066,38.944086547081895,556.1150120975504,11.032685588064739,11.09526760405595,10.401612590017864
ZTF18abumlux,353.6381667,40.43061111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
