oid_ztf,ra,dec,ra_error,dec_error,parallax,parallax_error,pm,pmra_error,pmdec_error,nu_eff_used_in_astrometry,astrometric_sigma5d_max,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,bp_g,g_rp,l,b,ecl_lon,ecl_lat,distance,absmag_g,absmag_bp,absmag_rp
ZTF18adlvnuz,310.1265417,33.07208333,0.23647042,0.32067052,0.18744570166728763,0.4053168,4.294746,0.35368484,0.39394587,,0.57556987,447.0,192.27396351060736,0.7711667,19.977566,48.0,87.7509130988927,5.783941,20.480413,47.0,196.87499910198355,6.789897,19.012419,1.4679947,0.5028477,0.965147,74.50582089316765,-5.32762159207335,325.526627214665,49.072284561605265,5334.878266640544,6.341943195528231,6.84479086703702,5.376796177095613
ZTF17aaawgkq,301.6991667,41.97536111,0.04208063,0.056848418,0.7546009974214168,0.055502743,8.178935,0.050905902,0.07181373,1.536682,0.10252233,314.0,2465.4766551678285,136.6532,17.207615,41.0,1717.4277485874547,309.22513,17.251347,42.0,1790.8093522416234,247.05623,16.615273,0.63607407,0.04373169,0.5923424,77.97663220576418,5.238806452247099,321.18151866398136,59.90858286060235,1325.2036551994336,6.596201773231353,6.639933462684478,6.003859396522369
ZTF20aaklbiy,99.448,-25.68902778,0.11747648,0.17301571,0.7320691761603102,0.22361961,0.7584307,0.14561284,0.17543639,1.4940574,0.27911577,404.0,208.56167232363055,2.0420613,19.88928,44.0,127.69245948092811,13.211084,20.07313,43.0,152.11782308241072,12.753726,19.292446,0.7806835,0.18384933,0.5968342,234.81677545764765,-14.204777352539047,102.95301750573047,-48.70436109183811,1365.9911283862302,9.212040925361178,9.395890260077975,8.61520674262192
ZTF17aabungh,349.114875,59.80505556,0.01396684,0.015068368,1.2890875964807311,0.017099345,6.158535,0.018517192,0.018681183,1.614881,0.028936649,391.0,27993.871848777773,137.19534,14.56971,43.0,16480.058581198817,222.9417,14.796145,44.0,16783.199835062285,223.55524,14.185709,0.61043644,0.22643566,0.38400078,111.24635398877685,-0.8943022253249305,27.459979193488255,56.17859711277766,775.7424729941133,5.121121926180283,5.347557587496201,4.737121147982041
ZTF19abyyujh,331.4214167,42.35388889,0.4430844,0.43352652,0.8220263185966035,0.37809446,4.210377,0.5031539,0.6405732,,1.1719457,225.0,124.59633375743947,2.3522775,20.448605,25.0,68.22754842820844,7.3282776,20.753643,26.0,105.21157505765498,14.948268,19.692738,1.0609055,0.30503845,0.755867,93.08074229769223,-10.71118000760303,355.03708386754545,49.35262853477822,1216.506062369439,10.023033196004347,10.328071648152784,9.267166191609816
ZTF18actrvcq,117.37325,-5.849305556,0.7232892,0.44570747,-0.46564909824943673,0.5366229,4.7170367,0.8835771,0.5418039,1.4976021,1.5247685,245.0,196.0356228217102,8.417637,19.95653,25.0,117.24189795587479,16.281788,20.165834,24.0,135.6353048704023,17.636868,19.416964,0.74887085,0.20930481,0.53956604,224.91367728406905,10.102547482323347,120.71189817423223,-26.41705778181846,-2147.5398615811873,,,
ZTF18acbwauy,180.6292083,45.06363889,0.19334418,0.15628606,2.0256948890470556,0.21132632,11.629271,0.25080416,0.19287871,1.6706641,0.37357616,524.0,269.11013974790893,1.8276501,19.612541,51.0,176.14556811171184,8.210867,19.723864,48.0,143.22225554507133,9.439264,19.35787,0.3659935,0.1113224,0.2546711,148.3223146918445,69.57623336175314,158.76336871870706,40.7351113202283,493.65775932348254,11.145411360461019,11.25673376341512,10.89074026365926
ZTF19aadqbef,116.6301667,-12.9525,0.021898115,0.019389091,0.8185886746878742,0.037320595,10.157759,0.028850043,0.023911169,1.5673558,0.04128947,332.0,22890.20664926204,837.2529,14.788242,39.0,13394.77076143172,1742.9839,15.021204,39.0,15163.760995665483,1285.786,14.295878,0.7253256,0.23296165,0.49236393,230.80658086894562,5.984167979115607,121.59715959997445,-33.51668452585811,1221.6147509996977,4.353570999155606,4.586532653818692,3.8612070694070706
ZTF18abdazhx,346.8906667,55.72011111,0.06426897,0.06535802,-0.007231002483059471,0.07922328,2.8591204,0.08933439,0.08206,1.5024457,0.12695633,385.0,1647.3098521701688,5.290942,17.645428,51.0,754.7899347364942,25.04079,18.143976,46.0,1114.5364695152832,34.18454,17.13016,1.0138168,0.4985485,0.5152683,108.61371000776576,-4.237069847295808,21.08223616092258,53.99121841035649,-138293.41123070606,,,
ZTF18aaakzkf,81.00329167,48.85469444,0.2680551,0.20844318,0.1475663951920146,0.2613889,1.9853812,0.48847976,0.3942337,1.5780404,0.7050879,264.0,304.2071138893528,9.797623,19.479443,30.0,202.1694838716948,19.877527,19.574253,29.0,203.48918507004245,19.432823,18.976542,0.59771156,0.094810486,0.5029011,160.92263418358434,7.2023883442810925,83.44766318473462,25.619835366266635,6776.610614488427,5.324379937925112,5.419190423764956,4.821478860654604
ZTF18abuppce,68.50233333,71.40683333,0.08956413,0.078444436,0.26835850455255816,0.11676611,0.49282518,0.09980758,0.1109543,1.573198,0.17285447,560.0,755.531698352414,24.916664,18.491735,62.0,516.3000585130468,56.442024,18.556286,62.0,500.9479403766492,44.81383,17.998413,0.5578728,0.0645504,0.49332237,138.80665097157066,15.785648687074815,79.79694081847057,48.72821130641546,3726.358520544481,5.635312273737689,5.699862673517963,5.141989901301166
ZTF18abmbdgo,264.7799167,4.24525,0.29025045,0.24959695,0.5042680458071482,0.32812735,10.487298,0.34282675,0.28386167,1.4654834,0.5538672,343.0,331.13513343928867,4.7145996,19.387354,23.0,155.95295239202423,9.87797,19.856058,23.0,289.0148821400808,17.943766,18.595594,1.2604637,0.46870422,0.7917595,28.39417187209547,18.010600182210847,264.12479872229784,27.57808672187979,1983.0723130579624,7.900661141526008,8.36936536515882,7.108901650559211
ZTF18abadwpp,321.9210417,54.03766667,0.3243957,0.30180028,0.7310068391250987,0.41011816,2.1011636,0.3712434,0.6092931,,0.8713579,248.0,184.95483612054457,5.1526995,20.019703,18.0,82.61437564176457,16.545013,20.545902,19.0,306.6729781399518,53.31654,18.531206,2.0146961,0.52619934,1.4884968,95.78044567058747,2.2766810514365785,358.7188880467476,62.45927554825225,1367.9762575092243,9.339310112037644,9.865509452857957,7.8508133316421365
ZTF17aaawcmy,315.4185,36.67327778,0.33557135,0.37204424,0.18956566776694803,0.43724957,12.914789,0.51207554,0.42041534,,0.7860419,219.0,191.58171555774635,13.893688,19.981482,2.0,1622.0329898951322,148.50876,17.313393,2.0,2104.3463217804774,245.96222,16.440102,0.873291,-2.668089,3.54138,80.06731112387305,-6.420126824466434,333.9734657875683,50.52548376705441,5275.216824754362,6.370279977432617,3.7021910644687495,2.8289000488437495
