Name,AUID,Coords,Const,Type,Period,Mag,ra,dec,Xmatch_obj,separation
AR And,000-BBD-275,01 45 03.27 +37 56 33.2,And,UGSS,0.163,11.0 - 17.6 V,26.263625,37.94255555555555,ZTF19acgtoku,0.27532186700614
BV And,000-BCT-512,23 27 02.09 +50 07 13.0,And,UG,(45),15.3 - 18.5 V,351.7587083333333,50.12027777777778,ZTF17aabuphg,0.0436838523602854
FO And,000-BBC-590,01 15 32.16 +37 37 35.6,And,UGSU,0.07161,13.1 - 18.6 V,18.883999999999997,37.626555555555555,ZTF18aabfcyi,0.3907323425164502
FS And,000-BBD-866,02 25 55.03 +37 34 05.3,And,UG,--,14.9 - 19.0 V,36.47929166666666,37.56813888888889,ZTF18aabfoia,0.0530583057390965
HV And,000-BCT-527,00 40 55.38 +43 24 59.5,And,NL/VY,0.1403,15.2 - 20.6 G g,10.23075,43.41652777777777,ZTF18abgjgma,0.1812633636257347
IW And,000-BBC-278,01 01 08.91 +43 23 25.8,And,UGZ/IW,0.155,13.6 - 18.6 V,15.287124999999998,43.3905,ZTF19acyycev,0.1165533307630627
IZ And,000-BCT-528,01 07 03.88 +42 43 12.1,And,UG,--,15.6 - 20 CV,16.766166666666663,42.72002777777778,ZTF18abgopgb,0.117280533642637
KV And,000-BBD-658,02 17 13.90 +40 41 29.6,And,UGSU,0.0733,14.0 - 20.4 V,34.307916666666664,40.69155555555555,ZTF18admvlto,0.1706047407241475
KW And,000-BCT-529,02 35 17.98 +41 14 02.2,And,UGSS+E,0.27297,15.4 - 18.6 CV,38.82491666666666,41.23394444444445,ZTF18adnxjie,0.6071400449452153
LL And,000-BBB-961,00 41 51.47 +26 37 21.1,And,UGWZ,0.055055,12.6 - 20 V,10.464458333333331,26.62252777777778,ZTF21acbalhp,0.8503394186931251
LS And,000-BBB-781,00 32 10.27 +41 58 10.3,And,UGWZ,--,11.7 - 20.8 g B,8.042791666666666,41.96952777777778,ZTF22aahofcd,0.7836738024829346
LU And,000-BDC-910,00 40 15.03 +43 05 49.2,And,UG,--,16.7 - 21.5 r,10.062625,43.097,ZTF17aaaduzw,0.2639348951111328
OR And,000-BCT-533,23 04 37.42 +49 27 23.9,And,NL/VY,0.1359,14.3 - 19.0 V,346.1559166666666,49.45663888888889,ZTF20actpowx,0.3163852444640859
PT And,000-BCT-535,00 40 24.38 +41 04 03.2,And,UGWZ,0.056,15.8 - 21.4 V,10.10158333333333,41.06755555555556,ZTF23aaknvmk,0.1319853426600633
PX And,000-BBB-712,00 30 05.81 +26 17 26.4,And,NL/VY+E,0.146352746,14.4 - <18 V,7.524208333333333,26.290666666666667,ZTF20abrwsis,0.0612407497942449
QR And,000-BBB-466,00 19 49.93 +21 56 52.1,And,CBSS+E,0.660451,11.4 - 13.2 V,4.958041666666666,21.94780555555555,ZTF18abpumun,0.4068525889490733
V0455 And,000-BDC-667,23 34 01.45 +39 21 40.9,And,UGWZ/DQ+E+ZZ/GWLIB,0.05630921,8.5 - 16.5 V,353.50604166666665,39.361361111111115,ZTF23aaaswqx,1.5046792413753711
V0515 And,000-BJS-201,00 55 19.86 +46 12 57.0,And,DQ,0.10935:,14.7 - 16.0 V,13.832749999999995,46.215833333333336,ZTF18admoxby,0.2143591513729406
V0704 And,000-BDC-688,23 44 57.51 +43 31 22.3,And,NL/VY,0.154124,12.6 - 19.5 CV,356.239625,43.52286111111111,ZTF17aaaenex,0.288278691349784
V0730 And,000-BJY-044,00 46 25.65 +41 07 14.2,And,UG,--,15.4 clear - 20.45 CR,11.606875,41.12061111111111,ZTF18abumtyr,0.2541615170975124
V0776 And,000-BJX-610,23 19 36.07 +36 47 00.0,And,UGSU,0.064,13.5 - 19.0 CV V,349.90029166666665,36.78333333333333,ZTF18abnzbxh,0.6088026578781295
1RXS J003828.7+250920,000-BCY-487,00 38 27.03 +25 09 25.5,And,UGSU,--,14.6 - 18.6 CR,9.612624999999998,25.157083333333333,ZTF18abnzlcm,0.6293273440069824
1RXS J012750.5+380830,000-BJQ-773,01 27 50.58 +38 08 11.9,And,UG,0.06071,13.4 - 17.7 V,21.960749999999994,38.13663888888889,ZTF18abtlrqu,0.3284855908594489
1RXS J015017.0+375614,000-BLC-531,01 50 16.19 +37 56 19.0,And,UGZ,0.1481,13.2 - 19.8 V,27.56745833333333,37.93861111111111,ZTF18aabfaxr,0.0626890821469654
1RXS J233801.0+430852,000-BJQ-777,23 37 59.21 +43 08 51.0,And,NL/VY,0.160400,16.05 - 20.6 V,354.4967083333333,43.1475,ZTF18admipph,0.2113411079398983
1RXS J234500.2+342913,000-BMY-365,23 45 02.48 +34 29 24.0,And,UG,--,17.0 - 20.0 CV,356.2603333333333,34.49,ZTF17aabouaj,0.0903445828913616
2MASS J01203669+4923599,000-BPK-944,01 20 36.69 +49 24 00.2,And,CV,--,17.1 - 18.1 r,20.152874999999995,49.400055555555554,ZTF18aabfarp,0.1070913983159772
2MASS J23212116+3807563,000-BMS-106,23 21 21.18 +38 07 56.1,And,UG,--,14.2 - 17.9 V,350.33824999999996,38.13225,ZTF17aabuuke,0.1817058191883883
ASASSN-13cx,000-BLD-492,00 02 22.37 +42 42 13.5,And,UGSU+E,0.079650075,14.7 - 20.9 g,0.5932083333333332,42.70375,ZTF18admewcz,0.3374370954883834
ASASSN-14cj,000-BLJ-422,23 52 01.18 +44 50 58.4,And,UG,--,15.2 V - 20.2 CV,358.00491666666665,44.84955555555556,ZTF18abiwzlg,0.2696359376602941
ASASSN-14fx,000-BLJ-939,02 36 50.60 +40 14 00.1,And,UGSU,--,15.6 - 22.2 g,39.21083333333333,40.233361111111115,ZTF18acakfsn,0.1198304085172619
ASASSN-14gl,000-BLK-232,02 05 00.36 +46 05 38.0,And,UGZ,--,15.1 - 18.9 g,31.2515,46.09388888888889,ZTF17aaaewmi,0.1726140293291212
ASASSN-14hg,000-BLK-308,00 41 46.31 +35 37 36.4,And,UG,--,16.2 - 21.8 V,10.442958333333332,35.626777777777775,ZTF19aavftba,0.1221725924142013
ASASSN-14hk,000-BLK-310,01 39 35.62 +35 38 40.8,And,UGSU,--,14.7 V - 20.8: B,24.898416666666662,35.644666666666666,ZTF18abmewej,0.2724243876064086
