Name,AUID,Coords,Const,Type,Period,Mag,ra,dec,Xmatch_obj,separation
ASASSN-15bx,000-BLN-122,01 10 22.32 +47 19 53.7,And,UG,--,16.6 - 21.9 V,17.593,47.331583333333334,ZTF18acbxzuc,0.0751615690819895
ASASSN-15nv,000-BLR-655,23 42 26.22 +32 48 19.9,And,UG+E,0.1348254,15.3 V - 19.6 CV,355.60925,32.805527777777776,ZTF18abtyrpb,0.1333737634347908
ASASSN-15ro,000-BLS-685,01 33 07.57 +41 07 18.7,And,UGSU,--,15.4 - 21.6 V,23.281541666666666,41.12186111111111,ZTF18adikuzj,0.1293099307396124
ASASSN-15sv,000-BLT-400,00 39 00.55 +27 13 45.7,And,UGSU,--,15.8 - 22.4 V,9.752291666666666,27.22936111111111,ZTF18achawna,0.1851308883530706
ASASSN-15tx,000-BLT-943,02 30 24.44 +45 07 18.2,And,UG,--,16.3 - <22 V,37.60183333333333,45.121722222222225,ZTF19adfblgz,0.1606223945223585
ASASSN-18mp,000-BMR-631,23 17 29.92 +52 20 20.5,And,UGSU+E,0.06236,15.4 - 19.7 g,349.37466666666666,52.33902777777778,ZTF18aazndpb,0.6796446650340882
ASASSN-19ca,000-BMZ-106,23 54 51.59 +43 57 58.3,And,UG,--,16.4 - 20.0 g,358.7149583333333,43.96619444444445,ZTF19aaeyvgl,0.2912779397480043
ASASSN-19dp,000-BMZ-678,02 22 59.02 +43 39 13.1,And,AM,--,16.5 - 20.9 g,35.74591666666666,43.653638888888885,ZTF18adnatie,0.2006794546879926
ASASSN-19ss,000-BNF-552,01 34 16.89 +42 16 45.9,And,UG,--,16.3 - 22.0 g,23.570375,42.27941666666666,ZTF19acprlbl,0.0368830215180689
ASASSN-19sw,000-BNF-570,00 52 07.15 +43 52 18.6,And,UG,--,14.0 - 20.9 g,13.029791666666666,43.871833333333335,ZTF19abjqekj,0.6659331987139664
ASASSN-19za,000-BNH-112,23 20 18.50 +49 19 46.1,And,UGSU,--,15.2 - 21.7 g,350.0770833333333,49.32947222222223,ZTF19aceiizg,0.0777562366573996
ASASSN-20iq,000-BNP-353,02 11 14.01 +42 56 08.1,And,UG,--,16.7 - 21.5 g,32.80837499999999,42.93558333333333,ZTF18acpsekl,0.0328169089099813
ASASSN-20nd,000-BNR-806,23 31 26.78 +47 36 52.5,And,UGSU,--,15.6 - 21.8 g,352.8615833333333,47.614583333333336,ZTF19abajklf,0.0820710539886176
ASASSN-21aa,000-BNS-972,02 36 57.41 +41 26 37.1,And,UG,--,15.2 - 22.2: g,39.23920833333333,41.44363888888888,ZTF21aaadtpw,0.1803228151783343
ASASSN-21lg,000-BNZ-831,00 50 55.88 +35 58 55.5,And,UGSU,--,12.6 - 20.3 g,12.732833333333332,35.982083333333335,ZTF21abhrevv,0.5260681356990796
ASASSN-21oo,000-BPC-056,23 02 42.00 +44 42 56.0,And,UG,--,14.3 - 21.5 g,345.675,44.71555555555556,ZTF21abpvsig,0.0345009074774061
ASASSN-22ao,000-BPG-344,23 16 36.29 +50 01 52.4,And,UG,--,15.8 - 20.0 g,349.1512083333333,50.03122222222222,ZTF18abwijpp,0.3289166933558977
ASASSN-22it,000-BPK-462,00 28 54.39 +43 11 44.1,And,UG,--,14.2 - 20.4 g,7.226624999999999,43.19558333333333,ZTF18aboslis,0.6923553244089943
ASASSN-22mh,000-BPL-526,00 01 17.96 +39 28 25.7,And,UG,--,16.1 - <23 g,0.3248333333333333,39.47380555555556,ZTF22abjfseq,0.0301148609637869
ASASSN-23gi,000-BPR-238,23 07 15.55 +49 22 32.8,And,UG,--,15.3 - 18.2 g,346.8147916666666,49.37577777777778,ZTF18acugwxc,0.3097771288079731
ASASSN-V J000122.44+481658.1,--,00 01 22.44 +48 16 57.8,And,UG,--,14.7 - 21.1 g,0.3434999999999999,48.28272222222222,ZTF17aaaenol,0.1767779105341954
AT 2023ax,000-BPN-161,00 43 09.22 +41 17 02.2,And,N,--,16.5 - <23 CV,10.788416666666668,41.28394444444445,ZTF23aaaairl,0.1144265650293246
ATLAS16dtt,000-BPL-226,23 21 22.91 +44 23 50.6,And,UG,--,16.2 - 22.7 g,350.3454583333333,44.39738888888889,ZTF22abfwxsk,0.0610089227799645
ATLAS17jdg,--,23 36 23.73 +44 38 35.1,And,UG,--,18.0 - <21.3 r,354.09887499999996,44.64308333333333,ZTF18acrckdd,0.0249699236076505
ATLAS17myk,000-BNV-915,02 15 26.27 +43 16 31.6,And,UG,--,18.1 - 21.4 r o,33.85945833333333,43.275444444444446,ZTF22abznxxk,0.1081447816863502
ATLAS18zvk,000-BMX-218,23 38 59.19 +41 34 34.5,And,UG,--,15.3 - 22.5 r CR,354.74662499999994,41.57625,ZTF18acswudf,0.1459224799143172
ATLAS19phq,000-BPF-525,01 32 40.98 +50 09 23.1,And,UG,--,17.9 - 22.3 g,23.170749999999995,50.156416666666665,ZTF19abgzjjo,0.0381421883431077
ATLAS20bdbz,--,00 16 14.80 +46 30 12.2,And,UG,--,19.1 - <22.0 r,4.0616666666666665,46.50338888888889,ZTF18abolkgw,0.2764860238561408
ATLAS20behv,000-BNR-816,00 13 42.44 +28 55 09.2,And,UG,--,18.7 - <23 g c,3.4268333333333327,28.919222222222224,ZTF20acmjgyw,0.4203851042645014
ATLAS22belw,000-BPL-283,00 14 30.44 +43 14 18.6,And,UG,--,14.7 - 22.3 g,3.626833333333333,43.2385,ZTF22abgglcz,0.0823583179190298
BMAM-V693,000-BNN-984,23 48 10.61 +41 47 31.3,And,UG,--,18.8 - 21.9 r,357.0442083333333,41.792027777777776,ZTF18admipox,0.1186419784035884
BMAM-V704,000-BNP-234,02 15 34.86 +49 20 04.1,And,CV,--,17.2 - 21.4 g,33.89525,49.334472222222225,ZTF18abnzpcu,0.438909677958154
BMAM-V774,000-BNR-915,23 06 54.87 +50 14 01.5,And,UG,--,18.0 - 22.1 g,346.728625,50.23375,ZTF18abosjyg,0.1171596466148309
BMAM-V789,000-BNS-414,02 33 58.15 +41 37 26.3,And,AM,0.0714789,18.5 - 21.7 r,38.49229166666666,41.62397222222222,ZTF18abtrvgp,0.1342562248501219
BMAM-V799,000-BNS-623,00 13 01.60 +41 20 39.2,And,CV,--,17.7 - 21.2 g,3.2566666666666664,41.34422222222222,ZTF18abtcgjs,0.3129024387755184
CRTS J004625.7+382024,000-BMD-239,00 46 25.87 +38 20 23.8,And,UG,--,17.9 - 22.2 r G,11.607791666666666,38.33994444444445,ZTF19aaaanyo,0.0987381747189685
CSS 081031:003460+273620,--,00 34 59.96 +27 36 19.9,And,UG,--,17.9 - <21.2 CV,8.749833333333331,27.60552777777778,ZTF18aczower,1.087071921015632
CSS 081102:004500+222708,000-BKQ-309,00 45 00.29 +22 27 07.3,And,UG,--,14.4 - 20.8 V,11.25120833333333,22.452027777777776,ZTF19aayijpg,0.5495188573313078
CSS 081206:233233+391315,--,23 32 32.54 +39 13 15.2,And,UG,--,18.4 - <21.9 CV,353.13558333333333,39.220888888888894,ZTF19aadweee,0.9949162296133238
CSS 090819:230938+370715,--,23 09 38.04 +37 07 15.0,And,UG,--,17.1 - 22.2: CV,347.40849999999995,37.12083333333334,ZTF18abxznky,0.2026236372017095
CSS 090918:001538+263657,000-BJS-202,00 15 38.24 +26 36 56.8,And,UGSU,0.1015,13.3 - 18.3 CV,3.9093333333333327,26.61577777777778,ZTF17aaaemzh,0.7216840709851688
CSS 090925:004807+264621,--,00 48 07.21 +26 46 23.2,And,UG,--,18.6 - 21.0 CV,12.030041666666666,26.77311111111111,ZTF18abnzljz,0.8824722692847762
CSS 090929:232716+413149,000-BMY-624,23 27 16.27 +41 31 48.8,And,UGSU,--,15.6 - 20.7 G CV,351.8177916666666,41.53022222222222,ZTF18abxmbfq,0.4099291540321481
CSS 091026:002637+242916,--,00 26 37.06 +24 29 15.7,And,AM,--,17.1 - 21 CV,6.654416666666666,24.487694444444447,ZTF17aaaehby,0.290189410856668
CSS 091120:001019+410455,--,00 10 19.32 +41 04 54.7,And,UG,--,15.6 - 20.6 g,2.5804999999999993,41.08186111111112,ZTF18admewpb,0.1305459829175115
CSS 091220:003204+314510,000-BKQ-308,00 32 03.63 +31 45 10.5,And,UG,--,15.0 - 19.9 g,8.015125,31.752916666666668,ZTF18ablmdrf,0.1579236632011722
CSS 101108:022436+372021,--,02 24 36.43 +37 20 21.4,And,UG,--,16.5 - 21.0 CV,36.15179166666666,37.33927777777778,ZTF18abwjzpq,0.1438687382163407
CSS 101111:001158+315544,--,00 11 58.30 +31 55 44.0,And,UG,--,17.2 - <21 CV,2.9929166666666664,31.92888888888889,ZTF18acajlmn,0.3816199732307389
CSS 101212:002657+284933,000-BLD-521,00 26 56.59 +28 49 33.0,And,UGSU,--,14.9 - 21.5 V CV,6.735791666666667,28.825833333333332,ZTF19aavkbfk,0.0641783416038972
CSS 110115:003304+380106,000-BNP-843,00 33 03.94 +38 01 05.3,And,UGSU,--,15.5 - 20.7 V CV,8.266416666666666,38.018138888888885,ZTF19abqkusj,0.5620040108096319
CSS 111101:234242+341331,000-BKT-570,23 42 42.46 +34 13 30.0,And,UG,--,16.6 - 22.1 CV,355.6769166666666,34.225,ZTF20abtntaq,0.8363427886244569
CSS 130904:003056+231746,--,00 30 55.81 +23 17 46.0,And,UG,--,17.8 - 22.3 CV,7.732541666666665,23.296111111111113,ZTF18acdyzuo,0.3028378329140288
CSS 131014:005347+405549,--,00 53 47.32 +40 55 48.6,And,UG,--,16.7 - 19.2 CV,13.447166666666664,40.930166666666665,ZTF17aaawcro,0.136073414150451
CSS 131028:004306+370332,000-BLF-157,00 43 05.63 +37 03 32.3,And,UG,--,15.2 - <20 CR,10.773458333333332,37.058972222222216,ZTF18abgyipb,0.5304227899807479
CSS 151130:000911+300308,000-BLT-772,00 09 10.93 +30 03 08.3,And,UG,--,16.8 - 20.2 g,2.2955416666666664,30.052305555555556,ZTF18abcvkft,0.1394337575355703
CSS 151208:020401+434133,000-BLT-882,02 04 01.10 +43 41 32.5,And,UG,--,14.4 - 19.1 G,31.00458333333333,43.692361111111104,ZTF18aabfwba,0.1776840598389508
CSS 160925:233331+402158,000-BMB-143,23 33 31.22 +40 21 57.8,And,UG,--,16.6 - 19.8 CV,353.38008333333335,40.366055555555555,ZTF20abpdvcy,0.2658251360640899
DDE 169,000-BND-207,00 59 04.33 +46 14 48.0,And,UGSU,--,14.5 - 18.4 V,14.768041666666663,46.24666666666667,ZTF20abgbycw,0.1836965377809933
DDE 31,000-BKT-897,02 13 17.18 +46 06 43.5,And,UGSU,0.070,15.3 - 20.7 g,33.321583333333336,46.11208333333334,ZTF20accexlw,0.1539556304734037
DDE 72,000-BMF-926,00 21 46.00 +40 04 11.9,And,UGZ/IW,--,14.7 - 18.4 g,5.4416666666666655,40.069972222222226,ZTF17aaaenhs,0.1589967695204933
FBS 0019+348,000-BFT-346,00 21 48.44 +35 04 51.2,And,NL,--,14.0 - 14.8 V,5.451833333333332,35.08088888888889,ZTF18abvklaz,0.1290173739604257
Gaia DR2 318552918277214080,000-BPM-924,01 48 41.05 +36 33 50.1,And,CV+R,0.12635415,15.42 - 15.91 r,27.171041666666664,36.563916666666664,ZTF17aaaxiye,0.0737660430361381
Gaia DR3 368178757120754176,000-BPQ-459,00 40 20.23 +37 26 03.7,And,CV,--,18.6 - 22.6 g,10.084291666666664,37.43436111111111,ZTF19adepqtz,0.0591215903545787
Gaia16aqx,000-BLY-359,23 48 13.55 +35 49 50.0,And,UG,--,17.9 - 22.3 B,357.0564583333333,35.830555555555556,ZTF18ablvioz,0.2802192802152488
Gaia17bkl,000-BMH-710,01 11 25.99 +34 51 04.6,And,UG,--,18.1 - 24: r G,17.858291666666666,34.85127777777778,ZTF23aazkytm,0.2569340685911291
Gaia17cri,--,23 08 30.34 +43 42 49.0,And,UG,--,17.9 - 21.7 r G,347.1264166666666,43.71361111111111,ZTF18abpdjxr,0.0872053613693065
Gaia18con,--,00 36 28.95 +39 10 13.3,And,UG,--,18.3 - 24: r G,9.120625,39.170361111111106,ZTF18abryewg,0.2001373634449171
Gaia18dzb,000-BMX-788,01 44 30.43 +46 33 10.4,And,UG,--,17.0 - 22.0 g G,26.126791666666666,46.55288888888889,ZTF18adbdhvb,0.0509696431291829
Gaia19cnk,000-BND-328,02 33 19.40 +45 12 26.7,And,UG,--,17.2 - 20.0 G,38.33083333333333,45.20741666666667,ZTF18acpsefo,0.0668460602850459
Gaia19ety,000-BNH-459,23 15 37.08 +50 06 16.7,And,UG,--,17.7 - 20.9 g,348.9045,50.10463888888889,ZTF18abumcmz,0.1839278128029929
Gaia20doe,000-BNP-591,02 13 48.48 +46 29 56.9,And,UG,--,16.0 - 23.0: g,33.452,46.499138888888886,ZTF20abpqbgi,0.0383890659258708
GALEX J003535.7+462353,000-BJY-567,00 35 35.71 +46 23 52.4,And,UG+E,0.17227503,14.4 - 19.4 g,8.898791666666666,46.397888888888886,ZTF17aaakpyj,0.1305459829175115
LAMOST J002842.53+311819.4,000-BPM-995,00 28 42.53 +31 18 19.5,And,UG,--,13.8 - 19.9 r,7.177208333333333,31.305416666666662,ZTF18abmnwus,0.1229434050602313
LAMOST J234332.25+453924.2,--,23 43 32.26 +45 39 24.3,And,CV,--,19.0 - 20.8 g,355.8844166666666,45.656749999999995,ZTF20abmbzpi,0.5363207888324542
M31 V0958,000-BPL-723,00 42 52.37 +41 16 12.8,And,NR,--,16.9 - <22.2 R CR,10.718208333333331,41.27022222222222,ZTF20aakdppm,0.4729327741291279
M31 V0964,000-BNN-662,00 42 55.66 +41 14 11.7,And,NR,--,15.2 - 22.1 V UV,10.731916666666663,41.236583333333336,ZTF19abfqlzi,0.3752544096321717
M31 V0979,--,00 42 57.73 +41 08 12.0,And,NR,--,17.3 - <22 V,10.740541666666664,41.13666666666666,ZTF20acozbod,0.2668714513951517
M31N 2005-10a,000-BPK-845,00 44 20.79 +41 23 10.9,And,NR,--,16.2 - 23.6 g,11.086624999999998,41.386361111111114,ZTF22aazdzyj,0.0506908645036424
M31N 2008-12a,000-BLS-494,00 45 28.81 +41 54 09.9,And,NR,--,17.5 - <22.3 V,11.370041666666664,41.90275,ZTF18aceikre,0.1035483484967817
M31N 2020-06b,000-BNN-148,00 42 23.47 +41 08 22.8,And,N,--,15.8 - <20.5 CR,10.597791666666664,41.13966666666666,ZTF20abgdyqe,1.25032596725454
MASTER OT J005740.99+443101.5,000-BLF-303,00 57 40.99 +44 31 01.5,And,UGWZ+E,0.05619,15.4 - <20.9 CR,14.420791666666664,44.51708333333333,ZTF23aaixkbd,0.6198134183754649
MASTER OT J011539.70+381750.3,000-BLD-494,01 15 39.70 +38 17 50.3,And,UG,--,16.8 - <18.5 CR,18.915416666666665,38.29730555555555,ZTF18aabfvvr,0.9619192107194025
MASTER OT J014450.47+453242.9,000-BMF-243,01 44 50.48 +45 32 42.3,And,UG,--,16.9 - <22 CR,26.21033333333333,45.54508333333333,ZTF19aakpkto,0.8141114182505926
MASTER OT J014644.56+482650.2,000-BLQ-990,01 46 44.65 +48 26 49.7,And,UG,--,15.9 - 19.9 G,26.68604166666666,48.44713888888889,ZTF18acajudm,0.1808459459994535
MASTER OT J014825.10+430652.0,--,01 48 25.10 +43 06 52.0,And,UG,--,18.4 - <19.3 CR,27.10458333333333,43.114444444444445,ZTF18aboszbk,1.113953076235493
MASTER OT J021401.78+414218.0,000-BLQ-046,02 14 01.69 +41 42 17.2,And,UG,--,18.1 - <23 g,33.507041666666666,41.70477777777778,ZTF19abicwdn,0.0953306999855876
MASTER OT J021447.67+481852.6,000-BLT-888,02 14 47.67 +48 18 52.6,And,UG,--,16.9 - <21 CR,33.69862499999999,48.314611111111105,ZTF18abtrvxg,0.7442519946358398
MASTER OT J022728.54+481348.0,000-BNP-625,02 27 28.57 +48 13 47.2,And,UG,--,16.0 - 21.9 g CR,36.86904166666666,48.22977777777778,ZTF17aaafhrl,0.0168347190619956
MASTER OT J230148.65+411904.2,000-BMH-751,23 01 48.72 +41 19 05.1,And,UG,--,17.2 - 21.9 g,345.453,41.318083333333334,ZTF17aabutck,0.1700778820790225
MASTER OT J231025.12+380037.5,000-BLD-433,23 10 25.06 +38 00 36.9,And,UG,--,15.4 - 22.5 CV V,347.6044166666666,38.01025,ZTF18acbxphq,0.2337945917164806
MASTER OT J231917.03+483114.2,000-BKS-596,23 19 17.07 +48 31 14.2,And,UGSU,--,15.8 - 22.0 g,349.821125,48.52061111111111,ZTF19abfqpeh,0.1165938499128225
MASTER OT J232022.36+444330.8,000-BKD-497,23 20 22.36 +44 43 30.8,And,UGSU,--,15.9 - <21 p CR,350.0931666666666,44.72522222222222,ZTF19aaprxbe,0.3922043962056498
MASTER OT J232100.42+494614.0,000-BLH-808,23 21 00.43 +49 46 14.3,And,UG,--,15.2 - 19.4 g CR,350.25179166666663,49.77063888888889,ZTF18abncell,0.1526306599496918
MASTER OT J235503.22+420010.2,000-BLD-434,23 55 03.31 +42 00 10.0,And,UG,--,16.1 - 21.8 r CR,358.76379166666663,42.00277777777778,ZTF19aacbptg,0.0626890821469654
MGAB-V1094,--,23 00 33.36 +49 45 37.5,And,UG,--,18.4 - 21.1: g,345.13899999999995,49.760416666666664,ZTF18ablwmzw,0.1325567104509325
MGAB-V1098,--,23 02 12.40 +47 13 54.0,And,UG,--,17.4 - 21.0 g,345.5516666666666,47.23166666666667,ZTF18adlysmz,0.0649101593460169
MGAB-V1107,--,23 19 30.52 +51 50 17.4,And,UG,--,17.0 - 22.1 g,349.8771666666666,51.838166666666666,ZTF17aabpjjg,0.1612973431563068
MGAB-V1108,--,23 26 26.88 +49 06 18.0,And,UG,--,17.9 - 21.5 g,351.61199999999997,49.105,ZTF18abmrryd,0.1242808241095537
MGAB-V1109,--,23 32 17.42 +46 34 11.8,And,UG,--,18.6 - 20.9 g,353.0725833333333,46.569944444444445,ZTF18abmrscy,0.0762224323993573
MGAB-V1118,--,23 56 23.48 +41 27 56.3,And,UG,--,18.6 - 21.4: g,359.0978333333333,41.46563888888889,ZTF18abnyxce,0.0670577106097548
MGAB-V1217,--,23 18 07.22 +52 33 24.8,And,UG,--,15.9 - 16.8 g,349.5300833333333,52.556888888888885,ZTF17aaawqgg,0.2828700394846955
MGAB-V256,000-BND-565,02 27 15.89 +43 37 40.2,And,UG,--,18.0 - 19.4 g,36.81620833333333,43.627833333333335,ZTF18aaadsir,0.2926369421798144
MGAB-V3449,--,00 14 28.06 +40 43 05.1,And,UG,--,19.0 - 22.0 r,3.616916666666666,40.71808333333333,ZTF18abvzqzi,0.2423653913923845
MGAB-V3453,--,00 35 53.37 +43 33 41.5,And,AM,--,18.2 - 20.9 r,8.972375,43.561527777777776,ZTF18abgjgiq,0.3683047701069646
MGAB-V3457,--,01 01 39.06 +36 04 27.0,And,UG,--,19.0 - 21.3 r,15.412749999999996,36.07416666666667,ZTF18abumskz,0.2379796599535781
MGAB-V3472,--,02 26 24.51 +39 16 07.5,And,UG,--,18.0 - 20.4 r,36.602125,39.26875,ZTF18abnvefg,0.0887622436169669
MGAB-V375,--,23 30 28.73 +45 31 21.6,And,UG,--,18.7 - 21.7 r,352.6197083333333,45.522666666666666,ZTF19adejevd,0.0137454905549982
MGAB-V3763,--,23 04 05.73 +47 22 11.2,And,UG,--,17.0 - 21.5 r,346.023875,47.36977777777778,ZTF18admepgd,0.0953306999855876
MGAB-V3765,--,23 11 58.80 +43 42 37.9,And,UG,--,18.8 - 21.5 r,347.99499999999995,43.71052777777778,ZTF18abwiiqj,0.2967880281288163
MGAB-V3769,--,23 34 33.16 +40 25 50.2,And,AM,--,18.8 - 20.8 r,353.6381666666666,40.43061111111111,ZTF18abumlux,0.8024824107240528
MGAB-V3770,--,23 35 38.21 +37 32 23.2,And,UG,--,19.3 - 22.0 r,353.90920833333325,37.53977777777778,ZTF18abtbrvv,0.1585207302199773
MGAB-V460,--,01 51 12.67 +36 08 07.5,And,UG,--,17.8 - 21.5 g,27.802791666666664,36.135416666666664,ZTF17aaaaznz,0.1017537732997932
MGAB-V475,--,23 05 28.90 +52 39 16.2,And,UGSS,--,18.1 - 21.9 g,346.3704166666666,52.6545,ZTF18abdgqzr,0.0669166847741419
MGAB-V579,--,01 48 04.38 +43 27 30.0,And,UG,--,18.0 - 21.3: g,27.01825,43.458333333333336,ZTF18aabflzr,0.0613178306929655
MGAB-V580,--,01 48 55.96 +44 56 48.0,And,UG,--,19.5 - 21.8 g,27.233166666666666,44.946666666666665,ZTF18admgvhl,0.0637352177202468
MGAB-V581,--,01 49 25.03 +45 06 03.1,And,UG,--,18.9 - 21.6 g,27.354291666666665,45.100861111111115,ZTF17aaaewmp,0.04281008704495
MLS 171109:012514+480552,--,01 25 14.08 +48 05 52.0,And,UG,--,19.08 (3.42) CV,21.308666666666667,48.09777777777778,ZTF18aaadwtg,0.1755983055998017
NSV 14681,000-BKQ-239,23 43 24.82 +42 08 41.1,And,UGSU,--,14.4 - 20.8 V,355.8534166666666,42.14475,ZTF18admjqhq,0.3165345039168688
NSV 26152,000-BFT-313,23 50 16.87 +46 59 21.8,And,UG,--,17.2 - <22.0 p,357.5702916666666,46.98938888888889,ZTF18abgtzzh,0.1175219346534125
PGIR19bra,000-BNG-995,23 40 37.57 +42 35 27.7,And,UGSU,--,14.3 - 22.8 g,355.15654166666667,42.59102777777778,ZTF19abzpkss,0.1223271435100406
PNV J00494388+4033383,000-BNS-715,00 49 43.92 +40 33 38.0,And,UG,--,18.1 - 23.2: g,12.432999999999998,40.56055555555555,ZTF18abxzyss,0.0305817858775097
