Name,AUID,Coords,Const,Type,Period,Mag,ra,dec,Xmatch_obj,separation
MASTER OT J085335.52-234408.7,--,08 53 35.52 -23 44 08.7,Pyx,UG,--,17.1 - <18.9 CR,133.398,-23.73575,,
MASTER OT J085854.16-274030.7,000-BLM-910,08 58 54.18 -27 40 30.5,Pyx,UGWZ,--,13.7 - 19.3 B CR,134.72575,-27.675138888888892,,
MASTER OT J090639.19-275335.5,000-BLS-057,09 06 39.19 -27 53 35.5,Pyx,UG,--,16.7 - 21.7 B CR,136.66329166666665,-27.893194444444443,ZTF22abygvjb,0.47855236776698545
SSS 110406:091558-304726,--,09 15 58.34 -30 47 26.4,Pyx,UG,--,17.2 - 20.8 CV,138.99308333333332,-30.790666666666667,,
SSS 110407:085024-235811,000-BNS-847,08 50 24.15 -23 58 10.8,Pyx,UG,--,14.9 - 20.6 G CV,132.600625,-23.969666666666665,ZTF20actnqzc,0.007528715240946743
SSS 110515:092151-295737,--,09 21 50.47 -29 57 36.9,Pyx,UG,--,16.0 - <22 CV,140.46029166666665,-29.96025,,
SSS 130305:090041-215035,--,09 00 41.23 -21 50 34.9,Pyx,UG,--,16.8 - 19.8 CV,135.17179166666665,-21.843027777777777,,
ZTF19aagmuyi,--,08 35 41.54 -23 44 52.2,Pyx,UG,--,16.7 - 19.5 g,128.92308333333332,-23.747833333333336,ZTF19aagmuyi,0.12100716743776058
ZTF19aagmvbu,--,08 42 13.81 -23 04 23.5,Pyx,UG,--,17.9 - 20.2: g,130.55754166666665,-23.073194444444443,ZTF19aagmvbu,0.1910079223393331
ZTF19aakroeq,--,08 38 16.00 -27 29 31.1,Pyx,UG,--,16.2 - 18.7 g,129.56666666666666,-27.491972222222223,ZTF19aakroeq,0.1240906467615527
ZTF20aaekjhw,--,08 42 19.09 -26 18 17.4,Pyx,UG,--,16.2 - 20.1 g,130.57954166666664,-26.304833333333335,ZTF20aaekjhw,0.06328899133868388
ZTF21aaanzzg,--,08 42 58.63 -21 45 03.0,Pyx,UG,--,17.0 - 22.9 g,130.74429166666664,-21.750833333333333,ZTF21aaanzzg,0.019680547419342005
V Sge,000-BCL-364,20 20 14.69 +21 06 10.4,Sge,CBSS/V+E,0.514195,8.6 - 13.9 V,305.0612083333333,21.10288888888889,,
RZ Sge,000-BCK-308,20 03 18.55 +17 02 52.3,Sge,UGSU,0.0682803,12.3 - 17.7 V,300.8272916666666,17.047861111111114,,
WY Sge,000-BFD-354,19 32 43.87 +17 44 54.5,Sge,N+E,0.15363448,5.4 - 20.7 B,293.1827916666666,17.748472222222222,ZTF18aaxywha,0.30473476657367254
WZ Sge,000-BCK-656,20 07 36.50 +17 42 14.7,Sge,UGWZ+E+ZZ,0.056687846,7 - 15.53 B,301.9020833333333,17.704083333333333,ZTF20aaoeavd,0.10953353560870956
