feature,vif
pnts_geq_rollMedWin20+3mag_g,3.532341614436603
CAR_tau_r,3.5206133717329116
phot_bp_mean_flux,3.4771628825570646
SlottedA_length_r,3.403501052499615
Skew_r,3.3544845808096198
rollstd_ratio_t10s5_g,3.285691076714856
FluxPercentileRatioMid20_g,3.2412227201123507
Q31_color,3.1554997889883736
LinearTrend_r,3.076549910984509
npeaks_pt5to1_g,2.783547094816432
FalseAlarm_prob_g,2.760199009010283
amp_above5_g,2.726858668491914
Freq3_harmonics_amplitude_1_g,2.660142267176168
pnts_geq_median+2mag_g,2.6575847493397275
CAR_mean_r,2.6141848557184835
pnts_leq_rollMedWin20-5mag_g,2.574123213358136
Autocor_length_g,2.503677391108006
drate_pt5to1_r,2.4798282385656396
PeriodLS_r,2.4293920019859945
rollstd_ratio_t10s5_r,2.3849373854570217
Eta_e_g,2.3725446545527586
pmdec_error,2.3657469390348487
dec,2.2327444011764856
FalseAlarm_prob_r,2.2261853551397284
npeaks_above5_r,2.2110869453730553
pm,2.1728508895126124
pnts_geq_median+1mag_r,2.050212907336805
Con_r,2.018379679131035
pnts_leq_median-5mag_g,1.9351848348281238
SmallKurtosis_r,1.9078101951580408
pnts_leq_median-2mag_g,1.8976912478841927
PairSlopeTrend_g,1.8770991595935977
CAR_tau_g,1.8641598424748604
clr_faint,1.8456159163744843
CAR_mean_g,1.709472577907096
phot_rp_mean_flux,1.6890006805768036
Freq1_harmonics_rel_phase_3_r,1.6691320061707795
Freq1_harmonics_rel_phase_2_g,1.6651486811833225
Freq3_harmonics_rel_phase_2_r,1.6495614173471458
pnts_geq_median+3mag_r,1.6469387260438075
PeriodLS_g,1.6232524050981667
Freq2_harmonics_rel_phase_2_g,1.590718398920278
Freq2_harmonics_rel_phase_3_r,1.562768518243329
Freq3_harmonics_amplitude_1_r,1.562025496783694
drate_2to5_g,1.5481146944960347
Freq3_harmonics_rel_phase_1_g,1.5321658911445981
drate_pt5to1_g,1.517403045125084
Eta_e_r,1.461433999369347
Freq1_harmonics_rel_phase_3_g,1.4319290049671491
PairSlopeTrend_r,1.4155796643929985
freq_pwr_max_r,1.4133178870975525
Freq3_harmonics_rel_phase_3_r,1.3924845981738692
Freq1_harmonics_rel_phase_1_r,1.362818054049153
Freq2_harmonics_rel_phase_2_r,1.3599152749096215
Freq2_harmonics_rel_phase_1_g,1.338625917491871
Freq3_harmonics_rel_phase_2_g,1.3332479303197489
Period_fit_r,1.3203205285557698
pnts_leq_rollMedWin20-5mag_r,1.2948785934999245
npeaks_1to2_r,1.2664468161351965
bp_g,1.2307457308470273
pnts_geq_median+3mag_g,1.2144184474793869
Con_g,1.1712382424220957
LinearTrend_g,1.164803010689617
Skew_g,1.1360811917904663
rrate_above5_g,1.1110480110959378
rrate_above5_r,1.0983667869463818
freq_pwr_max_g,1.0655441504281287
kurtosis_g,1.041940923401572
rrate_1to2_g,1.0350830735062047
Freq3_harmonics_rel_phase_3_g,1.0339899769792575
drate_above5_g,1.0319902484741579
drate_1to2_g,1.0305601123418577
phot_bp_mean_flux_error,1.027277375573947
Freq1_harmonics_rel_phase_2_r,1.023873052414736
dec_error,1.0222069028713348
rrate_pt5to1_r,1.0215143319600322
Freq2_harmonics_rel_phase_1_r,1.0192375789226455
rrate_2to5_g,1.0138734986989313
drate_2to5_r,1.0126653793922245
Freq3_harmonics_rel_phase_1_r,1.009595652525437
pnts_geq_rollMedWin20+3mag_r,1.009361507691512
clr_bright,1.0069150269305167
Freq1_harmonics_rel_phase_1_g,1.005817035482848
Freq2_harmonics_rel_phase_3_g,1.0037411583265399
b,1.0034346529383118
drate_above5_r,1.0023319543807194
pwr_max_r,1.001711522517326
rrate_pt5to1_g,1.0002537992278142
rrate_1to2_r,1.0000528346314708
rrate_2to5_r,1.0000373645410738
distance,1.0000084603597743
drate_1to2_r,1.0000019933064497
astrometric_sigma5d_max,1.0000000000001539
