Name,AUID,Coords,Const,Type,Period,Mag,ra,dec,Xmatch_obj,separation
ATLAS17kxj,000-BPC-786,18 41 49.42 +38 50 39.6,Lyr,UG,--,17.8 - 22.9 g,280.4559166666666,38.84433333333334,ZTF18ablwuyy,0.1296746985467178
ATLAS19lgv,000-BNC-685,18 29 41.96 +26 28 42.0,Lyr,UG,--,16.1 - <22 g,277.4248333333333,26.47833333333333,ZTF19aaviqnb,0.015367925632528692
ATLAS20njy,000-BNN-013,18 30 32.02 +42 41 15.8,Lyr,UG,--,18.2 - <23 g,277.6334166666666,42.68772222222222,ZTF20abazeye,0.05133899320044929
ATLAS22rmx,000-BPK-211,18 46 19.33 +33 48 43.0,Lyr,UG,--,18.6 - <23 g,281.5805416666666,33.81194444444444,ZTF18adjchby,0.1740854304640344
ATLAS22rrm,000-BPK-212,19 10 55.93 +28 58 36.9,Lyr,UG,--,18.1 - <23 r c,287.7330416666666,28.976916666666664,ZTF22aapnsco,0.14711528264918566
BMAM-V468,000-BNJ-192,18 18 18.15 +31 20 33.5,Lyr,UG,--,18.3 - 21.9 r,274.575625,31.34263888888889,ZTF18abjsdwy,0.11630991943417657
BMAM-V790,000-BNS-454,19 14 22.74 +36 27 21.8,Lyr,UG,--,19.2 - 21.6 g,288.59475,36.45605555555556,ZTF18admgggc,0.0573369870537101
CSS 150511:182003+453513,000-BLQ-508,18 20 03.10 +45 35 12.6,Lyr,UG,--,17.8 - <20.9 CV,275.0129166666666,45.58683333333334,ZTF18abguobu,0.36517502759605935
CSS 151110:181541+472705,000-BLS-948,18 15 41.13 +47 27 04.6,Lyr,UG,--,17.6 - 20.3 CV,273.92137499999995,47.45127777777778,ZTF18aanijwl,1.0509818617522533
CSS 170421:185902+404349,000-BMH-031,18 59 02.51 +40 43 48.5,Lyr,UG,--,16.1 - 19.8 B,284.7604583333333,40.73013888888889,,
CSS_J181528.3+311430,--,18 15 28.39 +31 14 30.0,Lyr,UG,--,16.5 - 18.9 CV,273.86829166666666,31.241666666666667,ZTF18adixesd,0.19041349790304157
DDE 171,000-BND-998,18 41 27.19 +27 22 41.1,Lyr,UG,--,16.5 - 18.4 r,280.36329166666667,27.378083333333333,ZTF19aaoeazu,0.2733072266969
DDE 221,000-BPN-414,19 26 01.87 +42 23 39.2,Lyr,UG,--,17.7 - 21.5 r,291.5077916666666,42.39422222222222,,
DDE 33,--,19 22 57.11 +42 04 30.3,Lyr,UG,--,17.3 - <19.5 CV,290.73795833333327,42.07508333333334,ZTF18abddipi,0.6533519549166378
Gaia15aft,000-BLQ-619,18 14 43.77 +39 36 45.3,Lyr,UG,--,18.2 G - 22.4 B,273.682375,39.61258333333333,ZTF18aagrgoi,0.4168533893308558
Gaia16ard,000-BPF-532,19 01 54.13 +41 16 58.8,Lyr,UG,--,17.9 - 22.4 g,285.47554166666663,41.283,ZTF19abowkak,0.19783481106793271
Gaia16bpo,000-BMC-519,18 33 19.50 +26 52 39.1,Lyr,UG,--,18.0 - <22 G,278.33124999999995,26.87752777777778,,
Gaia17apr,000-BMF-800,19 25 00.08 +43 00 08.0,Lyr,UG,--,16.5 - <22 G,291.2503333333333,43.00222222222222,ZTF19aaviryr,0.020846068559187744
Gaia17ayl,000-BMG-824,19 13 34.45 +37 23 22.3,Lyr,UG,--,16.9 - 22.4 r G,288.39354166666664,37.38952777777778,ZTF19abolxsr,0.32317983949860596
Gaia17ayu,000-BMG-823,18 57 36.90 +32 08 35.9,Lyr,UG,--,15.5 - 20.0 g,284.40374999999995,32.14330555555556,ZTF18aapmrow,0.08281586765041472
Gaia17cok,--,19 08 51.19 +46 03 46.4,Lyr,UG,--,18.4 - <21 G,287.2132916666666,46.062888888888885,ZTF18abmsxzs,0.0794983847602452
Gaia18brb,000-BMR-979,18 46 18.72 +28 58 07.4,Lyr,UG,--,18.8 - <22 G,281.5779999999999,28.96872222222222,ZTF18acbbuxh,0.13173458998450321
Gaia18cju,--,19 21 25.48 +34 14 28.7,Lyr,UG,--,16.9 - 20.8 G,290.35616666666664,34.241305555555556,,
Gaia18cjv,--,19 19 32.44 +35 22 43.8,Lyr,UG,--,15.3 - 21.0 g,289.88516666666663,35.37883333333333,ZTF18abojtmy,0.5923652605293489
Gaia18dbw,000-BMV-760,18 45 24.90 +31 56 54.9,Lyr,UG,--,15.8 - 20.6 G,281.35374999999993,31.948583333333335,ZTF18aanvpoj,0.13319656956960332
